arm,c,region,component,association,candidate_rho,repeat_mean_rho,ci_lower,ci_upper,bottom_B1_quartile_mean,top_B1_quartile_mean,top_minus_bottom
M3_MARGIN,0.0,EARLY_B17_24,r_N,spearman_vs_B1,-0.06767666013439844,-0.025024955693382072,-0.08696411693475617,0.03686836351843974,,,
M3_MARGIN,0.0,EARLY_B17_24,r_N,B1_top_vs_bottom_quartile,,,,,0.22867779669538368,0.1943691094735017,-0.03430868722188199
M3_MARGIN,0.0,EARLY_B17_24,r_T,spearman_vs_B1,-0.17110103376171212,-0.1784703973525721,-0.23731650763287288,-0.11753796104837606,,,
M3_MARGIN,0.0,EARLY_B17_24,r_T,B1_top_vs_bottom_quartile,,,,,0.6491558206281154,0.47324356548799246,-0.17591225514012293
M3_MARGIN,0.0,EARLY_B17_24,r_ST,spearman_vs_B1,0.3110300436902468,0.27732123553407345,0.20764147844951797,0.34212667943791525,,,
M3_MARGIN,0.0,EARLY_B17_24,r_ST,B1_top_vs_bottom_quartile,,,,,0.12216638267650096,0.3323873250385058,0.21022094236200486
M3_MARGIN,0.0,MID_B25_40,r_N,spearman_vs_B1,-0.22523502750836333,-0.25001717796115175,-0.2978710780552067,-0.20174662202324994,,,
M3_MARGIN,0.0,MID_B25_40,r_N,B1_top_vs_bottom_quartile,,,,,0.21288501647931313,0.146464129383837,-0.06642088709547614
M3_MARGIN,0.0,MID_B25_40,r_T,spearman_vs_B1,-0.25456727820640584,-0.23191404694428924,-0.2648013376021187,-0.19691365580942488,,,
M3_MARGIN,0.0,MID_B25_40,r_T,B1_top_vs_bottom_quartile,,,,,0.724341213774064,0.5245971951023044,-0.19974401867175962
M3_MARGIN,0.0,MID_B25_40,r_ST,spearman_vs_B1,0.44984052857023665,0.42688962871368386,0.38618978951909133,0.46711230594619346,,,
M3_MARGIN,0.0,MID_B25_40,r_ST,B1_top_vs_bottom_quartile,,,,,0.06277376974662274,0.3289386755138587,0.26616490576723595
M3_MARGIN,0.0,LATE_B41_80,r_N,spearman_vs_B1,-0.1392301846612554,-0.14160381519862714,-0.16749840976547795,-0.11485940695831069,,,
M3_MARGIN,0.0,LATE_B41_80,r_N,B1_top_vs_bottom_quartile,,,,,0.25006740336383565,0.16169192165407478,-0.08837548170976087
M3_MARGIN,0.0,LATE_B41_80,r_T,spearman_vs_B1,-0.0021958030689375077,-0.0029426671195250382,-0.02772760492410556,0.02203395425981879,,,
M3_MARGIN,0.0,LATE_B41_80,r_T,B1_top_vs_bottom_quartile,,,,,0.5188648788677405,0.5355154081308355,0.01665052926309507
M3_MARGIN,0.0,LATE_B41_80,r_ST,spearman_vs_B1,0.12367239263846791,0.12196835515242954,0.09799586266743669,0.14390508966313567,,,
M3_MARGIN,0.0,LATE_B41_80,r_ST,B1_top_vs_bottom_quartile,,,,,0.23106771776842389,0.3027926702150896,0.07172495244666571
M3_MARGIN,0.0,OVERALL_B17_80,r_N,spearman_vs_B1,-0.1288573751452463,-0.1295546761680447,-0.1461526202951014,-0.1134541536353016,,,
