component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.3196647110661834,0.3196647110661834
PC2,0.26455635122666216,0.5842210622928455
PC3,0.25037284758450656,0.834593909877352
PC4,0.16540609012264781,0.9999999999999999
