arm,c,scope,metric,delta_vs_M3_MARGIN,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
REP_C025,0.25,EARLY_B17_24,r_N,-0.009538306559399096,-0.018708086964671324,0.0005120872858186751,5,0,15,10000
REP_C050,0.5,EARLY_B17_24,r_N,-0.018363027173863056,-0.030503685250856494,-0.006931882551265885,6,0,14,10000
REP_C100,1.0,EARLY_B17_24,r_N,-0.0024152213541051974,-0.01639102902288374,0.011171508462331566,11,0,9,10000
REP_C200,2.0,EARLY_B17_24,r_N,-0.0023809233099453763,-0.018200916896337068,0.013653607144632107,10,0,10,10000
REP_C400,4.0,EARLY_B17_24,r_N,-0.002546123348691395,-0.01779272915617449,0.012872833469956635,10,0,10,10000
REP_C025,0.25,EARLY_B17_24,r_T,-0.008500260012021815,-0.025767303926441446,0.0077341050184324845,9,0,11,10000
REP_C050,0.5,EARLY_B17_24,r_T,-0.005469558817794748,-0.0271832635048022,0.016359704346467132,8,0,12,10000
REP_C100,1.0,EARLY_B17_24,r_T,-0.03944021418788407,-0.06316136135990033,-0.014775664489430932,4,0,16,10000
REP_C200,2.0,EARLY_B17_24,r_T,-0.03440437340553404,-0.05944721677374115,-0.00717018095226638,5,0,15,10000
REP_C400,4.0,EARLY_B17_24,r_T,-0.02906225854879147,-0.05375846286738581,-0.002762363887251521,5,0,15,10000
REP_C025,0.25,EARLY_B17_24,r_ST,0.01803856657142091,0.003526127168093179,0.034600741609020005,15,0,5,10000
REP_C050,0.5,EARLY_B17_24,r_ST,0.023832585991657808,0.007370966073883723,0.04025699176293266,14,0,6,10000
REP_C100,1.0,EARLY_B17_24,r_ST,0.04185543554198926,0.022820349165358644,0.06111558052261371,16,0,4,10000
REP_C200,2.0,EARLY_B17_24,r_ST,0.03678529671547942,0.014978026736392869,0.05814619587803341,15,0,5,10000
REP_C400,4.0,EARLY_B17_24,r_ST,0.03160838189748287,0.010784986564897094,0.05272497373227461,15,0,5,10000
REP_C025,0.25,EARLY_B17_24,total_distance,0.12174811090148104,0.09696308255211883,0.14559221257680557,20,0,0,10000
REP_C050,0.5,EARLY_B17_24,total_distance,0.23412794275872467,0.20600354262147688,0.2622429883389522,20,0,0,10000
REP_C100,1.0,EARLY_B17_24,total_distance,0.2850355500526044,0.25481065625462457,0.31922483796458395,20,0,0,10000
REP_C200,2.0,EARLY_B17_24,total_distance,0.2975261788043008,0.2661568753049335,0.3310450644572555,20,0,0,10000
REP_C400,4.0,EARLY_B17_24,total_distance,0.30446240100844635,0.2704633710442191,0.3402475328379688,20,0,0,10000
REP_C025,0.25,EARLY_B17_24,B1_distance,0.049830031373744886,0.03130781109539822,0.07177269505639611,18,0,2,10000
REP_C050,0.5,EARLY_B17_24,B1_distance,0.0701013116684939,0.04582551738411165,0.09623087651526087,19,0,1,10000
REP_C100,1.0,EARLY_B17_24,B1_distance,0.09730033339956416,0.07207278587156135,0.1238147432293861,19,0,1,10000
REP_C200,2.0,EARLY_B17_24,B1_distance,0.10017768448433455,0.0743486910257473,0.12583096451807893,19,0,1,10000
REP_C400,4.0,EARLY_B17_24,B1_distance,0.10288552042901233,0.07722451445069048,0.13016255789570963,19,0,1,10000
REP_C025,0.25,EARLY_B17_24,q20_fraction,-0.022500000000000003,-0.04875,0.003750000000000009,6,4,10,10000
REP_C050,0.5,EARLY_B17_24,q20_fraction,-0.031249999999999993,-0.06000000000000001,-0.0037499999999999977,3,5,12,10000
REP_C100,1.0,EARLY_B17_24,q20_fraction,-0.07250000000000001,-0.09875,-0.046249999999999986,1,1,18,10000
REP_C200,2.0,EARLY_B17_24,q20_fraction,-0.07250000000000004,-0.10250000000000004,-0.042499999999999996,2,2,16,10000
REP_C400,4.0,EARLY_B17_24,q20_fraction,-0.0725,-0.10125000000000002,-0.04375,1,3,16,10000
REP_C025,0.25,EARLY_B17_24,keyhole_fraction,0.017499999999999995,-0.002500000000000005,0.03624999999999999,13,3,4,10000
REP_C050,0.5,EARLY_B17_24,keyhole_fraction,-0.0025000000000000105,-0.031250000000000014,0.02374999999999999,8,5,7,10000
REP_C100,1.0,EARLY_B17_24,keyhole_fraction,-0.0012500000000000094,-0.03375,0.03124999999999999,7,7,6,10000
REP_C200,2.0,EARLY_B17_24,keyhole_fraction,-0.0012500000000000067,-0.03375000000000001,0.03125,7,6,7,10000
REP_C400,4.0,EARLY_B17_24,keyhole_fraction,-0.00500000000000001,-0.03875000000000001,0.028781249999999543,6,6,8,10000
REP_C025,0.25,MID_B25_40,r_N,-0.0012656172711546399,-0.010823465070029558,0.008401337689731577,9,0,11,10000
REP_C050,0.5,MID_B25_40,r_N,-0.003681736628652253,-0.015478302750440369,0.0074689517128087015,11,0,9,10000
REP_C100,1.0,MID_B25_40,r_N,0.009267391942248192,-0.00259616816886941,0.021611958851682288,11,0,9,10000
REP_C200,2.0,MID_B25_40,r_N,0.013949437684806892,0.002830906476336552,0.024855798810563524,14,0,6,10000
REP_C400,4.0,MID_B25_40,r_N,0.014809124779681104,0.003543568985541887,0.0254911439057052,14,0,6,10000
REP_C025,0.25,MID_B25_40,r_T,-0.010215553573189328,-0.024434706569016192,0.0030927851511967034,9,0,11,10000
REP_C050,0.5,MID_B25_40,r_T,-0.0033008579055125607,-0.01935972764520487,0.013681835868826693,9,0,11,10000
REP_C100,1.0,MID_B25_40,r_T,-0.0026794350523195566,-0.01835717603542737,0.013300667068332708,7,0,13,10000
REP_C200,2.0,MID_B25_40,r_T,-0.00438886146660869,-0.023142982337253305,0.016293357024526143,7,0,13,10000
REP_C400,4.0,MID_B25_40,r_T,-0.004712100292829885,-0.023573329194288235,0.015270781920185907,8,0,12,10000
REP_C025,0.25,MID_B25_40,r_ST,0.011481170844343982,-0.0007220643631455826,0.024012844467647,14,0,6,10000
REP_C050,0.5,MID_B25_40,r_ST,0.00698259453416482,-0.00899679408362766,0.02239046749128681,12,0,8,10000
REP_C100,1.0,MID_B25_40,r_ST,-0.00658795688992863,-0.026273726836088026,0.01226878884291518,9,0,11,10000
REP_C200,2.0,MID_B25_40,r_ST,-0.009560576218198195,-0.030822702685945502,0.011306915655005492,7,0,13,10000
REP_C400,4.0,MID_B25_40,r_ST,-0.010097024486851212,-0.03184938479981937,0.011356157955900139,7,0,13,10000
REP_C025,0.25,MID_B25_40,total_distance,0.07801733328146285,0.06212183757484584,0.09480159125639516,20,0,0,10000
REP_C050,0.5,MID_B25_40,total_distance,0.13654454578370484,0.12010370452036442,0.15332099082694542,20,0,0,10000
REP_C100,1.0,MID_B25_40,total_distance,0.18417644311509765,0.16688307949096895,0.20068446761608702,20,0,0,10000
REP_C200,2.0,MID_B25_40,total_distance,0.20209115392359936,0.18517744050568033,0.21844866484916448,20,0,0,10000
REP_C400,4.0,MID_B25_40,total_distance,0.2050181399943663,0.18830651515775637,0.22039293240154406,20,0,0,10000
REP_C025,0.25,MID_B25_40,B1_distance,0.05557789398647354,0.040770162170571465,0.07170162518544299,19,0,1,10000
REP_C050,0.5,MID_B25_40,B1_distance,0.09156315360688203,0.07042426839288354,0.11144586274697367,19,0,1,10000
REP_C100,1.0,MID_B25_40,B1_distance,0.12162609589637088,0.09937787094940018,0.14276652350515823,19,0,1,10000
REP_C200,2.0,MID_B25_40,B1_distance,0.1329798380012553,0.11379361341561325,0.15282409368983335,20,0,0,10000
REP_C400,4.0,MID_B25_40,B1_distance,0.13453230359765317,0.11518366330546585,0.15386934905517202,20,0,0,10000
REP_C025,0.25,MID_B25_40,q20_fraction,-0.032500000000000015,-0.04937500000000002,-0.015000000000000024,4,1,15,10000
REP_C050,0.5,MID_B25_40,q20_fraction,-0.08062500000000002,-0.10124999999999999,-0.05875000000000001,2,0,18,10000
REP_C100,1.0,MID_B25_40,q20_fraction,-0.11437500000000003,-0.13437500000000008,-0.09625000000000003,0,0,20,10000
REP_C200,2.0,MID_B25_40,q20_fraction,-0.13062500000000002,-0.14937499999999998,-0.11250000000000002,0,0,20,10000
REP_C400,4.0,MID_B25_40,q20_fraction,-0.12937500000000002,-0.148140625,-0.11125,0,0,20,10000
REP_C025,0.25,MID_B25_40,keyhole_fraction,-0.011874999999999997,-0.03374999999999999,0.010015624999999787,6,2,12,10000
REP_C050,0.5,MID_B25_40,keyhole_fraction,-0.02375,-0.051875000000000004,0.0062500000000000056,6,0,14,10000
REP_C100,1.0,MID_B25_40,keyhole_fraction,-0.006249999999999994,-0.033125,0.02062500000000001,7,2,11,10000
REP_C200,2.0,MID_B25_40,keyhole_fraction,-0.007499999999999995,-0.035625,0.018750000000000003,8,2,10,10000
REP_C400,4.0,MID_B25_40,keyhole_fraction,-0.008124999999999999,-0.035625,0.018124999999999995,6,5,9,10000
REP_C025,0.25,LATE_B41_80,r_N,-0.0017418769968756353,-0.004977687899741006,0.001634089972570807,8,0,12,10000
REP_C050,0.5,LATE_B41_80,r_N,0.011151646243552006,0.006608599523215239,0.01579552635565627,15,0,5,10000
REP_C100,1.0,LATE_B41_80,r_N,0.02382720800220761,0.018760185968798446,0.02879793863255954,19,0,1,10000
REP_C200,2.0,LATE_B41_80,r_N,0.02520760944290279,0.02030328038905098,0.030060301065366467,19,0,1,10000
REP_C400,4.0,LATE_B41_80,r_N,0.02532150976997834,0.020483496049608592,0.03030407157953645,20,0,0,10000
REP_C025,0.25,LATE_B41_80,r_T,0.006727704323189959,0.0017866373525086384,0.01159655640309426,16,0,4,10000
REP_C050,0.5,LATE_B41_80,r_T,-0.018654069640622144,-0.023987546135669485,-0.013370163782698263,0,0,20,10000
REP_C100,1.0,LATE_B41_80,r_T,-0.031085559732853586,-0.03722051342078567,-0.02492944307354892,0,0,20,10000
REP_C200,2.0,LATE_B41_80,r_T,-0.02997102114156075,-0.03775263347836607,-0.022508821694685658,0,0,20,10000
REP_C400,4.0,LATE_B41_80,r_T,-0.03004343696334385,-0.03765802271968511,-0.02260268960713731,1,0,19,10000
REP_C025,0.25,LATE_B41_80,r_ST,-0.004985827326314332,-0.008988704331479328,-0.0009027704971190612,6,0,14,10000
REP_C050,0.5,LATE_B41_80,r_ST,0.007502423397070118,0.003454587665122324,0.01165285720933715,16,0,4,10000
REP_C100,1.0,LATE_B41_80,r_ST,0.007258351730645976,0.0028623089131990485,0.011727555760069959,16,0,4,10000
REP_C200,2.0,LATE_B41_80,r_ST,0.004763411698657971,0.00014324195985107748,0.009555130317175382,14,0,6,10000
REP_C400,4.0,LATE_B41_80,r_ST,0.004721927193365534,-0.00019171730960614356,0.009745872276167567,14,0,6,10000
REP_C025,0.25,LATE_B41_80,total_distance,-0.003197854381787485,-0.00849257663964984,0.0018682902338205837,8,0,12,10000
REP_C050,0.5,LATE_B41_80,total_distance,0.029663363608453758,0.024284396571473577,0.0351389158683445,20,0,0,10000
REP_C100,1.0,LATE_B41_80,total_distance,0.05439963825581475,0.04908604567430544,0.059846886313103725,20,0,0,10000
REP_C200,2.0,LATE_B41_80,total_distance,0.06365580184401227,0.057741286451634954,0.06963561710171053,20,0,0,10000
REP_C400,4.0,LATE_B41_80,total_distance,0.06492230754209698,0.05887497585135686,0.07104153994465297,20,0,0,10000
REP_C025,0.25,LATE_B41_80,B1_distance,-0.01430102689449469,-0.02394414476340219,-0.0064886326903745946,4,0,16,10000
REP_C050,0.5,LATE_B41_80,B1_distance,-0.001548126683790879,-0.011972938327494248,0.007853486694054859,10,0,10,10000
REP_C100,1.0,LATE_B41_80,B1_distance,0.009888981294486409,0.0025555668113210503,0.017305516509570854,14,0,6,10000
REP_C200,2.0,LATE_B41_80,B1_distance,0.013646248980000896,0.004956045813311001,0.021677751122543887,17,0,3,10000
REP_C400,4.0,LATE_B41_80,B1_distance,0.014664145242403115,0.006069754380166337,0.022129096376184647,17,0,3,10000
REP_C025,0.25,LATE_B41_80,q20_fraction,-0.003500000000000003,-0.011256250000000004,0.004500000000000004,8,2,10,10000
REP_C050,0.5,LATE_B41_80,q20_fraction,-0.020250000000000018,-0.030500000000000027,-0.01100000000000001,1,3,16,10000
REP_C100,1.0,LATE_B41_80,q20_fraction,-0.03250000000000002,-0.040000000000000015,-0.025000000000000022,0,0,20,10000
REP_C200,2.0,LATE_B41_80,q20_fraction,-0.035750000000000025,-0.043750000000000025,-0.027750000000000025,0,0,20,10000
REP_C400,4.0,LATE_B41_80,q20_fraction,-0.03900000000000003,-0.04625000000000002,-0.03225000000000002,0,0,20,10000
REP_C025,0.25,LATE_B41_80,keyhole_fraction,-0.009499999999999991,-0.02074999999999998,0.000500000000000006,5,3,12,10000
REP_C050,0.5,LATE_B41_80,keyhole_fraction,-0.018499999999999996,-0.03075,-0.0072499999999999926,4,2,14,10000
REP_C100,1.0,LATE_B41_80,keyhole_fraction,-0.030999999999999993,-0.04375,-0.0185,2,0,18,10000
REP_C200,2.0,LATE_B41_80,keyhole_fraction,-0.0335,-0.0465,-0.02075,1,1,18,10000
REP_C400,4.0,LATE_B41_80,keyhole_fraction,-0.033,-0.04625,-0.01925000000000001,1,1,18,10000
REP_C025,0.25,OVERALL_B17_80,r_N,-0.0025973657607608223,-0.005356637351734716,0.000616510825780321,7,0,13,10000
REP_C050,0.5,OVERALL_B17_80,r_N,0.00375396634832406,0.0001694803005845248,0.0076379355042872086,11,0,9,10000
REP_C100,1.0,OVERALL_B17_80,r_N,0.016906950317678658,0.01242503203616746,0.021033513551276983,19,0,1,10000
REP_C200,2.0,OVERALL_B17_80,r_N,0.018944499909272803,0.014947930197624271,0.02315516344301862,20,0,0,10000
REP_C400,4.0,OVERALL_B17_80,r_N,0.019209959382570314,0.01493114359448385,0.023862265283096623,20,0,0,10000
REP_C025,0.25,OVERALL_B17_80,r_T,0.0005883943071936737,-0.004396162210964624,0.005546114960116264,10,0,10,10000
REP_C050,0.5,OVERALL_B17_80,r_T,-0.01316770285399132,-0.01880668967416247,-0.0076323909092080155,3,0,17,10000
REP_C100,1.0,OVERALL_B17_80,r_T,-0.025028360369598896,-0.030530286902303857,-0.018750476384850553,1,0,19,10000
REP_C200,2.0,OVERALL_B17_80,r_T,-0.024129650255819413,-0.03014048221385156,-0.017971480010540778,1,0,19,10000
REP_C400,4.0,OVERALL_B17_80,r_T,-0.023587955493896324,-0.030402278587377294,-0.016456333087491077,2,0,18,10000
REP_C025,0.25,OVERALL_B17_80,r_ST,0.002008971453567145,-0.0015989903160996115,0.005129000020771,14,0,6,10000
REP_C050,0.5,OVERALL_B17_80,r_ST,0.009413736505667252,0.005224772417828545,0.01357571944338686,17,0,3,10000
REP_C100,1.0,OVERALL_B17_80,r_ST,0.008121410051920235,0.003869840060699225,0.012460641947325466,15,0,5,10000
REP_C200,2.0,OVERALL_B17_80,r_ST,0.005185150346546603,0.00029607529309326496,0.009884339212729625,14,0,6,10000
REP_C400,4.0,OVERALL_B17_80,r_ST,0.004377996111326001,-0.0012490494031425674,0.009925659063142727,13,0,7,10000
REP_C025,0.25,OVERALL_B17_80,total_distance,0.032724188194433665,0.029265621790533002,0.0363154297209216,20,0,0,10000
REP_C050,0.5,OVERALL_B17_80,total_distance,0.0819417315460504,0.07695767178287914,0.08705062071141866,20,0,0,10000
REP_C100,1.0,OVERALL_B17_80,total_distance,0.11567332844523417,0.11072177043987705,0.12051775107615353,20,0,0,10000
REP_C200,2.0,OVERALL_B17_80,total_distance,0.12749843698394508,0.12237708256755829,0.1327340830217653,20,0,0,10000
REP_C400,4.0,OVERALL_B17_80,total_distance,0.12988877733845797,0.12446912586243823,0.13504424741387963,20,0,0,10000
REP_C025,0.25,OVERALL_B17_80,B1_distance,0.011185085609277329,0.004067250582690613,0.01830448535673366,19,0,1,10000
REP_C050,0.5,OVERALL_B17_80,B1_distance,0.030685873182912955,0.02384324186129949,0.0371533331027418,19,0,1,10000
REP_C100,1.0,OVERALL_B17_80,B1_distance,0.04874967895809224,0.0403757993571653,0.05722174327586566,19,0,1,10000
REP_C200,2.0,OVERALL_B17_80,B1_distance,0.05429607567335619,0.04590127990601738,0.06241078500332394,20,0,0,10000
REP_C400,4.0,OVERALL_B17_80,B1_distance,0.05565885672954181,0.04735973299139466,0.06387242594153227,20,0,0,10000
REP_C025,0.25,OVERALL_B17_80,q20_fraction,-0.013125000000000003,-0.018437499999999996,-0.007968749999999997,1,1,18,10000
REP_C050,0.5,OVERALL_B17_80,q20_fraction,-0.03671875000000001,-0.04109375000000001,-0.032187499999999994,0,0,20,10000
REP_C100,1.0,OVERALL_B17_80,q20_fraction,-0.05796875000000001,-0.06421875000000003,-0.05218750000000001,0,0,20,10000
REP_C200,2.0,OVERALL_B17_80,q20_fraction,-0.06406249999999998,-0.07015625,-0.05828124999999999,0,0,20,10000
REP_C400,4.0,OVERALL_B17_80,q20_fraction,-0.06578124999999999,-0.07140625,-0.060312500000000005,0,0,20,10000
REP_C025,0.25,OVERALL_B17_80,keyhole_fraction,-0.006718749999999998,-0.015468750000000003,0.0018750000000000017,2,2,16,10000
REP_C050,0.5,OVERALL_B17_80,keyhole_fraction,-0.017812500000000002,-0.026718750000000003,-0.00890625,2,0,18,10000
REP_C100,1.0,OVERALL_B17_80,keyhole_fraction,-0.021093750000000005,-0.03265625000000001,-0.010312500000000002,1,0,19,10000
REP_C200,2.0,OVERALL_B17_80,keyhole_fraction,-0.022968750000000003,-0.03468750000000002,-0.0121875,1,0,19,10000
REP_C400,4.0,OVERALL_B17_80,keyhole_fraction,-0.023281250000000003,-0.035312500000000004,-0.012656250000000011,1,0,19,10000
