dataset,fold_index,name,optimizer,optimizer_label,training_simulations,fit_runtime_seconds,predict_runtime_seconds,fold_runtime_seconds,optimizer_convergence_applicable,optimizer_selected_run_success,optimizer_selected_start_index,optimizer_run_count,optimizer_unsuccessful_run_count,optimizer_fallback_run_count,optimizer_start_thetas_json,optimizer_objectives_json,optimizer_runs_json,warning_count,warning_messages,fit_failed,fit_failure_message,fallback_fit_used,parameter_bound_hit_count,parameter_bound_hit_parameters,optimized_kernel_expression,log_marginal_likelihood_train_fold,signal_variance,lengthscale
clean,0,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,lbfgsb,L-BFGS-B,90,0.04379159997915849,0.0004975000047124922,0.04428909998387098,True,True,0,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[53.27454911149117, 127.704467377144]","[{""optimizer"": ""lbfgsb"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.21249473874766558, 0.2945692055141614], ""objective"": 53.27454911149117, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 8, ""function_evaluations"": 12, ""gradient_evaluations"": 12, ""runtime_seconds"": 0.020208600035402924, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""lbfgsb"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-9.792690730462413e-07, -4.426994474960586], ""objective"": 127.704467377144, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 4, ""function_evaluations"": 12, ""gradient_evaluations"": 12, ""runtime_seconds"": 0.0193231999874115, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.899**2 * Matern(length_scale=1.34, nu=1.5)",-53.27454911149117,0.8085645703724951,1.3425478718705819
clean,0,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,slsqp,SLSQP,90,0.04227309999987483,0.0003860999713651836,0.042659199971240014,True,True,1,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[53.27454911150626, 53.2745491114927]","[{""optimizer"": ""slsqp"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.21249335145183354, 0.29456971066476817], ""objective"": 53.27454911150626, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 8, ""function_evaluations"": 11, ""gradient_evaluations"": 8, ""runtime_seconds"": 0.015422300028149039, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""slsqp"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-0.21249473215574702, 0.294569268321149], ""objective"": 53.2745491114927, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 14, ""function_evaluations"": 19, ""gradient_evaluations"": 14, ""runtime_seconds"": 0.02430859999731183, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.899**2 * Matern(length_scale=1.34, nu=1.5)",-53.2745491114927,0.8085645757024869,1.342547956191972
clean,0,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,powell,Powell,90,0.2882441999972798,0.0003093000268563628,0.28855350002413616,True,True,0,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[53.2745491114905, 53.27454911149097]","[{""optimizer"": ""powell"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.21249497343052215, 0.29456919101575924], ""objective"": 53.2745491114905, ""success"": true, ""message"": ""Optimization terminated successfully."", ""iterations"": 5, ""function_evaluations"": 246, ""gradient_evaluations"": -1, ""runtime_seconds"": 0.12968170002568513, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""powell"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-0.21249462236381844, 0.29456928098059737], ""objective"": 53.27454911149097, ""success"": true, ""message"": ""Optimization terminated successfully."", ""iterations"": 7, ""function_evaluations"": 301, ""gradient_evaluations"": -1, ""runtime_seconds"": 0.1561313000274822, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.899**2 * Matern(length_scale=1.34, nu=1.5)",-53.2745491114905,0.8085643806162742,1.342547852405783
clean,0,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,none,No optimization,90,0.0022102000075392425,0.0005136000108905137,0.002723800018429756,False,True,-1,0,0,0,[],[],[],0,,False,,False,0,,"1**2 * Matern(length_scale=1, nu=1.5)",-63.142408359504046,1.0,1.0
clean,1,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,lbfgsb,L-BFGS-B,90,0.04276949999621138,0.0003303999546915293,0.04309989995090291,True,True,0,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[62.4094273570344, 127.70446742123201]","[{""optimizer"": ""lbfgsb"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.24867846979444444, 0.142374138018756], ""objective"": 62.4094273570344, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 7, ""function_evaluations"": 10, ""gradient_evaluations"": 10, ""runtime_seconds"": 0.01702660002047196, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""lbfgsb"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-1.0137648328508516e-06, -4.420658733165151], ""objective"": 127.70446742123201, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 6, ""function_evaluations"": 14, ""gradient_evaluations"": 14, ""runtime_seconds"": 0.02373670000815764, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.883**2 * Matern(length_scale=1.15, nu=1.5)",-62.4094273570344,0.77983067219525,1.1530079519592258
clean,1,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,slsqp,SLSQP,90,0.05873779999092221,0.0005148000200279057,0.05925260001095012,True,True,0,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[62.40942735703492, 62.409427357048585]","[{""optimizer"": ""slsqp"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.2486780665999612, 0.14237428771609814], ""objective"": 62.40942735703492, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 9, ""function_evaluations"": 13, ""gradient_evaluations"": 9, ""runtime_seconds"": 0.01734629995189607, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""slsqp"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-0.24867970101405515, 0.14237358941550324], ""objective"": 62.409427357048585, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 23, ""function_evaluations"": 27, ""gradient_evaluations"": 23, ""runtime_seconds"": 0.03830940002808347, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.883**2 * Matern(length_scale=1.15, nu=1.5)",-62.40942735703492,0.7798309866187383,1.1530081245614647
clean,1,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,powell,Powell,90,0.257224100001622,0.00029119994724169374,0.2575152999488637,True,True,1,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[62.409427357034275, 62.40942735703382]","[{""optimizer"": ""powell"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.24867857041289052, 0.14237415473379986], ""objective"": 62.409427357034275, ""success"": true, ""message"": ""Optimization terminated successfully."", ""iterations"": 4, ""function_evaluations"": 149, ""gradient_evaluations"": -1, ""runtime_seconds"": 0.09059650002745911, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""powell"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-0.24867828677843437, 0.14237418941159868], ""objective"": 62.40942735703382, ""success"": true, ""message"": ""Optimization terminated successfully."", ""iterations"": 7, ""function_evaluations"": 301, ""gradient_evaluations"": -1, ""runtime_seconds"": 0.1647592000081204, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.883**2 * Matern(length_scale=1.15, nu=1.5)",-62.40942735703382,0.7798308149167612,1.1530080112155836
clean,1,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,none,No optimization,90,0.0023062999825924635,0.00046960002509877086,0.0027759000076912344,False,True,-1,0,0,0,[],[],[],0,,False,,False,0,,"1**2 * Matern(length_scale=1, nu=1.5)",-66.97852354686098,1.0,1.0
clean,2,P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,lbfgsb,L-BFGS-B,90,0.037260000011883676,0.00028199999360367656,0.03754200000548735,True,True,0,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[61.01470733924703, 127.70446737442647]","[{""optimizer"": ""lbfgsb"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.24816236531438696, 0.16389178958509276], ""objective"": 61.01470733924703, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 9, ""function_evaluations"": 12, ""gradient_evaluations"": 12, ""runtime_seconds"": 0.013765399984549731, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""lbfgsb"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-1.0095169109676491e-06, -4.4250096746782965], ""objective"": 127.70446737442647, ""success"": true, ""message"": ""CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"", ""iterations"": 5, ""function_evaluations"": 13, ""gradient_evaluations"": 13, ""runtime_seconds"": 0.021672300004865974, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.883**2 * Matern(length_scale=1.18, nu=1.5)",-61.01470733924703,0.7802332501760699,1.1780868269307343
clean,2,P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,slsqp,SLSQP,90,0.054922499984968454,0.0002825999981723726,0.055205099983140826,True,True,1,2,0,0,"[[0.0, 0.0], [-5.715374768429403, 1.1571584954261906]]","[61.01470733939043, 61.014707339247764]","[{""optimizer"": ""slsqp"", ""start_index"": 0, ""start_theta"": [0.0, 0.0], ""result_theta"": [-0.24816604654971358, 0.1638910524115181], ""objective"": 61.01470733939043, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 8, ""function_evaluations"": 12, ""gradient_evaluations"": 8, ""runtime_seconds"": 0.01672720001079142, ""fallback_used"": false, ""exception"": """"}, {""optimizer"": ""slsqp"", ""start_index"": 1, ""start_theta"": [-5.715374768429403, 1.1571584954261906], ""result_theta"": [-0.24816265338217586, 0.16389175638881406], ""objective"": 61.014707339247764, ""success"": true, ""message"": ""Optimization terminated successfully"", ""iterations"": 23, ""function_evaluations"": 28, ""gradient_evaluations"": 23, ""runtime_seconds"": 0.03578219999326393, ""fallback_used"": false, ""exception"": """"}]",0,,False,,False,0,,"0.883**2 * Matern(length_scale=1.18, nu=1.5)",-61.014707339247764,0.7802330254160351,1.1780867878226362
