dataset,reference_optimizer,candidate_optimizer,heldout_simulations,mean_prediction_difference_candidate_minus_lbfgsb,mean_absolute_prediction_difference,max_absolute_prediction_difference,prediction_difference_RMSE,candidate_improved_absolute_error_count,candidate_worsened_absolute_error_count,candidate_tied_absolute_error_count,median_absolute_error_improvement_lbfgsb_minus_candidate,reference_RMSE,candidate_RMSE,candidate_RMSE_change_percent_vs_lbfgsb
clean,lbfgsb,slsqp,91,7.685467278281646e-06,0.0003082726627806071,0.005161889943337883,0.0007027434707950218,50,41,0,1.6885715012904257e-06,2537.006918212659,2537.006767465603,5.941925305210233e-06
clean,lbfgsb,powell,91,0.0001469968760480137,0.00021024746044761512,0.00526797272686963,0.0007294178857523148,41,50,0,-1.6991816664813086e-06,2537.006918212659,2537.0067336989473,7.272889576177236e-06
clean,lbfgsb,none,91,3.2389468792127727,228.69217558717742,926.7694190173279,336.49386937099223,32,59,0,-54.16995067036987,2537.006918212659,2770.3781275487327,-9.198682418276
broad,lbfgsb,slsqp,238,0.00025026273019533574,0.00468012537296564,0.057981173347798176,0.007530805874375707,131,107,0,0.00015620981685060542,16256.261408947119,16256.260690981906,4.416545692206854e-06
broad,lbfgsb,powell,238,-3.0535428617012635e-05,0.00012326865370053711,0.0057520991686033085,0.0005146114761407292,135,103,0,1.8633727449923754e-06,16256.261408947119,16256.261360977234,2.95085588767937e-07
broad,lbfgsb,none,238,253.3208396260093,2512.4044355786004,17428.58114284581,3611.3491519383856,115,123,0,-63.56692849004139,16256.261408947119,16871.408713822766,-3.7840638102502604
