model,run_id,repeat,budget,correct
P0,w85__r01_f01,1,16,0.8235294117647058
P0,w85__r01_f01,1,17,0.8235294117647058
P0,w85__r01_f01,1,18,0.8823529411764706
P0,w85__r01_f01,1,19,0.9411764705882353
P0,w85__r01_f01,1,20,0.8823529411764706
P0,w85__r01_f01,1,21,0.8823529411764706
P0,w85__r01_f01,1,22,0.8823529411764706
P0,w85__r01_f01,1,23,0.8823529411764706
P0,w85__r01_f01,1,24,0.8823529411764706
P0,w85__r01_f01,1,25,0.8823529411764706
P0,w85__r01_f01,1,26,0.8823529411764706
P0,w85__r01_f01,1,27,0.8823529411764706
P0,w85__r01_f01,1,28,0.8823529411764706
P0,w85__r01_f01,1,29,0.8823529411764706
P0,w85__r01_f01,1,30,0.8823529411764706
P0,w85__r01_f01,1,31,0.8823529411764706
P0,w85__r01_f01,1,32,0.8823529411764706
P0,w85__r01_f01,1,33,0.8823529411764706
P0,w85__r01_f01,1,34,0.8823529411764706
P0,w85__r01_f01,1,35,0.8823529411764706
P0,w85__r01_f01,1,36,0.8823529411764706
P0,w85__r01_f01,1,37,0.8823529411764706
P0,w85__r01_f01,1,38,0.8823529411764706
P0,w85__r01_f01,1,39,0.8823529411764706
P0,w85__r01_f01,1,40,0.9411764705882353
P0,w85__r01_f01,1,41,0.8823529411764706
P0,w85__r01_f01,1,42,0.8823529411764706
P0,w85__r01_f01,1,43,0.8823529411764706
P0,w85__r01_f01,1,44,0.8823529411764706
P0,w85__r01_f01,1,45,0.8823529411764706
P0,w85__r01_f01,1,46,0.8823529411764706
P0,w85__r01_f01,1,47,0.8823529411764706
P0,w85__r01_f01,1,48,0.8823529411764706
P0,w85__r01_f01,1,49,0.8823529411764706
P0,w85__r01_f01,1,50,0.8823529411764706
P0,w85__r01_f01,1,51,0.8823529411764706
P0,w85__r01_f01,1,52,0.8823529411764706
P0,w85__r01_f01,1,53,0.8823529411764706
P0,w85__r01_f01,1,54,0.8823529411764706
P0,w85__r01_f01,1,55,0.8823529411764706
P0,w85__r01_f01,1,56,0.8823529411764706
P0,w85__r01_f01,1,57,0.8823529411764706
P0,w85__r01_f01,1,58,0.8823529411764706
P0,w85__r01_f01,1,59,0.8823529411764706
P0,w85__r01_f01,1,60,0.8823529411764706
P0,w85__r01_f01,1,61,0.8823529411764706
P0,w85__r01_f01,1,62,0.8823529411764706
P0,w85__r01_f01,1,63,0.8823529411764706
P0,w85__r01_f01,1,64,0.8823529411764706
P0,w85__r01_f01,1,65,0.8823529411764706
P0,w85__r01_f01,1,66,0.8823529411764706
P0,w85__r01_f01,1,67,0.8823529411764706
P0,w85__r01_f01,1,68,0.8823529411764706
P0,w85__r01_f01,1,69,0.8823529411764706
P0,w85__r01_f01,1,70,0.8823529411764706
P0,w85__r01_f01,1,71,0.8823529411764706
P0,w85__r01_f01,1,72,0.8823529411764706
P0,w85__r01_f01,1,73,0.8823529411764706
P0,w85__r01_f01,1,74,0.8823529411764706
P0,w85__r01_f01,1,75,0.8823529411764706
P0,w85__r01_f01,1,76,0.8823529411764706
P0,w85__r01_f01,1,77,0.8823529411764706
P0,w85__r01_f01,1,78,0.8823529411764706
P0,w85__r01_f01,1,79,0.8823529411764706
P0,w85__r01_f01,1,80,0.8823529411764706
P0,w85__r01_f02,1,16,0.5882352941176471
P0,w85__r01_f02,1,17,0.7647058823529411
P0,w85__r01_f02,1,18,0.7647058823529411
P0,w85__r01_f02,1,19,0.7647058823529411
P0,w85__r01_f02,1,20,0.7647058823529411
P0,w85__r01_f02,1,21,0.7647058823529411
P0,w85__r01_f02,1,22,0.7647058823529411
P0,w85__r01_f02,1,23,0.7647058823529411
P0,w85__r01_f02,1,24,0.7647058823529411
P0,w85__r01_f02,1,25,0.7647058823529411
P0,w85__r01_f02,1,26,0.7647058823529411
P0,w85__r01_f02,1,27,0.7647058823529411
P0,w85__r01_f02,1,28,0.7647058823529411
P0,w85__r01_f02,1,29,0.7647058823529411
P0,w85__r01_f02,1,30,0.7647058823529411
P0,w85__r01_f02,1,31,0.7647058823529411
P0,w85__r01_f02,1,32,0.7647058823529411
P0,w85__r01_f02,1,33,0.7647058823529411
P0,w85__r01_f02,1,34,0.7647058823529411
P0,w85__r01_f02,1,35,0.7647058823529411
P0,w85__r01_f02,1,36,0.7647058823529411
P0,w85__r01_f02,1,37,0.7647058823529411
P0,w85__r01_f02,1,38,0.7647058823529411
