experiment_name,P,VX,LS,ST,outside_week6_P_range,outside_week6_VX_range,outside_week6_LS_range,outside_week6_ST_range,outside_any_week6_axis_range,inside_week6_4d_convex_hull,convex_hull_assessment,nearest_week6_scaled_euclidean_distance,has_keyhole
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,False,False,False,False,False,True,computed,0.20175298571998845,False
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,False,False,False,False,False,False,computed,0.2219540671334815,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,False,False,False,False,False,True,computed,0.17522120233820548,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,False,False,False,False,False,True,computed,0.15199238970919007,False
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,False,False,False,False,False,True,computed,0.09947427968354582,False
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,False,False,False,False,False,False,computed,0.08683975260524879,False
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,False,False,False,False,False,True,computed,0.12597371662932697,False
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,False,False,False,False,False,True,computed,0.16494112240473457,False
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,False,False,False,False,False,False,computed,0.07842633398981613,False
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,False,False,False,False,False,True,computed,0.08738573699472403,False
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,False,False,False,False,False,True,computed,0.059433662502005366,False
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,False,False,False,False,False,True,computed,0.1301350135695579,False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,False,False,False,False,False,False,computed,0.21222848155160454,False
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,False,False,False,False,False,True,computed,0.14260639440068745,False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,False,False,False,False,False,True,computed,0.1314369135717577,False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,False,False,False,False,False,True,computed,0.1976306329882433,False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,False,False,False,False,False,True,computed,0.05196379217172747,False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,False,False,False,False,False,True,computed,0.1641607589731217,False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,False,False,False,False,False,False,computed,0.22786494910422253,False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,False,False,False,False,False,True,computed,0.20139433569461307,False
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,False,False,False,False,False,True,computed,0.13809422478004393,False
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,False,False,False,False,False,False,computed,0.19741034493082005,False
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,False,False,False,False,False,True,computed,0.13739105344490113,False
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,False,False,False,False,False,True,computed,0.09291687161373458,False
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,False,False,False,False,False,True,computed,0.19590832578638379,False
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,False,False,False,False,False,True,computed,0.15471499862186125,False
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,False,False,False,False,False,True,computed,0.22814334172077003,False
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,False,False,False,False,False,True,computed,0.1676854123065953,False
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,False,False,False,False,False,False,computed,0.05415233821750195,False
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,False,False,False,False,False,True,computed,0.10536114982985854,False
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,False,False,False,False,False,True,computed,0.12171676594522123,False
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,False,False,False,False,False,True,computed,0.15643102846541246,False
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,False,False,False,False,False,True,computed,0.19949215812446494,False
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,False,False,False,False,False,False,computed,0.2177589861109199,False
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,False,False,False,False,False,True,computed,0.14151925526825018,False
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,False,False,False,False,False,True,computed,0.19522179974644469,False
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,False,False,False,False,False,False,computed,0.250310632147911,False
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,False,False,False,False,False,True,computed,0.11827842943750318,False
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,187.255870651,0.828194463092,4.64611349328e-05,375.783913497,False,False,False,False,False,True,computed,0.1738754053550803,False
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,198.376734591,0.636800402216,8.40585875992e-05,361.411435367,False,False,False,False,False,True,computed,0.24369506552444373,False
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,199.601335125,0.449852506485,5.7030843283e-05,364.706449651,False,False,False,False,False,True,computed,0.10232694422334715,False
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,203.030488295,0.654564663741,6.39602473907e-05,333.568221635,False,False,False,False,False,True,computed,0.15217765354027107,False
