path,item_type,size_bytes,blob_id,lfs_sha256,xet_hash,last_commit_oid,last_commit_date,classification
.gitattributes,file,2646.0,2821ae1c6cb90e6f0e3f5444513cd4ac5838bc05,,,d69dac5bda8b622bc0de316b112815c6056c06ec,2026-08-06T08:33:19+00:00,repository control file
labels_partition_1_new-data.csv,file,11950199.0,1f0946e2f0b4bb7cd6b188cdbb02c0da05e8596f,6d2fe65e245a41da31f9a3200d12d7228b699d740a4c1f44a51219045b2c9e2e,a369f77c80ab194e80f340177c1af35aeea4f17dd457d0fc406520dea98810a4,4a2926a6717113714f442e35697c987aba44255c,2026-08-05T22:00:22+00:00,partition label ledger
labels_partition_2_old-data-local.csv,file,12713730.0,21bb1560d5a5fa1b5cc6cc185b78bb11a97842c3,2fb97ab5976e2d994aa603c6f3145d362c44737633950d7dc9c8a78c68d7aee8,28c2df9951152b3dd50af4362dd68e4bb2f3d53b2f8e8c5909daba9d1a8bc206,d69dac5bda8b622bc0de316b112815c6056c06ec,2026-08-06T08:33:19+00:00,partition label ledger
labels_partition_3_old-data-remote-clean.csv,file,4349526.0,6d680a2be104970bee7ef688aa1c07179b93731c,,,dd85d7c6e8e8a2d55165ebcc74aab97d0896b738,2026-08-05T18:12:10+00:00,partition label ledger
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,folder,,,,,d750f2d0b77d39b12673d112c30d3502e1a5248d,2026-08-05T18:11:52+00:00,experiment folder
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,folder,,,,,79ec175dbb49273abc5cf4e101d0c842347f68ce,2026-08-05T22:14:50+00:00,experiment folder
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,folder,,,,,5579b9d813828df64e314ceeda7d697b4c784fbf,2026-08-05T18:12:03+00:00,experiment folder
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,folder,,,,,b30b8123981712373ba33b4b633afd4931f87586,2026-08-05T18:12:44+00:00,experiment folder
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,folder,,,,,25661e3e60f069e1de124f6f73ae1a8bcd714a0b,2026-08-05T19:34:28+00:00,experiment folder
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,folder,,,,,ff836f1a5a1f3a7138ef913bd74bac3559e11045,2026-08-05T22:15:27+00:00,experiment folder
