experiment_name,complete_content_bundle_sha256,file_count,total_size_bytes,partition
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,4cc546d8e615b6ace438c1b8483b8139dadca2878e4eed5e1570d93d0c202b0e,585,66494088,old-data-local
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,297c64a004bc46e063ca8a916b44f01219bfddaf9c40e228926e220ce1b6176c,840,68083982,new-data
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,6ad9e54b414c6ef133b0f7a5a2ce9a76ea470401991288628670929a0aa9ef39,849,68169599,old-data-local
P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,dbf5f1bee2ecc31b6f09cbdf3b16246465d827c5b21afc4f06dcccb975240ff3,313,11257494,old-data-local
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,2e238419fc74005548f7d38c4bf006802b666814d4b726b6aa4fd0c09db0f522,435,65502475,new-data
P-118p139890353_VX-0p847347819728_LS-5p08934239386e-05_ST-372p913421628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69319999497e-06_H-d7a336064e,82aa0d6ac86ca85d0dd5ab77b7901616439abec9ee432df1aff90c68d0ced620,1131,68700417,old-data-remote-clean
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,3b83a8ce84587acf4d3664b7b6c5ab815ed4b8c3f991b2f284a74c1ed5bdde4b,990,68752703,new-data
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,6be52a6146a795a3fef1a2ba7cefefbfad3ecf7a24df396787e5ab798f6a2134,735,67384015,old-data-local
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,ce87a60f7211b296cbb96aa97c941a05bcbb2fedec27649baaf8dc0f9dbc1027,1146,69129426,new-data
P-119p65849417_VX-0p305673131798_LS-5p10692886867e-05_ST-393p327897391_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p57819582462e-05_H-cb2618ba4f,f46b3b6bff2545a7afd938c55f9a8d47463710fad772c2497a249298488e0d4f,412,11850463,old-data-local
