partition,experiment_name,labelled_frame_count,distinct_label_count,label_change_count,collapsed_label_sequence,collapsed_physical_sequence,first_physical_label,last_physical_label,has_conduction,has_keyhole,first_conduction_frame_index,first_conduction_timestep,first_keyhole_frame_index,first_keyhole_timestep,last_keyhole_frame_index,last_keyhole_timestep,keyhole_frame_count,relevant_physical_frame_count,keyhole_fraction_of_relevant_physical_frames,keyhole_segment_count,maximum_keyhole_segment_frames,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,time_conversion_validated,label_sequence_sha256
new-data,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,274,4,3,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,85.0,36009.0,,,,,0,209,0.0,0,0,False,False,False,False,dc7aefa3325fdf5f0429d4d50eb1661e6a34473068821f77ff7fe242a4627276
new-data,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,388,5,4,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,96.0,28996.0,,,,,0,222,0.0,0,0,False,False,False,False,18b865d97e21c9ef1b510f279dd682b9b7c03df9e1c6e84142306ac78ce320cd
new-data,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,215,3,2,Initial Emptiness -> Forming Phase -> Conduction,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,68.0,37217.0,,,,,0,177,0.0,0,0,False,False,False,False,6a46a30efb4d41e983499a1c5c3a98a19f82ea1c180cc6173dcd9b2e0ae5e590
new-data,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,280,4,3,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,83.0,34864.0,,,,,0,211,0.0,0,0,False,False,False,False,a506eeeba3461bb62cc2971f7866513572d4c0be07ce92f5a49df401e6980acd
new-data,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,267,4,3,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,77.0,34594.0,,,,,0,211,0.0,0,0,False,False,False,False,bd8393381fcae5d2dc42de0b007e5a44c8f386a5715726c76e532512e36e4549
new-data,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,132,3,2,Initial Emptiness -> Forming Phase -> Conduction,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,70.0,62115.0,,,,,0,94,0.0,0,0,False,False,False,False,e906a20372ca96f6c30acd4cc694756b4c3ee011b46528d14d3d7214ee97a429
new-data,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,317,5,4,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,83.0,30576.0,,,,,0,214,0.0,0,0,False,False,False,False,8bcd482f3fff4d5c2df1f5240bfb4a01ecc765d3812f83355f4ca07f72c758b8
new-data,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,369,5,4,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,79.0,25611.0,,,,,0,205,0.0,0,0,False,False,False,False,c8dd64f3aef65f6a8f2b543efa995ce34c845b86d501f1416b91e1ae6644b785
new-data,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,261,4,3,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,65.0,30863.0,,,,,0,205,0.0,0,0,False,False,False,False,622819df4cb35e809ae289eaaa890a10e627e029db629eee008a6cd856aa0759
new-data,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,275,4,3,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,Forming Phase -> Conduction,Forming Phase,Conduction,True,False,75.0,31555.0,,,,,0,206,0.0,0,0,False,False,False,False,782349408ddc48b2274b549d0ce281a35ac8d229dc5dad4868f1e91ecfe53b4b
