partition,collapsed_label_sequence,experiment_count,partition_experiment_count,experiment_percent
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Unsure -> Forming Phase -> Conduction,1,407,0.2457002457002457
combined,Screenshot Bug -> Initial Emptiness -> Screenshot Bug -> Initial Emptiness -> Screenshot Bug -> Forming Phase -> Screenshot Bug -> Forming Phase -> Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction -> Screenshot Bug -> Conduction,1,407,0.2457002457002457
new-data,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,42,165,25.454545454545453
new-data,Initial Emptiness -> Forming Phase -> Conduction,30,165,18.181818181818183
new-data,Initial Emptiness -> Forming Phase -> Keyhole,26,165,15.757575757575758
new-data,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,23,165,13.93939393939394
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction,6,165,3.6363636363636362
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Scanning Stopped -> Screenshot Bug,4,165,2.4242424242424243
new-data,Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,2,165,1.2121212121212122
new-data,Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Forming Phase -> Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Conduction -> Forming Phase -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped -> Initial Emptiness,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Keyhole,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,165,0.6060606060606061
new-data,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,165,0.6060606060606061
