target,target_label,target_definition,model,n_predictions,mae_um,median_absolute_error_um,rmse_um,r2,nrmse,target_min_um,target_median_um,target_max_um,target_range_um,aggregate_fold_runtime_seconds,mean_fold_runtime_seconds,failed_folds,warning_folds
depth,Penetration depth below original surface,T0,linear_ridge,230,3.352296934925033,2.710386028261265,4.632403434121431,0.9103065492109311,0.06128614192051464,18.77861,54.72232,94.365085,75.586475,214.75240599998506,0.9337061130434133,0,0
depth,Penetration depth below original surface,T0,matern32_learned_nugget,230,1.8022708265928273,1.339809185788404,2.728942784700328,0.9688730302355166,0.03610358578965785,18.77861,54.72232,94.365085,75.586475,216.58335170010105,0.9416667465221785,0,1
depth,Penetration depth below original surface,T0,polynomial_ridge_degree2,230,2.5858952985162382,1.8376190551091796,3.888507416188099,0.9368004703152256,0.05144448681047898,18.77861,54.72232,94.365085,75.586475,344.3157848995761,1.4970251517372875,0,0
depth,Penetration depth below original surface,T0,training_mean,230,12.684469174102906,10.961865698689955,15.535254133897734,-0.008752693503175202,0.20552954922025052,18.77861,54.722319999999996,94.365085,75.586475,0.0,0.0,0,0
length,Melt-pool length,T0,linear_ridge,241,25.887850558913144,21.822261806763947,35.83033979196004,0.8431299647343615,0.08380096767088503,116.1617,341.3759,543.72645,427.56475,225.76950350002153,0.9368029190872262,0,0
length,Melt-pool length,T0,matern32_learned_nugget,241,10.622779991053926,5.348059767395853,19.389061515971587,0.9540641541519996,0.04534766141495899,116.1617,341.3759,543.72645,427.56475,257.3598016000469,1.0678829941910661,0,1
length,Melt-pool length,T0,polynomial_ridge_degree2,241,18.10057020803342,14.887901892615503,25.663039369520003,0.919526234886113,0.06002141048699642,116.1617,341.3759,543.72645,427.56475,351.2880148999975,1.4576266178423134,0,0
length,Melt-pool length,T0,training_mean,241,77.97570963585758,78.80487062909498,90.84200906551783,-0.008350694444444251,0.21246374745700583,116.1617,341.3759,543.72645,427.56475,0.0,0.0,0,0
width,Melt-pool width,T0,linear_ridge,241,6.904674457699927,4.786377070280224,9.551436024475029,0.9349080247520868,0.05603392284951568,86.30895,159.00522,256.76705,170.4581,223.09075830038637,0.9256877937775368,0,0
width,Melt-pool width,T0,matern32_learned_nugget,241,3.2744858907568295,1.9076921486144158,6.696354932464742,0.9680061106774571,0.03928446305845684,86.30895,159.00522,256.76705,170.4581,469.73178209987236,1.94909453153474,0,5
width,Melt-pool width,T0,polynomial_ridge_degree2,241,3.3876636228557717,2.092056123735091,6.725321593790456,0.9677287177922403,0.039454397261206454,86.30895,159.00522,256.76705,170.4581,351.86069729947485,1.4600028933588167,0,0
width,Melt-pool width,T0,training_mean,241,30.66353692704061,26.362261812512088,37.593325641908756,-0.008350694444444251,0.2205429113776861,86.30895,159.00522,256.76705,170.4581,0.0,0.0,0,0
