simulation_id,numeric_simulation_id,relative_path,present_in_primary_hfapi_enumeration,present_in_http_enumeration,recursive_enumeration_method,recursive_pages_consumed,recursive_page_count_interpretation,pagination_complete,recursive_item_count,file_count,nested_folder_count
sim_00070,70,final_data_processed/sim_00070,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1214,1209,5
sim_00071,71,final_data_processed/sim_00071,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,350,345,5
sim_00072,72,final_data_processed/sim_00072,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1319,1314,5
sim_00073,73,final_data_processed/sim_00073,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,803,798,5
sim_00074,74,final_data_processed/sim_00074,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1055,1050,5
sim_00075,75,final_data_processed/sim_00075,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1061,1056,5
sim_00076,76,final_data_processed/sim_00076,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,914,909,5
sim_00077,77,final_data_processed/sim_00077,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,884,879,5
sim_00078,78,final_data_processed/sim_00078,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,431,426,5
sim_00079,79,final_data_processed/sim_00079,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1061,1056,5
sim_00080,80,final_data_processed/sim_00080,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1247,1242,5
sim_00081,81,final_data_processed/sim_00081,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1139,1134,5
sim_00082,82,final_data_processed/sim_00082,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,677,672,5
sim_00083,83,final_data_processed/sim_00083,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1136,1131,5
sim_00084,84,final_data_processed/sim_00084,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1205,1200,5
sim_00085,85,final_data_processed/sim_00085,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,791,786,5
sim_00086,86,final_data_processed/sim_00086,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1262,1257,5
sim_00087,87,final_data_processed/sim_00087,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,446,441,5
sim_00088,88,final_data_processed/sim_00088,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,977,972,5
sim_00089,89,final_data_processed/sim_00089,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,437,432,5
sim_00090,90,final_data_processed/sim_00090,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,557,552,5
sim_00091,91,final_data_processed/sim_00091,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1148,1143,5
sim_00092,92,final_data_processed/sim_00092,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1286,1281,5
sim_00093,93,final_data_processed/sim_00093,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1178,1173,5
sim_00094,94,final_data_processed/sim_00094,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1166,1161,5
sim_00095,95,final_data_processed/sim_00095,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,767,762,5
sim_00096,96,final_data_processed/sim_00096,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,941,936,5
sim_00097,97,final_data_processed/sim_00097,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,353,348,5
sim_00098,98,final_data_processed/sim_00098,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,368,363,5
sim_00099,99,final_data_processed/sim_00099,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1055,1050,5
sim_00100,100,final_data_processed/sim_00100,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,578,573,5
sim_00101,101,final_data_processed/sim_00101,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,167,162,5
sim_00102,102,final_data_processed/sim_00102,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,497,492,5
sim_00103,103,final_data_processed/sim_00103,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,671,666,5
sim_00104,104,final_data_processed/sim_00104,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1094,1089,5
sim_00105,105,final_data_processed/sim_00105,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,728,723,5
sim_00106,106,final_data_processed/sim_00106,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1076,1071,5
sim_00107,107,final_data_processed/sim_00107,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,425,420,5
sim_00108,108,final_data_processed/sim_00108,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,578,573,5
sim_00109,109,final_data_processed/sim_00109,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1160,1155,5
sim_00110,110,final_data_processed/sim_00110,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,959,954,5
sim_00111,111,final_data_processed/sim_00111,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1010,1005,5
sim_00112,112,final_data_processed/sim_00112,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1235,1230,5
sim_00113,113,final_data_processed/sim_00113,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1181,1176,5
sim_00114,114,final_data_processed/sim_00114,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1325,1320,5
sim_00115,115,final_data_processed/sim_00115,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,596,591,5
sim_00116,116,final_data_processed/sim_00116,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,473,468,5
sim_00117,117,final_data_processed/sim_00117,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1271,1266,5
sim_00118,118,final_data_processed/sim_00118,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,425,420,5
sim_00119,119,final_data_processed/sim_00119,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,698,693,5
sim_00120,120,final_data_processed/sim_00120,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1169,1164,5
sim_00121,121,final_data_processed/sim_00121,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1259,1254,5
sim_00122,122,final_data_processed/sim_00122,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,446,441,5
sim_00123,123,final_data_processed/sim_00123,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,701,696,5
sim_00124,124,final_data_processed/sim_00124,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,671,666,5
sim_00125,125,final_data_processed/sim_00125,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,536,531,5
sim_00126,126,final_data_processed/sim_00126,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,674,669,5
sim_00127,127,final_data_processed/sim_00127,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,554,549,5
sim_00128,128,final_data_processed/sim_00128,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1121,1116,5
sim_00129,129,final_data_processed/sim_00129,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,944,939,5
sim_00130,130,final_data_processed/sim_00130,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1088,1083,5
sim_00131,131,final_data_processed/sim_00131,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1253,1248,5
sim_00132,132,final_data_processed/sim_00132,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1181,1176,5
sim_00133,133,final_data_processed/sim_00133,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,380,375,5
sim_00134,134,final_data_processed/sim_00134,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,947,942,5
sim_00135,135,final_data_processed/sim_00135,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,656,651,5
sim_00137,137,final_data_processed/sim_00137,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,759,754,5
sim_00138,138,final_data_processed/sim_00138,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,944,939,5
sim_00139,139,final_data_processed/sim_00139,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,695,690,5
sim_00140,140,final_data_processed/sim_00140,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,971,966,5
sim_00141,141,final_data_processed/sim_00141,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1313,1308,5
sim_00142,142,final_data_processed/sim_00142,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,566,561,5
sim_00143,143,final_data_processed/sim_00143,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1316,1311,5
sim_00144,144,final_data_processed/sim_00144,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,839,834,5
sim_00145,145,final_data_processed/sim_00145,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,554,549,5
sim_00146,146,final_data_processed/sim_00146,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,494,489,5
sim_00147,147,final_data_processed/sim_00147,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1805,1800,5
sim_00148,148,final_data_processed/sim_00148,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1331,1326,5
sim_00149,149,final_data_processed/sim_00149,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1127,1122,5
sim_00150,150,final_data_processed/sim_00150,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1187,1182,5
sim_00151,151,final_data_processed/sim_00151,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1964,1959,5
sim_00152,152,final_data_processed/sim_00152,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,1,"1,000-item page equivalent for fully consumed HfApi iterator",True,452,447,5
sim_00153,153,final_data_processed/sim_00153,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,1,"1,000-item page equivalent for fully consumed HfApi iterator",True,941,936,5
sim_00154,154,final_data_processed/sim_00154,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1274,1269,5
sim_00155,155,final_data_processed/sim_00155,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1148,1143,5
sim_00156,156,final_data_processed/sim_00156,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,1,"1,000-item page equivalent for fully consumed HfApi iterator",True,614,609,5
sim_00157,157,final_data_processed/sim_00157,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1661,1656,5
sim_00158,158,final_data_processed/sim_00158,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,2,"1,000-item page equivalent for fully consumed HfApi iterator",True,1103,1098,5
sim_00159,159,final_data_processed/sim_00159,True,True,fully_consumed_hfapi_recursive_iterator_cache_repair,1,"1,000-item page equivalent for fully consumed HfApi iterator",True,992,987,5
sim_00160,160,final_data_processed/sim_00160,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,788,783,5
sim_00161,161,final_data_processed/sim_00161,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,470,465,5
sim_00162,162,final_data_processed/sim_00162,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,617,612,5
sim_00163,163,final_data_processed/sim_00163,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,701,696,5
sim_00164,164,final_data_processed/sim_00164,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,380,375,5
sim_00165,165,final_data_processed/sim_00165,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1052,1047,5
sim_00166,166,final_data_processed/sim_00166,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,833,828,5
sim_00167,167,final_data_processed/sim_00167,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,977,972,5
sim_00168,168,final_data_processed/sim_00168,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,872,867,5
sim_00169,169,final_data_processed/sim_00169,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,464,459,5
sim_00170,170,final_data_processed/sim_00170,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1244,1239,5
sim_00171,171,final_data_processed/sim_00171,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1088,1083,5
sim_00172,172,final_data_processed/sim_00172,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1085,1080,5
sim_00173,173,final_data_processed/sim_00173,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1385,1380,5
sim_00174,174,final_data_processed/sim_00174,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,572,567,5
sim_00175,175,final_data_processed/sim_00175,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,557,552,5
