benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,6,0.251,0.971,0.2221414577344391,0.04974760000004608,0.4875,400,0.94,0.2007275784556291,0.41375,800,0.93875,0.20275076444433307,0.3625,1200,0.9533333333333334,0.2095578199780207
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,7,0.211,0.967,0.21695478845561494,0.04612209999868355,0.4875,400,0.94,0.2006027352161631,0.41375,800,0.93875,0.20261542557312215,0.3591666666666667,1200,0.9533333333333334,0.20933933737812707
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,8,0.21625,0.91475,0.18759774847018681,0.04022330000043439,0.49,400,0.8975,0.17275666772411225,0.42875,800,0.88625,0.17588101098322803,0.37666666666666665,1200,0.9108333333333334,0.18216847796120783
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,9,0.22125,0.89125,0.17175174475161534,0.04071729999850504,0.49,400,0.89,0.16429380529036494,0.43875,800,0.8725,0.1675565458730595,0.38916666666666666,1200,0.8966666666666666,0.17351368621573235
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,10,0.195,0.8475,0.16100664916797275,0.04057289999946079,0.45,400,0.8775,0.1682379587242882,0.3825,800,0.865,0.16627884497021347,0.3333333333333333,1200,0.88,0.16846344044816486
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,11,0.11875,0.84325,0.15656583583171205,0.040684600000531645,0.4325,400,0.88,0.1722726577283057,0.35125,800,0.86625,0.1692481074004276,0.29083333333333333,1200,0.8833333333333333,0.17061831218538953
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,12,0.11275,0.773,0.1337409349040877,0.04203589999997348,0.425,400,0.845,0.1562167121780421,0.3375,800,0.83125,0.15115182500922317,0.2791666666666667,1200,0.8466666666666667,0.15034691389977367
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,13,0.11375,0.72525,0.12299222076449737,0.04058599999916623,0.42,400,0.8125,0.14465621317944852,0.33,800,0.79625,0.13929438457158805,0.27416666666666667,1200,0.8108333333333333,0.1375238915243098
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,14,0.12275,0.69175,0.11529459907590299,0.03799820000131149,0.415,400,0.7975,0.139679477761167,0.33625,800,0.77,0.13402753056390185,0.2808333333333333,1200,0.7825,0.13202035935585818
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,15,0.12325,0.78575,0.14094133129403436,0.04104860000006738,0.4075,400,0.8675,0.16176371313954532,0.3425,800,0.84625,0.15725751169484503,0.285,1200,0.8533333333333334,0.1578137051299066
