arm,model,path,budget,subset,metric,value
Y00,M0,A0,16,B1_q20,accuracy,0.7317647058823529
Y00,M0,A0,16,B1_q20,balanced_accuracy,0.6861943473193474
Y00,M0,A0,16,B1_q20,conduction_recall,0.8748966311466312
Y00,M0,A0,16,B1_q20,false_negative,3.28
Y00,M0,A0,16,B1_q20,false_positive,1.28
Y00,M0,A0,16,B1_q20,keyhole_recall,0.4974920634920635
Y00,M0,A0,16,B1_q30,accuracy,0.7884
Y00,M0,A0,16,B1_q30,balanced_accuracy,0.7196344944400285
Y00,M0,A0,16,B1_q30,conduction_recall,0.9095316151426833
Y00,M0,A0,16,B1_q30,false_negative,3.8
Y00,M0,A0,16,B1_q30,false_positive,1.49
Y00,M0,A0,16,B1_q30,keyhole_recall,0.5297373737373737
Y00,M0,A0,16,full81,accuracy,0.9296296296296296
Y00,M0,A0,16,full81,balanced_accuracy,0.8461251534535117
Y00,M0,A0,16,full81,conduction_recall,0.9763455450022615
Y00,M0,A0,16,full81,false_negative,4.13
Y00,M0,A0,16,full81,false_positive,1.57
Y00,M0,A0,16,full81,keyhole_recall,0.7159047619047619
Y00,M0,A0,20,B1_q20,accuracy,0.7635294117647058
Y00,M0,A0,20,B1_q20,balanced_accuracy,0.7295702630702631
Y00,M0,A0,20,B1_q20,conduction_recall,0.8686167166167167
Y00,M0,A0,20,B1_q20,false_negative,2.65
Y00,M0,A0,20,B1_q20,false_positive,1.37
Y00,M0,A0,20,B1_q20,keyhole_recall,0.5905238095238095
Y00,M0,A0,20,B1_q30,accuracy,0.8228
Y00,M0,A0,20,B1_q30,balanced_accuracy,0.7744659291731659
Y00,M0,A0,20,B1_q30,conduction_recall,0.9122182941327678
Y00,M0,A0,20,B1_q30,false_negative,2.94
Y00,M0,A0,20,B1_q30,false_positive,1.49
Y00,M0,A0,20,B1_q30,keyhole_recall,0.6367135642135642
Y00,M0,A0,20,full81,accuracy,0.9418518518518517
Y00,M0,A0,20,full81,balanced_accuracy,0.8812109905020352
Y00,M0,A0,20,full81,conduction_recall,0.9757553143374038
Y00,M0,A0,20,full81,false_negative,3.1
Y00,M0,A0,20,full81,false_positive,1.61
Y00,M0,A0,20,full81,keyhole_recall,0.7866666666666667
Y00,M0,A0,30,B1_q20,accuracy,0.7970588235294117
Y00,M0,A0,30,B1_q20,balanced_accuracy,0.7695389749139748
Y00,M0,A0,30,B1_q20,conduction_recall,0.8852882672882673
Y00,M0,A0,30,B1_q20,false_negative,2.27
Y00,M0,A0,30,B1_q20,false_positive,1.18
Y00,M0,A0,30,B1_q20,keyhole_recall,0.6537896825396825
Y00,M0,A0,30,B1_q30,accuracy,0.8515999999999999
Y00,M0,A0,30,B1_q30,balanced_accuracy,0.8099003053619928
Y00,M0,A0,30,B1_q30,conduction_recall,0.924509124432499
Y00,M0,A0,30,B1_q30,false_negative,2.44
Y00,M0,A0,30,B1_q30,false_positive,1.27
Y00,M0,A0,30,B1_q30,keyhole_recall,0.6952914862914864
Y00,M0,A0,30,full81,accuracy,0.9504938271604938
Y00,M0,A0,30,full81,balanced_accuracy,0.8973781094527363
Y00,M0,A0,30,full81,conduction_recall,0.9804228855721392
Y00,M0,A0,30,full81,false_negative,2.71
Y00,M0,A0,30,full81,false_positive,1.3
Y00,M0,A0,30,full81,keyhole_recall,0.8143333333333334
Y00,M0,A0,40,B1_q20,accuracy,0.8170588235294117
Y00,M0,A0,40,B1_q20,balanced_accuracy,0.7971125124875126
Y00,M0,A0,40,B1_q20,conduction_recall,0.8831813741813741
Y00,M0,A0,40,B1_q20,false_negative,1.91
Y00,M0,A0,40,B1_q20,false_positive,1.2
Y00,M0,A0,40,B1_q20,keyhole_recall,0.7110436507936508
Y00,M0,A0,40,B1_q30,accuracy,0.8708
Y00,M0,A0,40,B1_q30,balanced_accuracy,0.8396896302227185
Y00,M0,A0,40,B1_q30,conduction_recall,0.9266400829562594
Y00,M0,A0,40,B1_q30,false_negative,2.0
Y00,M0,A0,40,B1_q30,false_positive,1.23
Y00,M0,A0,40,B1_q30,keyhole_recall,0.7527391774891775
Y00,M0,A0,40,full81,accuracy,0.9579012345679011
Y00,M0,A0,40,full81,balanced_accuracy,0.9159923434774181
Y00,M0,A0,40,full81,conduction_recall,0.9814608774310267
Y00,M0,A0,40,full81,false_negative,2.18
Y00,M0,A0,40,full81,false_positive,1.23
Y00,M0,A0,40,full81,keyhole_recall,0.8505238095238096
Y00,M0,A0,60,B1_q20,accuracy,0.8329411764705883
Y00,M0,A0,60,B1_q20,balanced_accuracy,0.8129494533244533
Y00,M0,A0,60,B1_q20,conduction_recall,0.8945695415695415
Y00,M0,A0,60,B1_q20,false_negative,1.75
Y00,M0,A0,60,B1_q20,false_positive,1.09
Y00,M0,A0,60,B1_q20,keyhole_recall,0.7313293650793651
Y00,M0,A0,60,B1_q30,accuracy,0.884
Y00,M0,A0,60,B1_q30,balanced_accuracy,0.8554406178831487
Y00,M0,A0,60,B1_q30,conduction_recall,0.9347957379307998
Y00,M0,A0,60,B1_q30,false_negative,1.8
Y00,M0,A0,60,B1_q30,false_positive,1.1
Y00,M0,A0,60,B1_q30,keyhole_recall,0.7760854978354979
Y00,M0,A0,60,full81,accuracy,0.9637037037037036
Y00,M0,A0,60,full81,balanced_accuracy,0.9285225495897137
Y00,M0,A0,60,full81,conduction_recall,0.9834260515603799
Y00,M0,A0,60,full81,false_negative,1.84
Y00,M0,A0,60,full81,false_positive,1.1
Y00,M0,A0,60,full81,keyhole_recall,0.8736190476190476
Y00,M0,A0,80,B1_q20,accuracy,0.8329411764705883
Y00,M0,A0,80,B1_q20,balanced_accuracy,0.8130964590964591
Y00,M0,A0,80,B1_q20,conduction_recall,0.8938119658119658
Y00,M0,A0,80,B1_q20,false_negative,1.74
Y00,M0,A0,80,B1_q20,false_positive,1.1
Y00,M0,A0,80,B1_q20,keyhole_recall,0.7323809523809524
Y00,M0,A0,80,B1_q30,accuracy,0.8792
Y00,M0,A0,80,B1_q30,balanced_accuracy,0.8493149153692885
Y00,M0,A0,80,B1_q30,conduction_recall,0.9326319952407414
Y00,M0,A0,80,B1_q30,false_negative,1.88
Y00,M0,A0,80,B1_q30,false_positive,1.14
Y00,M0,A0,80,B1_q30,keyhole_recall,0.7659978354978355
Y00,M0,A0,80,full81,accuracy,0.9624691358024691
Y00,M0,A0,80,full81,balanced_accuracy,0.9260290430962073
Y00,M0,A0,80,full81,conduction_recall,0.9828199909543193
Y00,M0,A0,80,full81,false_negative,1.9
Y00,M0,A0,80,full81,false_positive,1.14
Y00,M0,A0,80,full81,keyhole_recall,0.8692380952380953
Y01,M0,A1,16,B1_q20,accuracy,0.7317647058823529
Y01,M0,A1,16,B1_q20,balanced_accuracy,0.6861943473193474
