candidate_id,heldout_simulations,positive_count,negative_count,balanced_accuracy,sensitivity,specificity,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,evaluation,leakage_safe
G0,241,9,232,0.8608716475095786,0.7777777777777778,0.9439655172413793,0.35,0.7777777777777778,0.4827586206896552,219,13,2,7,exact nested leave-one-simulation-out,True
G2,240,9,231,0.9567099567099567,1.0,0.9134199134199135,0.3103448275862069,1.0,0.47368421052631576,211,20,0,9,exact nested leave-one-simulation-out,True
G3,240,9,231,0.9567099567099567,1.0,0.9134199134199135,0.3103448275862069,1.0,0.47368421052631576,211,20,0,9,exact nested leave-one-simulation-out,True
R2,240,9,231,0.8795093795093795,0.8888888888888888,0.8701298701298701,0.21052631578947367,0.8888888888888888,0.3404255319148936,201,30,1,8,exact nested leave-one-simulation-out,True
R3,240,9,231,0.873015873015873,0.8888888888888888,0.8571428571428571,0.1951219512195122,0.8888888888888888,0.32,198,33,1,8,exact nested leave-one-simulation-out,True
