policy,runs,AULC_16_80,d_16_80,ci_16_80,pos_16_80,AULC_16_40,d_16_40,ci_16_40,pos_16_40,AULC_41_80,d_41_80,ci_41_80,pos_41_80,B40_q20_KH_recall
margin,50,0.8463970588235292,,,,0.8252941176470588,,,,0.8592760180995472,,,,0.7531984126984126
early8__cov_then_misfit_B40,50,0.8553216911764706,0.008924632352941195,"[+0.0041, +0.0134]",9/10,0.8463725490196077,0.021078431372549004,"[+0.0137, +0.0282]",10/10,0.8609049773755655,0.0016289592760181028,"[-0.0028, +0.0058]",7/10,0.7552698412698412
early12__cov_then_misfit_B40,50,0.8535018382352942,0.007104779411764723,"[+0.0053, +0.0088]",10/10,0.8373774509803922,0.012083333333333338,"[+0.0071, +0.0171]",9/10,0.8633182503770739,0.004042232277526403,"[+0.0017, +0.0063]",8/10,0.7627142857142857
early4__cov_then_misfit_B40,50,0.852077205882353,0.0056801470588235484,"[-0.0021, +0.0120]",8/10,0.8390441176470589,0.013749999999999998,"[+0.0027, +0.0225]",9/10,0.8600150829562593,0.0007390648567118993,"[-0.0057, +0.0063]",6/10,0.7561825396825397
cov_then_misfit_B40,50,0.8512867647058825,0.004889705882352947,"[+0.0016, +0.0085]",7/10,0.8320098039215688,0.006715686274509805,"[-0.0012, +0.0152]",6/10,0.8631372549019606,0.0038612368024132796,"[+0.0021, +0.0054]",9/10,0.7399126984126984
cov_pad50_then_misfit_B40,50,0.8505698529411764,0.004172794117647062,"[+0.0009, +0.0075]",7/10,0.8333333333333333,0.0080392156862745,"[+0.0019, +0.0146]",6/10,0.8609954751131221,0.0017194570135746652,"[-0.0017, +0.0052]",6/10,0.7481031746031745
early8__margin,50,0.850220588235294,0.0038235294117647057,"[-0.0013, +0.0087]",7/10,0.8333333333333333,0.008039215686274522,"[-0.0019, +0.0171]",7/10,0.8604826546003015,0.0012066365007541502,"[-0.0017, +0.0040]",7/10,0.749015873015873
cov_hvx_then_misfit_B40,50,0.8495772058823529,0.0031801470588235328,"[+0.0003, +0.0056]",8/10,0.8296078431372551,0.004313725490196073,"[-0.0038, +0.0106]",8/10,0.8618552036199092,0.0025791855203619817,"[+0.0004, +0.0046]",8/10,0.7735317460317459
cov_x_pad50_B40,50,0.8495220588235294,0.003125000000000005,"[+0.0007, +0.0059]",8/10,0.8333333333333333,0.0080392156862745,"[+0.0018, +0.0146]",6/10,0.8593514328808445,7.541478129714067e-05,"[-0.0015, +0.0016]",5/10,0.7481031746031745
cov_hvx_B40,50,0.8486488970588233,0.002251838235294126,"[-0.0009, +0.0046]",9/10,0.8296078431372551,0.004313725490196073,"[-0.0038, +0.0105]",8/10,0.8602714932126696,0.0009954751131221664,"[-0.0007, +0.0027]",6/10,0.7735317460317459
