population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
full_405,7,P1_M3_MARGIN_MONO,0.98,True,43.0,88
full_405,7,P2_MONO_BISECTION_M3,0.95,True,16.0,95
full_405,7,P2_MONO_BISECTION_M3,0.97,True,40.0,95
full_405,7,P2_MONO_BISECTION_M3,0.98,True,55.0,95
full_405,7,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,90
full_405,7,P3_MONO_EXPECTED_GAIN_M3,0.97,True,32.0,90
full_405,7,P3_MONO_EXPECTED_GAIN_M3,0.98,True,36.0,90
full_405,8,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
full_405,8,P0_M3_MARGIN_STANDARD,0.97,True,40.0,120
full_405,8,P0_M3_MARGIN_STANDARD,0.98,True,43.0,120
full_405,8,P1_M3_MARGIN_MONO,0.95,True,16.0,87
full_405,8,P1_M3_MARGIN_MONO,0.97,True,40.0,87
full_405,8,P1_M3_MARGIN_MONO,0.98,True,43.0,87
full_405,8,P2_MONO_BISECTION_M3,0.95,True,16.0,96
full_405,8,P2_MONO_BISECTION_M3,0.97,True,40.0,96
full_405,8,P2_MONO_BISECTION_M3,0.98,True,50.0,96
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,88
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.97,True,41.0,88
full_405,8,P3_MONO_EXPECTED_GAIN_M3,0.98,True,43.0,88
full_405,9,P0_M3_MARGIN_STANDARD,0.95,True,29.0,120
full_405,9,P0_M3_MARGIN_STANDARD,0.97,True,34.0,120
full_405,9,P0_M3_MARGIN_STANDARD,0.98,True,38.0,120
full_405,9,P1_M3_MARGIN_MONO,0.95,True,29.0,87
full_405,9,P1_M3_MARGIN_MONO,0.97,True,34.0,87
full_405,9,P1_M3_MARGIN_MONO,0.98,True,38.0,87
full_405,9,P2_MONO_BISECTION_M3,0.95,True,27.0,88
full_405,9,P2_MONO_BISECTION_M3,0.97,True,33.0,88
full_405,9,P2_MONO_BISECTION_M3,0.98,True,48.0,88
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.95,True,25.0,86
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,86
full_405,9,P3_MONO_EXPECTED_GAIN_M3,0.98,True,36.0,86
full_405,10,P0_M3_MARGIN_STANDARD,0.95,True,26.0,120
full_405,10,P0_M3_MARGIN_STANDARD,0.97,True,28.0,120
full_405,10,P0_M3_MARGIN_STANDARD,0.98,True,39.0,120
full_405,10,P1_M3_MARGIN_MONO,0.95,True,28.0,86
full_405,10,P1_M3_MARGIN_MONO,0.97,True,49.0,86
full_405,10,P1_M3_MARGIN_MONO,0.98,False,,86
full_405,10,P2_MONO_BISECTION_M3,0.95,True,45.0,88
full_405,10,P2_MONO_BISECTION_M3,0.97,True,50.0,88
full_405,10,P2_MONO_BISECTION_M3,0.98,False,,88
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.95,True,22.0,84
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.97,True,47.0,84
full_405,10,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,84
full_405,11,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
full_405,11,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
full_405,11,P0_M3_MARGIN_STANDARD,0.98,True,41.0,120
full_405,11,P1_M3_MARGIN_MONO,0.95,True,16.0,86
full_405,11,P1_M3_MARGIN_MONO,0.97,True,36.0,86
full_405,11,P1_M3_MARGIN_MONO,0.98,True,41.0,86
full_405,11,P2_MONO_BISECTION_M3,0.95,True,16.0,96
full_405,11,P2_MONO_BISECTION_M3,0.97,True,41.0,96
full_405,11,P2_MONO_BISECTION_M3,0.98,True,56.0,96
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,84
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.97,True,33.0,84
full_405,11,P3_MONO_EXPECTED_GAIN_M3,0.98,True,37.0,84
full_405,12,P0_M3_MARGIN_STANDARD,0.95,True,31.0,120
full_405,12,P0_M3_MARGIN_STANDARD,0.97,True,35.0,120
full_405,12,P0_M3_MARGIN_STANDARD,0.98,True,40.0,120
full_405,12,P1_M3_MARGIN_MONO,0.95,True,31.0,86
full_405,12,P1_M3_MARGIN_MONO,0.97,True,35.0,86
full_405,12,P1_M3_MARGIN_MONO,0.98,True,40.0,86
full_405,12,P2_MONO_BISECTION_M3,0.95,True,22.0,89
full_405,12,P2_MONO_BISECTION_M3,0.97,True,35.0,89
full_405,12,P2_MONO_BISECTION_M3,0.98,True,56.0,89
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.95,True,26.0,84
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,84
full_405,12,P3_MONO_EXPECTED_GAIN_M3,0.98,True,38.0,84
full_405,13,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
full_405,13,P0_M3_MARGIN_STANDARD,0.97,True,37.0,120
full_405,13,P0_M3_MARGIN_STANDARD,0.98,True,43.0,120
full_405,13,P1_M3_MARGIN_MONO,0.95,True,16.0,87
full_405,13,P1_M3_MARGIN_MONO,0.97,True,37.0,87
full_405,13,P1_M3_MARGIN_MONO,0.98,True,43.0,87
full_405,13,P2_MONO_BISECTION_M3,0.95,True,16.0,96
full_405,13,P2_MONO_BISECTION_M3,0.97,True,43.0,96
full_405,13,P2_MONO_BISECTION_M3,0.98,True,51.0,96
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,86
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.97,True,36.0,86
full_405,13,P3_MONO_EXPECTED_GAIN_M3,0.98,True,38.0,86
full_405,14,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
full_405,14,P0_M3_MARGIN_STANDARD,0.97,True,32.0,120
full_405,14,P0_M3_MARGIN_STANDARD,0.98,True,34.0,120
full_405,14,P1_M3_MARGIN_MONO,0.95,True,16.0,84
full_405,14,P1_M3_MARGIN_MONO,0.97,True,32.0,84
full_405,14,P1_M3_MARGIN_MONO,0.98,True,34.0,84
full_405,14,P2_MONO_BISECTION_M3,0.95,True,16.0,91
full_405,14,P2_MONO_BISECTION_M3,0.97,True,37.0,91
full_405,14,P2_MONO_BISECTION_M3,0.98,True,54.0,91
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,84
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.97,True,32.0,84
full_405,14,P3_MONO_EXPECTED_GAIN_M3,0.98,True,38.0,84
full_405,15,P0_M3_MARGIN_STANDARD,0.95,True,17.0,120
full_405,15,P0_M3_MARGIN_STANDARD,0.97,True,39.0,120
full_405,15,P0_M3_MARGIN_STANDARD,0.98,True,42.0,120
full_405,15,P1_M3_MARGIN_MONO,0.95,True,32.0,87
full_405,15,P1_M3_MARGIN_MONO,0.97,True,48.0,87
full_405,15,P1_M3_MARGIN_MONO,0.98,False,,87
full_405,15,P2_MONO_BISECTION_M3,0.95,True,35.0,95
full_405,15,P2_MONO_BISECTION_M3,0.97,True,50.0,95
full_405,15,P2_MONO_BISECTION_M3,0.98,True,59.0,95
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.95,True,30.0,87
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.97,True,50.0,87
full_405,15,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,87
full_405,16,P0_M3_MARGIN_STANDARD,0.95,True,31.0,120
full_405,16,P0_M3_MARGIN_STANDARD,0.97,True,39.0,120
full_405,16,P0_M3_MARGIN_STANDARD,0.98,True,41.0,120
full_405,16,P1_M3_MARGIN_MONO,0.95,True,31.0,86
full_405,16,P1_M3_MARGIN_MONO,0.97,True,39.0,86
full_405,16,P1_M3_MARGIN_MONO,0.98,True,41.0,86
