population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
main_364,13,P0_M3_MARGIN_STANDARD,0.97,True,24.0,120
main_364,13,P0_M3_MARGIN_STANDARD,0.98,True,29.0,120
main_364,13,P1_M3_MARGIN_MONO,0.95,True,16.0,77
main_364,13,P1_M3_MARGIN_MONO,0.97,True,24.0,77
main_364,13,P1_M3_MARGIN_MONO,0.98,True,29.0,77
main_364,13,P2_MONO_BISECTION_M3,0.95,True,16.0,82
main_364,13,P2_MONO_BISECTION_M3,0.97,True,32.0,82
main_364,13,P2_MONO_BISECTION_M3,0.98,True,43.0,82
main_364,13,P3_MONO_EXPECTED_GAIN_M3,0.95,True,16.0,76
main_364,13,P3_MONO_EXPECTED_GAIN_M3,0.97,True,21.0,76
main_364,13,P3_MONO_EXPECTED_GAIN_M3,0.98,True,26.0,76
main_364,14,P0_M3_MARGIN_STANDARD,0.95,True,27.0,120
main_364,14,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
main_364,14,P0_M3_MARGIN_STANDARD,0.98,True,37.0,120
main_364,14,P1_M3_MARGIN_MONO,0.95,True,27.0,78
main_364,14,P1_M3_MARGIN_MONO,0.97,True,36.0,78
main_364,14,P1_M3_MARGIN_MONO,0.98,True,37.0,78
main_364,14,P2_MONO_BISECTION_M3,0.95,True,18.0,82
main_364,14,P2_MONO_BISECTION_M3,0.97,True,28.0,82
main_364,14,P2_MONO_BISECTION_M3,0.98,True,44.0,82
main_364,14,P3_MONO_EXPECTED_GAIN_M3,0.95,True,27.0,78
main_364,14,P3_MONO_EXPECTED_GAIN_M3,0.97,True,32.0,78
main_364,14,P3_MONO_EXPECTED_GAIN_M3,0.98,True,34.0,78
main_364,15,P0_M3_MARGIN_STANDARD,0.95,True,22.0,120
main_364,15,P0_M3_MARGIN_STANDARD,0.97,True,25.0,120
main_364,15,P0_M3_MARGIN_STANDARD,0.98,True,27.0,120
main_364,15,P1_M3_MARGIN_MONO,0.95,True,23.0,79
main_364,15,P1_M3_MARGIN_MONO,0.97,True,27.0,79
main_364,15,P1_M3_MARGIN_MONO,0.98,False,,79
main_364,15,P2_MONO_BISECTION_M3,0.95,True,40.0,82
main_364,15,P2_MONO_BISECTION_M3,0.97,True,49.0,82
main_364,15,P2_MONO_BISECTION_M3,0.98,False,,82
main_364,15,P3_MONO_EXPECTED_GAIN_M3,0.95,True,28.0,81
main_364,15,P3_MONO_EXPECTED_GAIN_M3,0.97,True,44.0,81
main_364,15,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,81
main_364,16,P0_M3_MARGIN_STANDARD,0.95,True,18.0,120
main_364,16,P0_M3_MARGIN_STANDARD,0.97,True,28.0,120
main_364,16,P0_M3_MARGIN_STANDARD,0.98,True,40.0,120
main_364,16,P1_M3_MARGIN_MONO,0.95,True,18.0,78
main_364,16,P1_M3_MARGIN_MONO,0.97,True,28.0,78
main_364,16,P1_M3_MARGIN_MONO,0.98,True,38.0,78
main_364,16,P2_MONO_BISECTION_M3,0.95,True,20.0,90
main_364,16,P2_MONO_BISECTION_M3,0.97,True,34.0,90
main_364,16,P2_MONO_BISECTION_M3,0.98,True,40.0,90
main_364,16,P3_MONO_EXPECTED_GAIN_M3,0.95,True,24.0,82
main_364,16,P3_MONO_EXPECTED_GAIN_M3,0.97,True,31.0,82
main_364,16,P3_MONO_EXPECTED_GAIN_M3,0.98,True,39.0,82
main_364,17,P0_M3_MARGIN_STANDARD,0.95,True,31.0,120
main_364,17,P0_M3_MARGIN_STANDARD,0.97,True,35.0,120
main_364,17,P0_M3_MARGIN_STANDARD,0.98,True,35.0,120
main_364,17,P1_M3_MARGIN_MONO,0.95,True,35.0,80
main_364,17,P1_M3_MARGIN_MONO,0.97,True,35.0,80
main_364,17,P1_M3_MARGIN_MONO,0.98,False,,80
main_364,17,P2_MONO_BISECTION_M3,0.95,True,34.0,83
main_364,17,P2_MONO_BISECTION_M3,0.97,True,52.0,83
main_364,17,P2_MONO_BISECTION_M3,0.98,False,,83
main_364,17,P3_MONO_EXPECTED_GAIN_M3,0.95,True,23.0,77
main_364,17,P3_MONO_EXPECTED_GAIN_M3,0.97,True,46.0,77
main_364,17,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,77
main_364,18,P0_M3_MARGIN_STANDARD,0.95,True,33.0,120
main_364,18,P0_M3_MARGIN_STANDARD,0.97,True,42.0,120
main_364,18,P0_M3_MARGIN_STANDARD,0.98,True,43.0,120
main_364,18,P1_M3_MARGIN_MONO,0.95,True,28.0,79
main_364,18,P1_M3_MARGIN_MONO,0.97,True,37.0,79
main_364,18,P1_M3_MARGIN_MONO,0.98,True,38.0,79
main_364,18,P2_MONO_BISECTION_M3,0.95,True,23.0,85
main_364,18,P2_MONO_BISECTION_M3,0.97,True,30.0,85
main_364,18,P2_MONO_BISECTION_M3,0.98,True,43.0,85
main_364,18,P3_MONO_EXPECTED_GAIN_M3,0.95,True,29.0,77
main_364,18,P3_MONO_EXPECTED_GAIN_M3,0.97,True,31.0,77
main_364,18,P3_MONO_EXPECTED_GAIN_M3,0.98,True,31.0,77
main_364,19,P0_M3_MARGIN_STANDARD,0.95,True,24.0,120
main_364,19,P0_M3_MARGIN_STANDARD,0.97,True,27.0,120
main_364,19,P0_M3_MARGIN_STANDARD,0.98,True,33.0,120
main_364,19,P1_M3_MARGIN_MONO,0.95,True,25.0,82
main_364,19,P1_M3_MARGIN_MONO,0.97,True,35.0,82
main_364,19,P1_M3_MARGIN_MONO,0.98,True,43.0,82
main_364,19,P2_MONO_BISECTION_M3,0.95,True,39.0,80
main_364,19,P2_MONO_BISECTION_M3,0.97,True,45.0,80
main_364,19,P2_MONO_BISECTION_M3,0.98,False,,80
main_364,19,P3_MONO_EXPECTED_GAIN_M3,0.95,True,31.0,83
main_364,19,P3_MONO_EXPECTED_GAIN_M3,0.97,True,43.0,83
main_364,19,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,83
main_364,20,P0_M3_MARGIN_STANDARD,0.95,True,21.0,120
main_364,20,P0_M3_MARGIN_STANDARD,0.97,True,36.0,120
main_364,20,P0_M3_MARGIN_STANDARD,0.98,True,37.0,120
main_364,20,P1_M3_MARGIN_MONO,0.95,True,21.0,79
main_364,20,P1_M3_MARGIN_MONO,0.97,True,35.0,79
main_364,20,P1_M3_MARGIN_MONO,0.98,True,36.0,79
main_364,20,P2_MONO_BISECTION_M3,0.95,True,20.0,84
main_364,20,P2_MONO_BISECTION_M3,0.97,True,33.0,84
main_364,20,P2_MONO_BISECTION_M3,0.98,True,49.0,84
main_364,20,P3_MONO_EXPECTED_GAIN_M3,0.95,True,24.0,79
main_364,20,P3_MONO_EXPECTED_GAIN_M3,0.97,True,33.0,79
main_364,20,P3_MONO_EXPECTED_GAIN_M3,0.98,True,34.0,79
