population,arm,budget,metric,mean,ci_lower,ci_upper,maximum_repeat
full_405,P1_M3_MARGIN_MONO,16,inferred_N,128.0,110.39875,147.0,211.0
full_405,P1_M3_MARGIN_MONO,16,wrong_inferred_N,1.0,0.6,1.4,2.0
full_405,P1_M3_MARGIN_MONO,16,wrong_inference_rate_among_inferred,0.007663775899446129,0.004154681861881724,0.011573199974858698,0.025974025974025976
full_405,P1_M3_MARGIN_MONO,16,wrong_inference_rate_population,0.002469135802469136,0.0014814814814814814,0.0034567901234567903,0.0049382716049382715
full_405,P1_M3_MARGIN_MONO,16,wrong_inferred_KH_as_C_N,0.9,0.5,1.3,2.0
full_405,P1_M3_MARGIN_MONO,16,wrong_inferred_C_as_KH_N,0.1,0.0,0.25,1.0
full_405,P1_M3_MARGIN_MONO,16,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,16,structural_coverage,0.35555555555555557,0.311358024691358,0.4006203703703704,0.5604938271604938
full_405,P1_M3_MARGIN_MONO,16,correct_structural_resolution,0.3530864197530864,0.3092561728395061,0.3974074074074074,0.5555555555555556
full_405,P1_M3_MARGIN_MONO,24,inferred_N,229.65,222.55,236.85124999999996,262.0
full_405,P1_M3_MARGIN_MONO,24,wrong_inferred_N,1.1,0.65,1.55,3.0
full_405,P1_M3_MARGIN_MONO,24,wrong_inference_rate_among_inferred,0.004764215592485733,0.0029304881413761766,0.006641622213258005,0.012396694214876033
full_405,P1_M3_MARGIN_MONO,24,wrong_inference_rate_population,0.0027160493827160497,0.0016049382716049384,0.00382716049382716,0.007407407407407408
full_405,P1_M3_MARGIN_MONO,24,wrong_inferred_KH_as_C_N,1.0,0.55,1.45,3.0
full_405,P1_M3_MARGIN_MONO,24,wrong_inferred_C_as_KH_N,0.1,0.0,0.25,1.0
full_405,P1_M3_MARGIN_MONO,24,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,24,structural_coverage,0.6262962962962964,0.6086419753086421,0.6441975308641976,0.7061728395061728
full_405,P1_M3_MARGIN_MONO,24,correct_structural_resolution,0.6235802469135803,0.6062962962962962,0.6411111111111112,0.7061728395061728
full_405,P1_M3_MARGIN_MONO,40,inferred_N,290.5,287.0,293.9,308.0
full_405,P1_M3_MARGIN_MONO,40,wrong_inferred_N,1.9,1.5,2.3,3.0
full_405,P1_M3_MARGIN_MONO,40,wrong_inference_rate_among_inferred,0.006517502694006643,0.005157134251624004,0.007922353302494193,0.01060070671378092
full_405,P1_M3_MARGIN_MONO,40,wrong_inference_rate_population,0.004691358024691358,0.003703703703703703,0.005679012345679012,0.007407407407407408
full_405,P1_M3_MARGIN_MONO,40,wrong_inferred_KH_as_C_N,1.75,1.3,2.2,3.0
full_405,P1_M3_MARGIN_MONO,40,wrong_inferred_C_as_KH_N,0.15,0.0,0.3,1.0
full_405,P1_M3_MARGIN_MONO,40,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,40,structural_coverage,0.8160493827160493,0.8076543209876543,0.8241975308641976,0.8592592592592593
full_405,P1_M3_MARGIN_MONO,40,correct_structural_resolution,0.8113580246913579,0.80320987654321,0.8195061728395061,0.8518518518518519
full_405,P1_M3_MARGIN_MONO,60,inferred_N,311.8,310.25,313.35,317.0
full_405,P1_M3_MARGIN_MONO,60,wrong_inferred_N,2.0,1.6,2.4,3.0
full_405,P1_M3_MARGIN_MONO,60,wrong_inference_rate_among_inferred,0.006387916962705288,0.005120262498107987,0.007660682942843195,0.00967741935483871
full_405,P1_M3_MARGIN_MONO,60,wrong_inference_rate_population,0.004938271604938271,0.003950617283950616,0.005925925925925926,0.007407407407407408
full_405,P1_M3_MARGIN_MONO,60,wrong_inferred_KH_as_C_N,1.8,1.35,2.25,3.0
full_405,P1_M3_MARGIN_MONO,60,wrong_inferred_C_as_KH_N,0.2,0.05,0.4,1.0
full_405,P1_M3_MARGIN_MONO,60,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,60,structural_coverage,0.9180246913580248,0.9141975308641974,0.9218518518518518,0.9308641975308642
full_405,P1_M3_MARGIN_MONO,60,correct_structural_resolution,0.9130864197530864,0.9100000000000001,0.9161728395061728,0.9259259259259259
full_405,P1_M3_MARGIN_MONO,80,inferred_N,316.8,315.75,317.85,321.0
full_405,P1_M3_MARGIN_MONO,80,wrong_inferred_N,2.45,2.25,2.65,3.0
full_405,P1_M3_MARGIN_MONO,80,wrong_inference_rate_among_inferred,0.0077311676598004146,0.007094154172498999,0.008378133509498367,0.009584664536741214
full_405,P1_M3_MARGIN_MONO,80,wrong_inference_rate_population,0.006049382716049382,0.005555555555555555,0.00654320987654321,0.007407407407407408
full_405,P1_M3_MARGIN_MONO,80,wrong_inferred_KH_as_C_N,1.8,1.35,2.25,3.0
full_405,P1_M3_MARGIN_MONO,80,wrong_inferred_C_as_KH_N,0.65,0.4,0.9,2.0
full_405,P1_M3_MARGIN_MONO,80,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,80,structural_coverage,0.9797530864197531,0.9771604938271606,0.9824691358024691,0.9901234567901235
full_405,P1_M3_MARGIN_MONO,80,correct_structural_resolution,0.9737037037037037,0.9711111111111114,0.9762962962962961,0.9851851851851852
full_405,P1_M3_MARGIN_MONO,120,inferred_N,318.5,317.95,319.05,321.0
full_405,P1_M3_MARGIN_MONO,120,wrong_inferred_N,2.45,2.25,2.65,3.0
full_405,P1_M3_MARGIN_MONO,120,wrong_inference_rate_among_inferred,0.007692176198833195,0.00705784454954846,0.008333521923483802,0.00949367088607595
full_405,P1_M3_MARGIN_MONO,120,wrong_inference_rate_population,0.006049382716049382,0.005555555555555555,0.00654320987654321,0.007407407407407408
full_405,P1_M3_MARGIN_MONO,120,wrong_inferred_KH_as_C_N,1.8,1.35,2.25,3.0
full_405,P1_M3_MARGIN_MONO,120,wrong_inferred_C_as_KH_N,0.65,0.4,0.9,2.0
full_405,P1_M3_MARGIN_MONO,120,conflicted_N,0.0,0.0,0.0,0.0
full_405,P1_M3_MARGIN_MONO,120,structural_coverage,1.0,1.0,1.0,1.0
