population,repeat,comparison,budget,jaccard,shared,first_path_divergence
full_405,1,P1_M3_MARGIN_MONO-P0,24,1.0,24,51
full_405,1,P1_M3_MARGIN_MONO-P0,40,1.0,40,51
full_405,1,P1_M3_MARGIN_MONO-P0,60,0.8461538461538461,55,51
full_405,1,P1_M3_MARGIN_MONO-P0,80,0.6842105263157895,65,51
full_405,1,P2_MONO_BISECTION_M3-P0,24,0.5483870967741935,17,17
full_405,1,P2_MONO_BISECTION_M3-P0,40,0.3559322033898305,21,17
full_405,1,P2_MONO_BISECTION_M3-P0,60,0.5789473684210527,44,17
full_405,1,P2_MONO_BISECTION_M3-P0,80,0.6326530612244898,62,17
full_405,1,P3_MONO_EXPECTED_GAIN_M3-P0,24,0.5,16,17
full_405,1,P3_MONO_EXPECTED_GAIN_M3-P0,40,0.6326530612244898,31,17
full_405,1,P3_MONO_EXPECTED_GAIN_M3-P0,60,0.8181818181818182,54,17
full_405,1,P3_MONO_EXPECTED_GAIN_M3-P0,80,0.7391304347826086,68,17
full_405,2,P1_M3_MARGIN_MONO-P0,24,0.8461538461538461,22,22
full_405,2,P1_M3_MARGIN_MONO-P0,40,0.7021276595744681,33,22
full_405,2,P1_M3_MARGIN_MONO-P0,60,0.875,56,22
full_405,2,P1_M3_MARGIN_MONO-P0,80,0.6842105263157895,65,22
full_405,2,P2_MONO_BISECTION_M3-P0,24,0.5,16,17
full_405,2,P2_MONO_BISECTION_M3-P0,40,0.3333333333333333,20,17
full_405,2,P2_MONO_BISECTION_M3-P0,60,0.5,40,17
full_405,2,P2_MONO_BISECTION_M3-P0,80,0.6842105263157895,65,17
full_405,2,P3_MONO_EXPECTED_GAIN_M3-P0,24,0.5483870967741935,17,17
full_405,2,P3_MONO_EXPECTED_GAIN_M3-P0,40,0.5384615384615384,28,17
full_405,2,P3_MONO_EXPECTED_GAIN_M3-P0,60,0.7910447761194029,53,17
full_405,2,P3_MONO_EXPECTED_GAIN_M3-P0,80,0.6666666666666666,64,17
full_405,3,P1_M3_MARGIN_MONO-P0,24,1.0,24,47
full_405,3,P1_M3_MARGIN_MONO-P0,40,1.0,40,47
full_405,3,P1_M3_MARGIN_MONO-P0,60,0.8181818181818182,54,47
full_405,3,P1_M3_MARGIN_MONO-P0,80,0.7021276595744681,66,47
full_405,3,P2_MONO_BISECTION_M3-P0,24,0.5483870967741935,17,17
full_405,3,P2_MONO_BISECTION_M3-P0,40,0.3114754098360656,19,17
full_405,3,P2_MONO_BISECTION_M3-P0,60,0.5384615384615384,42,17
full_405,3,P2_MONO_BISECTION_M3-P0,80,0.6666666666666666,64,17
full_405,3,P3_MONO_EXPECTED_GAIN_M3-P0,24,0.92,23,17
full_405,3,P3_MONO_EXPECTED_GAIN_M3-P0,40,0.9047619047619048,38,17
