population,repeat,arm,balanced_accuracy_AULC_16_120,accuracy_AULC_16_120
full_405,1,P0_M3_MARGIN_STANDARD,0.9806948420658397,0.9914292497625831
full_405,1,P1_M3_MARGIN_MONO,0.9630472628131072,0.9851970560303892
full_405,1,P2_MONO_BISECTION_M3,0.9647594923952922,0.984508547008547
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.9638234841367578,0.9845322886989554
full_405,2,P0_M3_MARGIN_STANDARD,0.9876311423248315,0.9922720797720797
full_405,2,P1_M3_MARGIN_MONO,0.9704777024324909,0.9857549857549857
full_405,2,P2_MONO_BISECTION_M3,0.9556517362918483,0.9830959164292496
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.9721662268145289,0.9865859449192782
full_405,3,P0_M3_MARGIN_STANDARD,0.9837889162022164,0.9878679962013295
full_405,3,P1_M3_MARGIN_MONO,0.9801020136922821,0.9868352326685658
full_405,3,P2_MONO_BISECTION_M3,0.9849439248035348,0.9840337132003797
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.9799385569146974,0.9870726495726494
full_405,4,P0_M3_MARGIN_STANDARD,0.9916361309304658,0.9934472934472934
full_405,4,P1_M3_MARGIN_MONO,0.9742216362816917,0.9874287749287748
full_405,4,P2_MONO_BISECTION_M3,0.96079973212132,0.9853869895536561
full_405,4,P3_MONO_EXPECTED_GAIN_M3,0.9714299770208338,0.9877374169040836
full_405,5,P0_M3_MARGIN_STANDARD,0.9847531921680398,0.9910493827160494
full_405,5,P1_M3_MARGIN_MONO,0.9804394408508637,0.9894943019943019
full_405,5,P2_MONO_BISECTION_M3,0.9724546566138101,0.9867640075973407
full_405,5,P3_MONO_EXPECTED_GAIN_M3,0.9815808611156954,0.9881647673314339
full_405,6,P0_M3_MARGIN_STANDARD,0.9760345385757995,0.9900641025641026
full_405,6,P1_M3_MARGIN_MONO,0.9603823619028274,0.9848290598290598
full_405,6,P2_MONO_BISECTION_M3,0.9581217387992434,0.9848290598290598
full_405,6,P3_MONO_EXPECTED_GAIN_M3,0.9649704587581096,0.9856125356125355
full_405,7,P0_M3_MARGIN_STANDARD,0.9835982827516598,0.9900403608736942
full_405,7,P1_M3_MARGIN_MONO,0.9798020784402095,0.9889126305792971
full_405,7,P2_MONO_BISECTION_M3,0.9779443445541911,0.9863722697056029
full_405,7,P3_MONO_EXPECTED_GAIN_M3,0.987159319575457,0.9819800569800569
full_405,8,P0_M3_MARGIN_STANDARD,0.9840986707631367,0.9890075973409306
full_405,8,P1_M3_MARGIN_MONO,0.9801417868523619,0.9877849002849002
