population,repeat,arm,initial_design,initial_design_N,max_budget,feature_only
full_405,12,P0_M3_MARGIN_STANDARD,257;144;398;136;314;150;147;69;179;177;75;183;316;79;115;90,16,120,True
full_405,12,P1_M3_MARGIN_MONO,257;144;398;136;314;150;147;69;179;177;75;183;316;79;115;90,16,120,True
full_405,12,P2_MONO_BISECTION_M3,257;144;398;136;314;150;147;69;179;177;75;183;316;79;115;90,16,120,True
full_405,12,P3_MONO_EXPECTED_GAIN_M3,257;144;398;136;314;150;147;69;179;177;75;183;316;79;115;90,16,120,True
full_405,13,P0_M3_MARGIN_STANDARD,332;162;144;165;45;111;177;210;155;101;1;167;115;322;63;131,16,120,True
full_405,13,P1_M3_MARGIN_MONO,332;162;144;165;45;111;177;210;155;101;1;167;115;322;63;131,16,120,True
full_405,13,P2_MONO_BISECTION_M3,332;162;144;165;45;111;177;210;155;101;1;167;115;322;63;131,16,120,True
full_405,13,P3_MONO_EXPECTED_GAIN_M3,332;162;144;165;45;111;177;210;155;101;1;167;115;322;63;131,16,120,True
full_405,14,P0_M3_MARGIN_STANDARD,92;308;155;398;144;313;258;177;162;316;89;102;115;315;74;232,16,120,True
full_405,14,P1_M3_MARGIN_MONO,92;308;155;398;144;313;258;177;162;316;89;102;115;315;74;232,16,120,True
full_405,14,P2_MONO_BISECTION_M3,92;308;155;398;144;313;258;177;162;316;89;102;115;315;74;232,16,120,True
full_405,14,P3_MONO_EXPECTED_GAIN_M3,92;308;155;398;144;313;258;177;162;316;89;102;115;315;74;232,16,120,True
full_405,15,P0_M3_MARGIN_STANDARD,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,15,P1_M3_MARGIN_MONO,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,15,P2_MONO_BISECTION_M3,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,15,P3_MONO_EXPECTED_GAIN_M3,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,16,P0_M3_MARGIN_STANDARD,350;163;314;144;216;136;76;177;326;91;88;321;111;316;162;335,16,120,True
full_405,16,P1_M3_MARGIN_MONO,350;163;314;144;216;136;76;177;326;91;88;321;111;316;162;335,16,120,True
full_405,16,P2_MONO_BISECTION_M3,350;163;314;144;216;136;76;177;326;91;88;321;111;316;162;335,16,120,True
full_405,16,P3_MONO_EXPECTED_GAIN_M3,350;163;314;144;216;136;76;177;326;91;88;321;111;316;162;335,16,120,True
full_405,17,P0_M3_MARGIN_STANDARD,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,17,P1_M3_MARGIN_MONO,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,17,P2_MONO_BISECTION_M3,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,17,P3_MONO_EXPECTED_GAIN_M3,209;157;313;136;277;144;215;308;147;321;112;113;68;74;326;165,16,120,True
full_405,18,P0_M3_MARGIN_STANDARD,31;157;313;136;184;144;243;147;280;326;363;141;68;265;98;402,16,120,True
full_405,18,P1_M3_MARGIN_MONO,31;157;313;136;184;144;243;147;280;326;363;141;68;265;98;402,16,120,True
full_405,18,P2_MONO_BISECTION_M3,31;157;313;136;184;144;243;147;280;326;363;141;68;265;98;402,16,120,True
full_405,18,P3_MONO_EXPECTED_GAIN_M3,31;157;313;136;184;144;243;147;280;326;363;141;68;265;98;402,16,120,True
full_405,19,P0_M3_MARGIN_STANDARD,159;177;203;363;116;179;144;112;307;398;243;337;101;115;287;136,16,120,True
full_405,19,P1_M3_MARGIN_MONO,159;177;203;363;116;179;144;112;307;398;243;337;101;115;287;136,16,120,True
full_405,19,P2_MONO_BISECTION_M3,159;177;203;363;116;179;144;112;307;398;243;337;101;115;287;136,16,120,True
full_405,19,P3_MONO_EXPECTED_GAIN_M3,159;177;203;363;116;179;144;112;307;398;243;337;101;115;287;136,16,120,True
full_405,20,P0_M3_MARGIN_STANDARD,23;58;159;363;147;12;144;36;183;111;157;101;84;379;202;306,16,120,True
full_405,20,P1_M3_MARGIN_MONO,23;58;159;363;147;12;144;36;183;111;157;101;84;379;202;306,16,120,True
full_405,20,P2_MONO_BISECTION_M3,23;58;159;363;147;12;144;36;183;111;157;101;84;379;202;306,16,120,True
full_405,20,P3_MONO_EXPECTED_GAIN_M3,23;58;159;363;147;12;144;36;183;111;157;101;84;379;202;306,16,120,True
main_364,1,P0_M3_MARGIN_STANDARD,34;155;162;144;326;177;398;102;106;329;183;165;74;365;131;384,16,120,True
main_364,1,P1_M3_MARGIN_MONO,34;155;162;144;326;177;398;102;106;329;183;165;74;365;131;384,16,120,True
main_364,1,P2_MONO_BISECTION_M3,34;155;162;144;326;177;398;102;106;329;183;165;74;365;131;384,16,120,True
main_364,1,P3_MONO_EXPECTED_GAIN_M3,34;155;162;144;326;177;398;102;106;329;183;165;74;365;131;384,16,120,True
main_364,2,P0_M3_MARGIN_STANDARD,145;1;144;167;321;69;365;115;147;45;111;16;62;21;76;397,16,120,True
main_364,2,P1_M3_MARGIN_MONO,145;1;144;167;321;69;365;115;147;45;111;16;62;21;76;397,16,120,True
main_364,2,P2_MONO_BISECTION_M3,145;1;144;167;321;69;365;115;147;45;111;16;62;21;76;397,16,120,True
main_364,2,P3_MONO_EXPECTED_GAIN_M3,145;1;144;167;321;69;365;115;147;45;111;16;62;21;76;397,16,120,True
main_364,3,P0_M3_MARGIN_STANDARD,9;144;157;136;58;147;395;363;177;119;23;101;12;271;316;5,16,120,True
main_364,3,P1_M3_MARGIN_MONO,9;144;157;136;58;147;395;363;177;119;23;101;12;271;316;5,16,120,True
main_364,3,P2_MONO_BISECTION_M3,9;144;157;136;58;147;395;363;177;119;23;101;12;271;316;5,16,120,True
main_364,3,P3_MONO_EXPECTED_GAIN_M3,9;144;157;136;58;147;395;363;177;119;23;101;12;271;316;5,16,120,True
main_364,4,P0_M3_MARGIN_STANDARD,359;157;1;144;136;243;365;165;147;100;16;141;21;326;77;315,16,120,True
main_364,4,P1_M3_MARGIN_MONO,359;157;1;144;136;243;365;165;147;100;16;141;21;326;77;315,16,120,True
main_364,4,P2_MONO_BISECTION_M3,359;157;1;144;136;243;365;165;147;100;16;141;21;326;77;315,16,120,True
main_364,4,P3_MONO_EXPECTED_GAIN_M3,359;157;1;144;136;243;365;165;147;100;16;141;21;326;77;315,16,120,True
main_364,5,P0_M3_MARGIN_STANDARD,11;144;157;215;153;69;58;365;147;23;119;112;93;318;8;298,16,120,True
main_364,5,P1_M3_MARGIN_MONO,11;144;157;215;153;69;58;365;147;23;119;112;93;318;8;298,16,120,True
main_364,5,P2_MONO_BISECTION_M3,11;144;157;215;153;69;58;365;147;23;119;112;93;318;8;298,16,120,True
main_364,5,P3_MONO_EXPECTED_GAIN_M3,11;144;157;215;153;69;58;365;147;23;119;112;93;318;8;298,16,120,True
main_364,6,P0_M3_MARGIN_STANDARD,341;162;144;69;155;111;167;45;177;18;243;115;89;82;397;131,16,120,True
main_364,6,P1_M3_MARGIN_MONO,341;162;144;69;155;111;167;45;177;18;243;115;89;82;397;131,16,120,True
main_364,6,P2_MONO_BISECTION_M3,341;162;144;69;155;111;167;45;177;18;243;115;89;82;397;131,16,120,True
main_364,6,P3_MONO_EXPECTED_GAIN_M3,341;162;144;69;155;111;167;45;177;18;243;115;89;82;397;131,16,120,True
main_364,7,P0_M3_MARGIN_STANDARD,245;157;144;216;117;177;181;113;100;19;210;398;156;106;391;326,16,120,True
main_364,7,P1_M3_MARGIN_MONO,245;157;144;216;117;177;181;113;100;19;210;398;156;106;391;326,16,120,True
main_364,7,P2_MONO_BISECTION_M3,245;157;144;216;117;177;181;113;100;19;210;398;156;106;391;326,16,120,True
main_364,7,P3_MONO_EXPECTED_GAIN_M3,245;157;144;216;117;177;181;113;100;19;210;398;156;106;391;326,16,120,True
main_364,8,P0_M3_MARGIN_STANDARD,338;153;144;326;115;74;243;147;177;25;162;111;397;102;95;167,16,120,True
main_364,8,P1_M3_MARGIN_MONO,338;153;144;326;115;74;243;147;177;25;162;111;397;102;95;167,16,120,True
main_364,8,P2_MONO_BISECTION_M3,338;153;144;326;115;74;243;147;177;25;162;111;397;102;95;167,16,120,True
main_364,8,P3_MONO_EXPECTED_GAIN_M3,338;153;144;326;115;74;243;147;177;25;162;111;397;102;95;167,16,120,True
main_364,9,P0_M3_MARGIN_STANDARD,331;157;144;215;136;69;57;210;119;177;112;58;132;226;390;397,16,120,True
main_364,9,P1_M3_MARGIN_MONO,331;157;144;215;136;69;57;210;119;177;112;58;132;226;390;397,16,120,True
main_364,9,P2_MONO_BISECTION_M3,331;157;144;215;136;69;57;210;119;177;112;58;132;226;390;397,16,120,True
main_364,9,P3_MONO_EXPECTED_GAIN_M3,331;157;144;215;136;69;57;210;119;177;112;58;132;226;390;397,16,120,True
main_364,10,P0_M3_MARGIN_STANDARD,81;162;363;216;178;136;133;167;100;325;79;403;223;117;85;161,16,120,True
main_364,10,P1_M3_MARGIN_MONO,81;162;363;216;178;136;133;167;100;325;79;403;223;117;85;161,16,120,True
main_364,10,P2_MONO_BISECTION_M3,81;162;363;216;178;136;133;167;100;325;79;403;223;117;85;161,16,120,True
main_364,10,P3_MONO_EXPECTED_GAIN_M3,81;162;363;216;178;136;133;167;100;325;79;403;223;117;85;161,16,120,True
main_364,11,P0_M3_MARGIN_STANDARD,104;183;398;162;12;401;136;177;69;163;320;85;79;57;395;117,16,120,True
main_364,11,P1_M3_MARGIN_MONO,104;183;398;162;12;401;136;177;69;163;320;85;79;57;395;117,16,120,True
main_364,11,P2_MONO_BISECTION_M3,104;183;398;162;12;401;136;177;69;163;320;85;79;57;395;117,16,120,True
main_364,11,P3_MONO_EXPECTED_GAIN_M3,104;183;398;162;12;401;136;177;69;163;320;85;79;57;395;117,16,120,True
main_364,12,P0_M3_MARGIN_STANDARD,16;58;159;147;369;326;112;144;3;379;157;299;321;136;101;8,16,120,True
main_364,12,P1_M3_MARGIN_MONO,16;58;159;147;369;326;112;144;3;379;157;299;321;136;101;8,16,120,True
main_364,12,P2_MONO_BISECTION_M3,16;58;159;147;369;326;112;144;3;379;157;299;321;136;101;8,16,120,True
main_364,12,P3_MONO_EXPECTED_GAIN_M3,16;58;159;147;369;326;112;144;3;379;157;299;321;136;101;8,16,120,True
main_364,13,P0_M3_MARGIN_STANDARD,382;147;326;162;16;270;136;111;167;210;1;115;299;365;144;396,16,120,True
main_364,13,P1_M3_MARGIN_MONO,382;147;326;162;16;270;136;111;167;210;1;115;299;365;144;396,16,120,True
main_364,13,P2_MONO_BISECTION_M3,382;147;326;162;16;270;136;111;167;210;1;115;299;365;144;396,16,120,True
main_364,13,P3_MONO_EXPECTED_GAIN_M3,382;147;326;162;16;270;136;111;167;210;1;115;299;365;144;396,16,120,True
main_364,14,P0_M3_MARGIN_STANDARD,385;162;363;111;321;136;167;147;338;144;101;115;16;326;21;76,16,120,True
main_364,14,P1_M3_MARGIN_MONO,385;162;363;111;321;136;167;147;338;144;101;115;16;326;21;76,16,120,True
main_364,14,P2_MONO_BISECTION_M3,385;162;363;111;321;136;167;147;338;144;101;115;16;326;21;76,16,120,True
main_364,14,P3_MONO_EXPECTED_GAIN_M3,385;162;363;111;321;136;167;147;338;144;101;115;16;326;21;76,16,120,True
main_364,15,P0_M3_MARGIN_STANDARD,230;157;1;144;117;94;177;122;25;183;165;111;90;398;200;133,16,120,True
main_364,15,P1_M3_MARGIN_MONO,230;157;1;144;117;94;177;122;25;183;165;111;90;398;200;133,16,120,True
main_364,15,P2_MONO_BISECTION_M3,230;157;1;144;117;94;177;122;25;183;165;111;90;398;200;133,16,120,True
main_364,15,P3_MONO_EXPECTED_GAIN_M3,230;157;1;144;117;94;177;122;25;183;165;111;90;398;200;133,16,120,True
main_364,16,P0_M3_MARGIN_STANDARD,208;162;147;183;102;144;111;165;326;167;23;94;115;143;18;384,16,120,True
main_364,16,P1_M3_MARGIN_MONO,208;162;147;183;102;144;111;165;326;167;23;94;115;143;18;384,16,120,True
main_364,16,P2_MONO_BISECTION_M3,208;162;147;183;102;144;111;165;326;167;23;94;115;143;18;384,16,120,True
main_364,16,P3_MONO_EXPECTED_GAIN_M3,208;162;147;183;102;144;111;165;326;167;23;94;115;143;18;384,16,120,True
main_364,17,P0_M3_MARGIN_STANDARD,13;144;157;153;215;94;58;147;177;23;165;119;111;271;45;39,16,120,True
main_364,17,P1_M3_MARGIN_MONO,13;144;157;153;215;94;58;147;177;23;165;119;111;271;45;39,16,120,True
main_364,17,P2_MONO_BISECTION_M3,13;144;157;153;215;94;58;147;177;23;165;119;111;271;45;39,16,120,True
main_364,17,P3_MONO_EXPECTED_GAIN_M3,13;144;157;153;215;94;58;147;177;23;165;119;111;271;45;39,16,120,True
main_364,18,P0_M3_MARGIN_STANDARD,248;162;144;155;363;111;167;102;1;177;183;115;23;326;365;131,16,120,True
main_364,18,P1_M3_MARGIN_MONO,248;162;144;155;363;111;167;102;1;177;183;115;23;326;365;131,16,120,True
main_364,18,P2_MONO_BISECTION_M3,248;162;144;155;363;111;167;102;1;177;183;115;23;326;365;131,16,120,True
main_364,18,P3_MONO_EXPECTED_GAIN_M3,248;162;144;155;363;111;167;102;1;177;183;115;23;326;365;131,16,120,True
main_364,19,P0_M3_MARGIN_STANDARD,322;157;144;136;395;147;23;101;177;76;165;377;398;159;103;285,16,120,True
main_364,19,P1_M3_MARGIN_MONO,322;157;144;136;395;147;23;101;177;76;165;377;398;159;103;285,16,120,True
main_364,19,P2_MONO_BISECTION_M3,322;157;144;136;395;147;23;101;177;76;165;377;398;159;103;285,16,120,True
main_364,19,P3_MONO_EXPECTED_GAIN_M3,322;157;144;136;395;147;23;101;177;76;165;377;398;159;103;285,16,120,True
main_364,20,P0_M3_MARGIN_STANDARD,389;136;398;144;346;163;183;139;363;101;33;21;329;132;89;316,16,120,True
main_364,20,P1_M3_MARGIN_MONO,389;136;398;144;346;163;183;139;363;101;33;21;329;132;89;316,16,120,True
main_364,20,P2_MONO_BISECTION_M3,389;136;398;144;346;163;183;139;363;101;33;21;329;132;89;316,16,120,True
main_364,20,P3_MONO_EXPECTED_GAIN_M3,389;136;398;144;346;163;183;139;363;101;33;21;329;132;89;316,16,120,True
