population,repeat,arm,events_touching_violation_points,incorrect_events_touching_violation_points,unique_violation_targets_inferred_incorrectly,later_conflicted_events,eventually_queried_events
main_364,11,P3_MONO_EXPECTED_GAIN_M3,156,3,2,0,0
main_364,12,P1_M3_MARGIN_MONO,148,3,3,0,0
main_364,12,P2_MONO_BISECTION_M3,30,3,3,0,0
main_364,12,P3_MONO_EXPECTED_GAIN_M3,148,3,3,0,0
main_364,13,P1_M3_MARGIN_MONO,157,3,2,0,0
main_364,13,P2_MONO_BISECTION_M3,40,3,2,0,0
main_364,13,P3_MONO_EXPECTED_GAIN_M3,158,3,2,0,0
main_364,14,P1_M3_MARGIN_MONO,158,3,2,0,0
main_364,14,P2_MONO_BISECTION_M3,156,3,2,0,0
main_364,14,P3_MONO_EXPECTED_GAIN_M3,158,3,2,0,0
main_364,15,P1_M3_MARGIN_MONO,146,3,3,0,0
main_364,15,P2_MONO_BISECTION_M3,144,3,3,0,0
main_364,15,P3_MONO_EXPECTED_GAIN_M3,146,3,3,0,0
main_364,16,P1_M3_MARGIN_MONO,158,3,2,0,0
main_364,16,P2_MONO_BISECTION_M3,41,3,2,0,0
main_364,16,P3_MONO_EXPECTED_GAIN_M3,41,3,2,0,0
main_364,17,P1_M3_MARGIN_MONO,147,3,3,0,0
main_364,17,P2_MONO_BISECTION_M3,146,3,3,0,0
main_364,17,P3_MONO_EXPECTED_GAIN_M3,147,3,3,0,0
main_364,18,P1_M3_MARGIN_MONO,156,3,2,0,0
main_364,18,P2_MONO_BISECTION_M3,39,3,2,0,0
main_364,18,P3_MONO_EXPECTED_GAIN_M3,156,3,2,0,0
main_364,19,P1_M3_MARGIN_MONO,27,3,3,0,0
main_364,19,P2_MONO_BISECTION_M3,147,3,3,0,0
main_364,19,P3_MONO_EXPECTED_GAIN_M3,148,3,3,0,0
main_364,20,P1_M3_MARGIN_MONO,157,3,2,0,0
main_364,20,P2_MONO_BISECTION_M3,155,3,2,0,0
main_364,20,P3_MONO_EXPECTED_GAIN_M3,157,3,2,0,0
