population,repeat,arm,subset,metric,AULC_16_120
full_405,1,P0_M3_MARGIN_STANDARD,q20,accuracy,0.9614451357466064
full_405,1,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9539296975060196
full_405,1,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9234801014957265
full_405,1,P0_M3_MARGIN_STANDARD,q30,accuracy,0.972373076923077
full_405,1,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9624652711073044
full_405,1,P0_M3_MARGIN_STANDARD,q30,keyhole_recall,0.9348788555194805
full_405,1,P1_M3_MARGIN_MONO,q20,accuracy,0.9317505656108598
full_405,1,P1_M3_MARGIN_MONO,q20,balanced_accuracy,0.9121571592803565
full_405,1,P1_M3_MARGIN_MONO,q20,keyhole_recall,0.8386219665750912
full_405,1,P1_M3_MARGIN_MONO,q30,accuracy,0.9521807692307689
full_405,1,P1_M3_MARGIN_MONO,q30,balanced_accuracy,0.9297715185986335
full_405,1,P1_M3_MARGIN_MONO,q30,keyhole_recall,0.868690732878233
full_405,1,P2_MONO_BISECTION_M3,q20,accuracy,0.9309926470588236
full_405,1,P2_MONO_BISECTION_M3,q20,balanced_accuracy,0.9154588163572542
full_405,1,P2_MONO_BISECTION_M3,q20,keyhole_recall,0.8582808684371184
full_405,1,P2_MONO_BISECTION_M3,q30,accuracy,0.9502230769230772
full_405,1,P2_MONO_BISECTION_M3,q30,balanced_accuracy,0.9310754432186322
full_405,1,P2_MONO_BISECTION_M3,q30,keyhole_recall,0.8795604343573095
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q20,accuracy,0.9303704751131222
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q20,balanced_accuracy,0.9124284352799978
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q20,keyhole_recall,0.845627003205128
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q30,accuracy,0.9504192307692304
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q30,balanced_accuracy,0.9298636643742957
full_405,1,P3_MONO_EXPECTED_GAIN_M3,q30,keyhole_recall,0.8741248230935731
full_405,2,P0_M3_MARGIN_STANDARD,q20,accuracy,0.966368778280543
full_405,2,P0_M3_MARGIN_STANDARD,q20,balanced_accuracy,0.9636893193611944
full_405,2,P0_M3_MARGIN_STANDARD,q20,keyhole_recall,0.9553450663919414
full_405,2,P0_M3_MARGIN_STANDARD,q30,accuracy,0.9751
full_405,2,P0_M3_MARGIN_STANDARD,q30,balanced_accuracy,0.9722245474706273
