population,repeat,arm,true_query_count_B120,queried_KH_fraction,queried_log_h_mean,queried_log_h_median,selected_margin_uncertainty_mean,selected_G_KH_mean,selected_G_C_mean,selected_expected_gain_mean,newly_inferred_targets_per_true_query,targets_later_conflicted_N,retrospectively_wrong_inferred_targets_N,wrong_targets_known_violation_points_N
full_405,1,P0_M3_MARGIN_STANDARD,120,0.4,20.560376550388167,20.54954976826737,0.5031650690392859,0.0,0.0,0.0,0.0,0,0,0
full_405,1,P1_M3_MARGIN_MONO,85,0.38823529411764707,20.52864216132621,20.57645210322566,0.6232741976703107,1.0724637681159421,8.028985507246377,4.3535968756344126,3.8,0,3,3
full_405,1,P2_MONO_BISECTION_M3,90,0.3,20.469811139167096,20.475691189673462,0.4583196815280567,2.135135135135135,3.27027027027027,2.5834035976976693,3.533333333333333,0,3,3
full_405,1,P3_MONO_EXPECTED_GAIN_M3,88,0.3977272727272727,20.535533799640163,20.576652720870282,0.6258042786423341,1.5694444444444444,8.472222222222221,4.98500963173036,3.6363636363636362,0,3,3
full_405,2,P0_M3_MARGIN_STANDARD,120,0.4,20.55988735525518,20.54954976826737,0.4960398117227005,0.0,0.0,0.0,0.0,0,0,0
full_405,2,P1_M3_MARGIN_MONO,86,0.36046511627906974,20.5195815998968,20.56170274544874,0.6185567934302418,1.1571428571428573,8.085714285714285,4.324005242426831,3.7325581395348837,0,3,3
full_405,2,P2_MONO_BISECTION_M3,98,0.2857142857142857,20.465374092184202,20.471160004678044,0.40341555325956663,2.475609756097561,3.5609756097560976,2.9817082894329507,3.1530612244897958,0,3,3
full_405,2,P3_MONO_EXPECTED_GAIN_M3,85,0.36470588235294116,20.520828707063117,20.563671438320007,0.6132362909425496,0.6956521739130435,7.3478260869565215,3.8381776708105497,3.788235294117647,0,3,3
full_405,3,P0_M3_MARGIN_STANDARD,120,0.35833333333333334,20.51379977667037,20.50574754710889,0.33151225032694254,0.0,0.0,0.0,0.0,0,0,0
full_405,3,P1_M3_MARGIN_MONO,87,0.3793103448275862,20.536704395225605,20.563671438320007,0.40974322143345754,2.0704225352112675,4.549295774647887,3.1443980543038683,3.7011494252873565,0,2,2
full_405,3,P2_MONO_BISECTION_M3,94,0.30851063829787234,20.477623606836136,20.471160004678044,0.3352962262401328,2.5384615384615383,3.3846153846153846,2.8146883766001847,3.351063829787234,0,2,2
full_405,3,P3_MONO_EXPECTED_GAIN_M3,87,0.3793103448275862,20.53724319045643,20.563671438320007,0.42513144340155085,2.0985915492957745,4.563380281690141,3.1139295761179273,3.7011494252873565,0,2,2
full_405,4,P0_M3_MARGIN_STANDARD,120,0.4,20.57135796538038,20.54954976826737,0.5056023857133313,0.0,0.0,0.0,0.0,0,0,0
full_405,4,P1_M3_MARGIN_MONO,85,0.36470588235294116,20.545181716830996,20.563671438320007,0.5961541807171515,1.1884057971014492,6.0,3.2650985905619536,3.8,0,3,3
full_405,4,P2_MONO_BISECTION_M3,91,0.31868131868131866,20.509980279768666,20.51139055856241,0.45888388647364015,1.9866666666666666,3.026666666666667,2.2884066520583377,3.4835164835164836,0,3,3
full_405,4,P3_MONO_EXPECTED_GAIN_M3,82,0.36585365853658536,20.546641292007124,20.570030037438144,0.5913620004143384,1.2424242424242424,6.106060606060606,3.412980156856904,3.975609756097561,0,3,3
full_405,5,P0_M3_MARGIN_STANDARD,120,0.36666666666666664,20.524658973154867,20.510982545482406,0.4518994736605183,0.0,0.0,0.0,0.0,0,0,0
full_405,5,P1_M3_MARGIN_MONO,86,0.4069767441860465,20.54775599354643,20.576652720870282,0.5582737039636897,1.457142857142857,9.485714285714286,5.20837558416384,3.744186046511628,0,2,2
full_405,5,P2_MONO_BISECTION_M3,93,0.3225806451612903,20.501718358102092,20.500920561815374,0.3790081309844003,2.4805194805194803,3.4545454545454546,2.870920949014246,3.3870967741935485,0,2,2
full_405,5,P3_MONO_EXPECTED_GAIN_M3,87,0.39080459770114945,20.54320041368295,20.576388636556285,0.5421082578982549,1.591549295774648,9.070422535211268,5.11722575061245,3.689655172413793,0,2,2
full_405,6,P0_M3_MARGIN_STANDARD,120,0.4,20.56857036253682,20.54954976826737,0.5048433490482153,0.0,0.0,0.0,0.0,0,0,0
full_405,6,P1_M3_MARGIN_MONO,89,0.4044943820224719,20.557910757559963,20.576853338514905,0.6135745189309552,1.0136986301369864,6.506849315068493,3.4790751709213974,3.5730337078651684,0,3,3
full_405,6,P2_MONO_BISECTION_M3,85,0.32941176470588235,20.52169641648705,20.529131526047987,0.45284568572637945,1.5072463768115942,2.739130434782609,2.028349805162682,3.788235294117647,0,3,3
