figure,purpose,sha256
01_full_pool_learning_curves.png,Primary full-pool learning curves,82e9051eae949790e186365a82eeda156058b4baa19a597789f22ef1d766581e
02_paired_aulc_contrasts.png,Primary paired AULC contrasts,1eafac57eca071697414150ac2b0f41834880ca866164c647779ace7ef13b9e6
03_structural_resolution_curves.png,Structural coverage and correct resolution,b0f691157cb757350c39d911440211eb06ba66beead6e203e693c8b2c6974f5a
04_structural_threshold_queries.png,Structural threshold query requirements,331b6a0eb6277e870b55a9669c6c79b6c4e085d83d2c008595e3c5cd6bce1b2d
05_inference_error.png,Incorrect inference rate by budget,f6d59da92154e3f99ad0f6edbdcf6d20b8c94f5f6120b6d9635bc336c34d5f73
06_path_implication_mechanism.png,Query-path and implication mechanism,51f6bf032b49632283617dfb4f4126ded6a333eb2083399043eb66344605daa5
07_main_configuration_sensitivity.png,Full versus main-configuration sensitivity,f3bd6c8bf9a00e39d823681296a9aa254ffcd4fd94033918d9ff7bc8634c1315
