record_type,arm_or_contrast,mean,ci_lower,ci_upper,no_retuning,holm_adjusted_p
arm_summary,P0_M3_MARGIN_STANDARD,0.9880613062532706,0.9866548845499739,0.9893975094845631,True,
arm_summary,P1_M3_MARGIN_MONO,0.9761902309000521,0.9727662239174513,0.97962239787742,True,
arm_summary,P2_MONO_BISECTION_M3,0.9734326759549973,0.9685107559850862,0.9782723970597853,True,
arm_summary,P3_MONO_EXPECTED_GAIN_M3,0.9769522664835162,0.9735784397893769,0.9802348512722394,True,
paired_contrast,P1_M3_MARGIN_MONO-P0,-0.011871075353218474,-0.014988996680403155,-0.008783263425562805,True,0.0
paired_contrast,P2_MONO_BISECTION_M3-P0,-0.014628630298273288,-0.01977595990319224,-0.009797216362506703,True,0.0
paired_contrast,P3_MONO_EXPECTED_GAIN_M3-P0,-0.011109039769754348,-0.014681719322344602,-0.007587431727499026,True,0.0
