budget,subset,boundary_definition,quantile,calibration_type,bin_index,bin_left,bin_right,row_count,mean_prediction_or_confidence,observed_positive_rate_or_accuracy,absolute_calibration_gap
20,B1_q20,B1,20,keyhole_probability_reliability,8,0.7,0.8,25,0.749701427837,0.8,0.0502985721628
20,B1_q20,B1,20,keyhole_probability_reliability,9,0.8,0.9,11,0.830419971028,0.909090909091,0.0786709380633
20,B1_q20,B1,20,keyhole_probability_reliability,10,0.9,1,1,0.911594737031,1,0.0884052629689
20,B1_q30,B1,30,confidence_accuracy_reliability,1,0.5,0.55,51,0.525610382232,0.588235294118,0.062624911886
20,B1_q30,B1,30,confidence_accuracy_reliability,2,0.55,0.6,60,0.573676498581,0.666666666667,0.0929901680853
20,B1_q30,B1,30,confidence_accuracy_reliability,3,0.6,0.65,57,0.624875548469,0.771929824561,0.147054276092
20,B1_q30,B1,30,confidence_accuracy_reliability,4,0.65,0.7,50,0.674604783104,0.82,0.145395216896
20,B1_q30,B1,30,confidence_accuracy_reliability,5,0.7,0.75,72,0.72376973786,0.847222222222,0.123452484362
20,B1_q30,B1,30,confidence_accuracy_reliability,6,0.75,0.8,63,0.777013445193,0.936507936508,0.159494491315
20,B1_q30,B1,30,confidence_accuracy_reliability,7,0.8,0.85,62,0.824597785305,0.951612903226,0.12701511792
20,B1_q30,B1,30,confidence_accuracy_reliability,8,0.85,0.9,63,0.872726358543,0.952380952381,0.079654593838
20,B1_q30,B1,30,confidence_accuracy_reliability,9,0.9,0.95,22,0.925809472701,1,0.0741905272991
20,B1_q30,B1,30,confidence_accuracy_reliability,10,0.95,1,0,,,
20,B1_q30,B1,30,keyhole_probability_reliability,1,0,0.1,21,0.0735136351243,0,0.0735136351243
20,B1_q30,B1,30,keyhole_probability_reliability,2,0.1,0.2,107,0.148779477218,0.0467289719626,0.102050505255
20,B1_q30,B1,30,keyhole_probability_reliability,3,0.2,0.3,102,0.252050945138,0.0980392156863,0.154011729452
20,B1_q30,B1,30,keyhole_probability_reliability,4,0.3,0.4,57,0.352736612597,0.263157894737,0.0895787178601
20,B1_q30,B1,30,keyhole_probability_reliability,5,0.4,0.5,71,0.448727214045,0.323943661972,0.124783552073
20,B1_q30,B1,30,keyhole_probability_reliability,6,0.5,0.6,40,0.552158790147,0.55,0.00215879014713
20,B1_q30,B1,30,keyhole_probability_reliability,7,0.6,0.7,50,0.649082646719,0.86,0.210917353281
20,B1_q30,B1,30,keyhole_probability_reliability,8,0.7,0.8,33,0.750680744763,0.848484848485,0.0978041037219
20,B1_q30,B1,30,keyhole_probability_reliability,9,0.8,0.9,18,0.834790407748,0.944444444444,0.109654036697
20,B1_q30,B1,30,keyhole_probability_reliability,10,0.9,1,1,0.911594737031,1,0.0884052629689
20,B2_q20,B2,20,confidence_accuracy_reliability,1,0.5,0.55,45,0.527074263074,0.555555555556,0.0284812924815
20,B2_q20,B2,20,confidence_accuracy_reliability,2,0.55,0.6,43,0.573560509505,0.604651162791,0.0310906532862
20,B2_q20,B2,20,confidence_accuracy_reliability,3,0.6,0.65,45,0.625031614679,0.711111111111,0.0860794964316
20,B2_q20,B2,20,confidence_accuracy_reliability,4,0.65,0.7,38,0.675447137081,0.763157894737,0.0877107576556
20,B2_q20,B2,20,confidence_accuracy_reliability,5,0.7,0.75,41,0.725431093957,0.731707317073,0.00627622311639
20,B2_q20,B2,20,confidence_accuracy_reliability,6,0.75,0.8,33,0.779171653285,0.878787878788,0.0996162255031
20,B2_q20,B2,20,confidence_accuracy_reliability,7,0.8,0.85,37,0.82326795037,0.918918918919,0.0956509685487
20,B2_q20,B2,20,confidence_accuracy_reliability,8,0.85,0.9,37,0.873839096073,0.918918918919,0.0450798228456
20,B2_q20,B2,20,confidence_accuracy_reliability,9,0.9,0.95,21,0.917410201487,1,0.0825897985126
20,B2_q20,B2,20,confidence_accuracy_reliability,10,0.95,1,0,,,
20,B2_q20,B2,20,keyhole_probability_reliability,1,0,0.1,20,0.0822990252898,0,0.0822990252898
20,B2_q20,B2,20,keyhole_probability_reliability,2,0.1,0.2,60,0.147898337222,0.0833333333333,0.0645650038884
20,B2_q20,B2,20,keyhole_probability_reliability,3,0.2,0.3,48,0.252637110445,0.208333333333,0.044303777112
20,B2_q20,B2,20,keyhole_probability_reliability,4,0.3,0.4,38,0.350627424709,0.394736842105,0.044109417396
20,B2_q20,B2,20,keyhole_probability_reliability,5,0.4,0.5,53,0.451460393709,0.471698113208,0.0202377194982
20,B2_q20,B2,20,keyhole_probability_reliability,6,0.5,0.6,35,0.551681274675,0.657142857143,0.105461582468
20,B2_q20,B2,20,keyhole_probability_reliability,7,0.6,0.7,45,0.647050133525,0.844444444444,0.19739431092
20,B2_q20,B2,20,keyhole_probability_reliability,8,0.7,0.8,26,0.753150796615,0.807692307692,0.0545415110769
20,B2_q20,B2,20,keyhole_probability_reliability,9,0.8,0.9,14,0.833347210837,0.928571428571,0.0952242177345
20,B2_q20,B2,20,keyhole_probability_reliability,10,0.9,1,1,0.911594737031,1,0.0884052629689
20,B2_q30,B2,30,confidence_accuracy_reliability,1,0.5,0.55,45,0.527074263074,0.555555555556,0.0284812924815
20,B2_q30,B2,30,confidence_accuracy_reliability,2,0.55,0.6,47,0.57361785929,0.617021276596,0.0434034173058
20,B2_q30,B2,30,confidence_accuracy_reliability,3,0.6,0.65,49,0.624369903219,0.734693877551,0.110323974332
20,B2_q30,B2,30,confidence_accuracy_reliability,4,0.65,0.7,44,0.676442312027,0.795454545455,0.119012233428
20,B2_q30,B2,30,confidence_accuracy_reliability,5,0.7,0.75,57,0.724899972295,0.80701754386,0.0821175715644
20,B2_q30,B2,30,confidence_accuracy_reliability,6,0.75,0.8,55,0.78000787723,0.927272727273,0.147264850043
20,B2_q30,B2,30,confidence_accuracy_reliability,7,0.8,0.85,66,0.823984096072,0.954545454545,0.130561358474
20,B2_q30,B2,30,confidence_accuracy_reliability,8,0.85,0.9,86,0.874722346875,0.96511627907,0.090393932195
20,B2_q30,B2,30,confidence_accuracy_reliability,9,0.9,0.95,51,0.918721529709,1,0.0812784702909
20,B2_q30,B2,30,confidence_accuracy_reliability,10,0.95,1,0,,,
20,B2_q30,B2,30,keyhole_probability_reliability,1,0,0.1,50,0.0811359344374,0,0.0811359344374
20,B2_q30,B2,30,keyhole_probability_reliability,2,0.1,0.2,137,0.145075444006,0.036496350365,0.108579093641
20,B2_q30,B2,30,keyhole_probability_reliability,3,0.2,0.3,83,0.247117796036,0.120481927711,0.126635868325
20,B2_q30,B2,30,keyhole_probability_reliability,4,0.3,0.4,47,0.350058814315,0.31914893617,0.0309098781453
20,B2_q30,B2,30,keyhole_probability_reliability,5,0.4,0.5,56,0.450235494081,0.446428571429,0.00380692265276
20,B2_q30,B2,30,keyhole_probability_reliability,6,0.5,0.6,36,0.552543580375,0.638888888889,0.0863453085134
20,B2_q30,B2,30,keyhole_probability_reliability,7,0.6,0.7,46,0.648051114342,0.847826086957,0.199774972615
20,B2_q30,B2,30,keyhole_probability_reliability,8,0.7,0.8,29,0.749327887567,0.827586206897,0.0782583193295
20,B2_q30,B2,30,keyhole_probability_reliability,9,0.8,0.9,15,0.832293866721,0.933333333333,0.101039466612
20,B2_q30,B2,30,keyhole_probability_reliability,10,0.9,1,1,0.911594737031,1,0.0884052629689
20,B3_q20,B3,20,confidence_accuracy_reliability,1,0.5,0.55,44,0.526589494321,0.522727272727,0.0038622215934
20,B3_q20,B3,20,confidence_accuracy_reliability,2,0.55,0.6,45,0.57472008654,0.688888888889,0.114168802349
20,B3_q20,B3,20,confidence_accuracy_reliability,3,0.6,0.65,47,0.62343642621,0.744680851064,0.121244424854
20,B3_q20,B3,20,confidence_accuracy_reliability,4,0.65,0.7,40,0.67529998006,0.825,0.14970001994
20,B3_q20,B3,20,confidence_accuracy_reliability,5,0.7,0.75,54,0.724653118248,0.796296296296,0.0716431780488
20,B3_q20,B3,20,confidence_accuracy_reliability,6,0.75,0.8,37,0.77461091505,0.891891891892,0.117280976842
20,B3_q20,B3,20,confidence_accuracy_reliability,7,0.8,0.85,31,0.825310057466,0.903225806452,0.0779157489856
20,B3_q20,B3,20,confidence_accuracy_reliability,8,0.85,0.9,32,0.871916480463,0.90625,0.0343335195369
20,B3_q20,B3,20,confidence_accuracy_reliability,9,0.9,0.95,10,0.919612574945,1,0.0803874250552
20,B3_q20,B3,20,confidence_accuracy_reliability,10,0.95,1,0,,,
20,B3_q20,B3,20,keyhole_probability_reliability,1,0,0.1,7,0.0777221893963,0,0.0777221893963
20,B3_q20,B3,20,keyhole_probability_reliability,2,0.1,0.2,50,0.152069497548,0.1,0.0520694975477
