budget,subset,metric,new_minus_baseline,ci_lower,ci_upper,positive_repeat_blocks,repeat_blocks
40,full81,accuracy,0.004320987654321021,0.0004938271604938759,0.008271604938271632,16,20
40,full81,balanced_accuracy,0.010671480261032509,0.0013462177747625575,0.022022462363507127,12,20
40,full81,keyhole_recall,0.020714285714285734,0.002379761904761927,0.044142857142857164,11,20
40,full81,false_negative,-0.30999999999999994,-0.6499999999999999,-0.03,7,20
40,full81,false_positive,-0.039999999999999994,-0.19000000000000003,0.11000000000000001,8,20
40,B1_q30,accuracy,0.007199999999999998,-0.0015999999999999973,0.015600000000000008,11,20
40,B1_q30,balanced_accuracy,0.00907527570898314,-0.0017382350481905404,0.02020660871367624,11,20
40,B1_q30,keyhole_recall,0.01563203463203463,-0.00838476731601732,0.04096436688311685,9,20
40,B1_q30,false_negative,-0.14000000000000004,-0.32999999999999996,0.04,7,20
40,B1_q30,false_positive,-0.039999999999999994,-0.19,0.11000000000000001,8,20
40,B1_q20,accuracy,0.017058823529411772,0.0035294117647058907,0.029411764705882366,15,20
40,B1_q20,balanced_accuracy,0.01583032245532246,0.0011910984848484893,0.030154198232323234,16,20
40,B1_q20,keyhole_recall,0.017035714285714283,-0.011246726190476196,0.046565277777777754,12,20
40,B1_q20,false_negative,-0.15,-0.32999999999999996,0.02024999999999637,6,20
40,B1_q20,false_positive,-0.14,-0.28,0.0,4,20
80,full81,accuracy,0.002716049382716075,0.0002469135802469359,0.0051851851851852085,13,20
80,full81,balanced_accuracy,0.002700361827227479,-0.0027912668798863068,0.00817464221102279,13,20
80,full81,keyhole_recall,0.002666666666666692,-0.00790595238095236,0.013953571428571438,13,20
80,full81,false_negative,-0.04,-0.2,0.12,6,20
80,full81,false_positive,-0.18000000000000002,-0.30000000000000004,-0.06,2,20
80,B1_q30,accuracy,0.0084,0.0004000000000000029,0.016800000000000002,13,20
80,B1_q30,balanced_accuracy,0.007600319593547139,-0.002106535033271696,0.0177470438294935,12,20
80,B1_q30,keyhole_recall,0.005330086580086576,-0.014179563492063493,0.02434031385281383,9,20
80,B1_q30,false_negative,-0.029999999999999992,-0.19,0.12000000000000002,7,20
80,B1_q30,false_positive,-0.18000000000000002,-0.30000000000000004,-0.06,2,20
80,B1_q20,accuracy,0.012941176470588251,0.0029411764705882535,0.023529411764705892,12,20
80,B1_q20,balanced_accuracy,0.010875291375291366,-0.00047703095515596195,0.022361755605505546,13,20
80,B1_q20,keyhole_recall,0.00047222222222222316,-0.021670634920634924,0.022726388888888883,6,20
80,B1_q20,false_negative,0.010000000000000009,-0.14,0.15000000000000002,9,20
80,B1_q20,false_positive,-0.22999999999999998,-0.32000000000000006,-0.13000000000000003,1,20
