budget,accuracy,model,source
16,0.7847058823529411,physics_ridge_residual_gp,new_phase1_7
17,0.8058823529411765,physics_ridge_residual_gp,new_phase1_7
18,0.808235294117647,physics_ridge_residual_gp,new_phase1_7
19,0.8147058823529412,physics_ridge_residual_gp,new_phase1_7
20,0.8158823529411764,physics_ridge_residual_gp,new_phase1_7
21,0.8188235294117646,physics_ridge_residual_gp,new_phase1_7
22,0.821764705882353,physics_ridge_residual_gp,new_phase1_7
23,0.8241176470588235,physics_ridge_residual_gp,new_phase1_7
24,0.818235294117647,physics_ridge_residual_gp,new_phase1_7
25,0.8270588235294117,physics_ridge_residual_gp,new_phase1_7
26,0.8241176470588235,physics_ridge_residual_gp,new_phase1_7
27,0.8229411764705883,physics_ridge_residual_gp,new_phase1_7
28,0.8323529411764706,physics_ridge_residual_gp,new_phase1_7
29,0.8282352941176471,physics_ridge_residual_gp,new_phase1_7
30,0.8229411764705883,physics_ridge_residual_gp,new_phase1_7
31,0.8264705882352941,physics_ridge_residual_gp,new_phase1_7
32,0.8288235294117646,physics_ridge_residual_gp,new_phase1_7
33,0.8288235294117646,physics_ridge_residual_gp,new_phase1_7
34,0.8264705882352941,physics_ridge_residual_gp,new_phase1_7
35,0.8235294117647058,physics_ridge_residual_gp,new_phase1_7
36,0.8276470588235294,physics_ridge_residual_gp,new_phase1_7
37,0.8258823529411764,physics_ridge_residual_gp,new_phase1_7
38,0.8305882352941176,physics_ridge_residual_gp,new_phase1_7
39,0.8317647058823529,physics_ridge_residual_gp,new_phase1_7
40,0.8341176470588235,physics_ridge_residual_gp,new_phase1_7
41,0.8394117647058823,physics_ridge_residual_gp,new_phase1_7
42,0.8358823529411764,physics_ridge_residual_gp,new_phase1_7
43,0.8341176470588235,physics_ridge_residual_gp,new_phase1_7
44,0.8352941176470589,physics_ridge_residual_gp,new_phase1_7
45,0.8347058823529412,physics_ridge_residual_gp,new_phase1_7
46,0.8370588235294117,physics_ridge_residual_gp,new_phase1_7
47,0.8376470588235294,physics_ridge_residual_gp,new_phase1_7
48,0.8347058823529412,physics_ridge_residual_gp,new_phase1_7
49,0.8376470588235294,physics_ridge_residual_gp,new_phase1_7
50,0.838235294117647,physics_ridge_residual_gp,new_phase1_7
51,0.8370588235294117,physics_ridge_residual_gp,new_phase1_7
52,0.8347058823529412,physics_ridge_residual_gp,new_phase1_7
53,0.8370588235294117,physics_ridge_residual_gp,new_phase1_7
54,0.8347058823529412,physics_ridge_residual_gp,new_phase1_7
55,0.8370588235294117,physics_ridge_residual_gp,new_phase1_7
56,0.8358823529411764,physics_ridge_residual_gp,new_phase1_7
57,0.8376470588235294,physics_ridge_residual_gp,new_phase1_7
58,0.8364705882352941,physics_ridge_residual_gp,new_phase1_7
59,0.8358823529411764,physics_ridge_residual_gp,new_phase1_7
60,0.84,physics_ridge_residual_gp,new_phase1_7
61,0.8394117647058823,physics_ridge_residual_gp,new_phase1_7
