population_row_index,experiment_name,truth,P,VX,LS,LS_um,ST,log_h,heldout_q20_occurrences,corrected_occurrences,worsened_occurrences,mean_physics_probability,mean_residual_correction,mean_abs_residual_correction,mean_combined_probability
201,P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,1,140.539865228,0.255658736827,4.5e-05,45.0,300.0,20.64071918063924,20,6,0,0.44853434084963056,0.13755404181712505,0.17020665737276824,0.483294254457822
268,P-211p816522505_VX-0p520710876808_LS-4p80782604054e-05_ST-318p660442183_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p26448979247e-06_H-5a4acb0e81,1,211.816522505,0.520710876808,4.80782604054e-05,48.078260405399995,318.660442183,20.596021279635526,20,5,0,0.3844515526904162,0.1537407204735281,0.19646171460529685,0.429483152118529
105,P-336p384535968_VX-0p857000372961_LS-5p14827567032e-05_ST-367p720955238_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p62907643359e-06_H-1d842653b1,0,336.384535968,0.857000372961,5.14827567032e-05,51.482756703199996,367.720955238,20.706808861943262,20,3,0,0.6039839912918221,-0.17633887702165407,0.17633887702165413,0.5547817729464017
211,P-149p217972816_VX-0p206404715799_LS-4p87379527164e-05_ST-365p118947745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p33721433367e-05_H-b40dbd8ddd,0,149.217972816,0.206404715799,4.87379527164e-05,48.737952716399995,365.118947745,20.68794511287424,5,2,0,0.5556435455547681,-0.20933717452721495,0.209337174527215,0.5038743297907701
199,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,1,140.119887795,0.222892199661,4.5e-05,45.0,300.0,20.70630401683901,20,2,0,0.5453894394981582,0.1315018222866776,0.1588782263509065,0.5678706495229362
110,P-347p783460623_VX-0p850325890926_LS-5p3362114496e-05_ST-354p131736173_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67326086915e-06_H-d1ce08951f,0,347.783460623,0.850325890926,5.3362114496e-05,53.362114496,354.131736173,20.69026214269118,11,2,0,0.5205978147594308,-0.13978758795856594,0.13978758795856594,0.4878757312844133
288,P-229p384485496_VX-0p374546448601_LS-5p61892687884e-05_ST-346p005476369_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p28798994652e-05_H-f404b6f8f4,0,229.384485496,0.374546448601,5.61892687884e-05,56.1892687884,346.005476369,20.606596448503538,20,1,0,0.42261692451687755,-0.07252595484668166,0.10946516850110748,0.41619006683832405
184,P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,0,126.228008246,0.201684842681,4.5e-05,45.0,300.0,20.651886455504343,20,0,13,0.49128139561490586,0.47278914114953174,0.47278914114953186,0.5922967984771786
60,P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,0,233.106311211,0.310101846937,6.6327379673e-05,66.32737967300001,336.786172861,20.46828353868822,19,0,0,0.23289498307734,-0.34539216054267596,0.34539216054267596,0.20985747275727518
57,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,1,227.095146149,0.485569900572,4.61845747353e-05,46.1845747353,309.475761642,20.760882131994514,19,0,0,0.64282724794236,0.2878926932160323,0.32821108290815515,0.6776636600995624
