population_row_index,experiment_name,truth,PC1,PC2,mean_abs_residual,mean_residual,mean_physics_probability,mean_combined_probability,corrected_occurrences,worsened_occurrences,heldout_occurrences
0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0.1820707090851008,-1.3579648992669004,0.13308149326019836,0.11009654820631784,0.004635311224453824,0.0346485991231134,0,0,20
1,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,0,1.3030838944242205,-1.6588868772029048,0.00954279559756182,-0.004256595170173054,0.00015093488476738032,0.015124640216470198,0,0,20
2,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,0,0.015473266291673761,-0.4731141202749444,0.0734826778048363,0.02369479510054264,0.021166452413623055,0.06326203043790316,0,0,20
3,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,0,1.5975825720836092,-0.6590828014374073,0.020971917673865033,-0.020971917673865033,0.0003066435039629443,0.01685272147047954,0,0,20
4,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,0,0.3219901483580636,-1.5324604040672827,0.07479505053396926,0.07479505053396926,0.003492559766485121,0.02832609001814603,0,0,20
5,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,0,1.0909021884422354,1.4640418021924892,0.12440221514568632,-0.12440221514568632,0.007357535021967063,0.03580953241537373,0,0,20
6,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,0,0.3820074072874194,0.8693249845652037,0.069214292571644,0.051079751943266326,0.003159105594310467,0.03247972035790099,0,0,20
7,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,0,0.8555039010715163,0.8246471593392901,0.01916895230659827,0.005879132000214482,0.001047417806353963,0.022513136684568735,0,0,20
8,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,0,1.7562058844104296,1.4025518267927342,0.02135972925715407,-0.018777113800461397,0.0006010477592130435,0.020308043013415045,0,0,20
9,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,0,0.5210156683032384,-0.030439765124172364,0.08017080570566663,0.026997067183743645,0.002477888172457948,0.02909085035018961,0,0,20
10,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,0,-0.08193077939697836,-0.04493727965442052,0.03926560743069946,0.030886412580700816,0.005942342391686385,0.035855053769819276,0,0,20
11,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,0,0.28012480019986374,0.7061282381077358,0.041058654329375735,0.02416350041004833,0.008593722946879276,0.0379751758393013,0,0,20
12,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0,-0.08146646077801455,-0.11890595951756586,0.11931617836645234,-0.11702966830715882,0.45707742194891987,0.43669284400122965,2,0,20
13,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0,0.2776937013355697,0.28976747247201967,0.05858269432809021,0.03670434200701865,0.01410153670754211,0.05123341334751217,0,0,20
14,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,0,0.7876373623404719,-0.732361502679197,0.058355036589712285,-0.05779612932946794,0.006159323501729227,0.03174591930497854,0,0,20
15,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,0,1.578841402694905,1.0454019066075984,0.055544675291155685,-0.055544675291155685,0.0023047921101758714,0.026089103475811726,0,0,20
