run_id,repeat,fold,model,B1_q20_AULC_16_80,B1_q30_AULC_16_80
w85__r06_f02,6,2,physics_ridge_residual_gp,0.8855698529411766,0.8821875
w85__r06_f03,6,3,physics_ridge_residual_gp,0.8102022058823528,0.8643749999999999
w85__r06_f04,6,4,physics_ridge_residual_gp,0.765625,0.840625
w85__r06_f05,6,5,physics_ridge_residual_gp,0.8207720588235292,0.8490625
w85__r07_f01,7,1,physics_ridge_residual_gp,0.8828125000000002,0.9203124999999999
w85__r07_f02,7,2,physics_ridge_residual_gp,0.8175551470588235,0.8759374999999999
w85__r07_f03,7,3,physics_ridge_residual_gp,0.8258272058823528,0.8699999999999999
w85__r07_f04,7,4,physics_ridge_residual_gp,0.9246323529411766,0.9475
w85__r07_f05,7,5,physics_ridge_residual_gp,0.7647058823529411,0.7990624999999999
w85__r08_f01,8,1,physics_ridge_residual_gp,0.7215073529411766,0.8053124999999999
w85__r08_f02,8,2,physics_ridge_residual_gp,0.8198529411764705,0.87625
w85__r08_f03,8,3,physics_ridge_residual_gp,0.8897058823529413,0.91625
w85__r08_f04,8,4,physics_ridge_residual_gp,0.7909007352941175,0.8578124999999999
w85__r08_f05,8,5,physics_ridge_residual_gp,0.9149816176470589,0.9421875
w85__r09_f01,9,1,physics_ridge_residual_gp,0.9402573529411766,0.959375
w85__r09_f02,9,2,physics_ridge_residual_gp,0.7647058823529411,0.84
w85__r09_f03,9,3,physics_ridge_residual_gp,0.8363970588235293,0.8384375
w85__r09_f04,9,4,physics_ridge_residual_gp,0.7996323529411764,0.8615625
w85__r09_f05,9,5,physics_ridge_residual_gp,0.8253676470588234,0.8421874999999999
w85__r10_f01,10,1,physics_ridge_residual_gp,0.8906250000000002,0.9256249999999999
w85__r10_f02,10,2,physics_ridge_residual_gp,0.8180147058823528,0.8753124999999999
w85__r10_f03,10,3,physics_ridge_residual_gp,0.8235294117647057,0.8787499999999999
w85__r10_f04,10,4,physics_ridge_residual_gp,0.8818933823529413,0.9196875
w85__r10_f05,10,5,physics_ridge_residual_gp,0.75,0.8106249999999999
w85__r11_f01,11,1,physics_ridge_residual_gp,0.8952205882352943,0.92875
w85__r11_f02,11,2,physics_ridge_residual_gp,0.886029411764706,0.8831249999999999
w85__r11_f03,11,3,physics_ridge_residual_gp,0.7688419117647058,0.8428125
w85__r11_f04,11,4,physics_ridge_residual_gp,0.8203124999999998,0.8778125
w85__r11_f05,11,5,physics_ridge_residual_gp,0.7844669117647058,0.8278125
w85__r12_f01,12,1,physics_ridge_residual_gp,0.7729779411764706,0.806875
w85__r12_f02,12,2,physics_ridge_residual_gp,0.8281249999999998,0.8821874999999999
w85__r12_f03,12,3,physics_ridge_residual_gp,0.8786764705882354,0.9128125
w85__r12_f04,12,4,physics_ridge_residual_gp,0.8267463235294117,0.8821874999999999
w85__r12_f05,12,5,physics_ridge_residual_gp,0.84375,0.8921875
w85__r13_f01,13,1,physics_ridge_residual_gp,0.7812499999999999,0.814375
w85__r13_f02,13,2,physics_ridge_residual_gp,0.9319852941176472,0.9465625
w85__r13_f03,13,3,physics_ridge_residual_gp,0.8239889705882351,0.8787499999999999
w85__r13_f04,13,4,physics_ridge_residual_gp,0.767922794117647,0.8421875
w85__r13_f05,13,5,physics_ridge_residual_gp,0.8363970588235292,0.88875
w85__r14_f01,14,1,physics_ridge_residual_gp,0.7302389705882353,0.8159375
w85__r14_f02,14,2,physics_ridge_residual_gp,0.9411764705882354,0.9584374999999999
w85__r14_f03,14,3,physics_ridge_residual_gp,0.7522977941176471,0.8315625
