model,budget,subset,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive
frozen_4d_margin,40,B1_q20,0.8170588235294117,0.7971125124875126,0.7110436507936508,0.8831813741813742,1.91,1.2
frozen_4d_margin,40,B1_q30,0.8708,0.8396896302227185,0.7527391774891775,0.9266400829562594,2.0,1.23
frozen_4d_margin,40,full81,0.9579012345679011,0.9159923434774181,0.8505238095238096,0.9814608774310267,2.18,1.23
frozen_4d_margin,80,B1_q20,0.8329411764705883,0.8130964590964591,0.7323809523809524,0.8938119658119658,1.74,1.1
frozen_4d_margin,80,B1_q30,0.8792,0.8493149153692885,0.7659978354978355,0.9326319952407414,1.88,1.14
frozen_4d_margin,80,full81,0.9624691358024691,0.9260290430962073,0.8692380952380953,0.9828199909543193,1.9,1.14
physics_ridge_residual_gp,40,B1_q20,0.8341176470588235,0.8129428349428349,0.728079365079365,0.8978063048063047,1.76,1.06
physics_ridge_residual_gp,40,B1_q30,0.878,0.8487649059317016,0.7683712121212122,0.9291585997421911,1.86,1.19
physics_ridge_residual_gp,40,full81,0.9622222222222221,0.9266638237384507,0.8712380952380953,0.9820895522388059,1.87,1.19
physics_ridge_residual_gp,80,B1_q20,0.8458823529411764,0.8239717504717504,0.7328531746031746,0.9150903263403264,1.75,0.87
physics_ridge_residual_gp,80,B1_q30,0.8876000000000001,0.8569152349628355,0.7713279220779221,0.9425025478477491,1.85,0.96
physics_ridge_residual_gp,80,full81,0.9651851851851851,0.9287294049234347,0.8719047619047618,0.9855540479421075,1.86,0.96
