run_id,method,formulation,budget,timing_group,held_out_positive_count,sensitivity,minimum_n3_for_interpretation
primary_common__r01_f01,binary_margin,binary,80,before_T0,5,1.0,True
primary_common__r01_f01,binary_margin,binary,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,binary_random,binary,80,before_T0,5,1.0,True
primary_common__r01_f01,binary_random,binary,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,binary_uncertainty_repulsion,binary,80,before_T0,5,1.0,True
primary_common__r01_f01,binary_uncertainty_repulsion,binary,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_expected_feasibility,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_expected_feasibility,max_depth,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_random,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_random,max_depth,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_randomized_straddle,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_randomized_straddle,max_depth,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_straddle,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_straddle,max_depth,80,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f02,binary_margin,binary,80,before_T0,3,1.0,True
primary_common__r01_f02,binary_margin,binary,80,inside_T0,2,0.0,False
primary_common__r01_f02,binary_margin,binary,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,binary_random,binary,80,before_T0,3,0.6666666666666666,True
primary_common__r01_f02,binary_random,binary,80,inside_T0,2,0.0,False
primary_common__r01_f02,binary_random,binary,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,before_T0,3,1.0,True
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,inside_T0,2,0.0,False
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,inside_T0,2,0.5,False
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,inside_T0,2,1.0,False
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,80,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,80,inside_T0,2,0.0,False
primary_common__r01_f02,max_depth_random,max_depth,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,inside_T0,2,0.5,False
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,80,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,80,inside_T0,2,0.5,False
primary_common__r01_f02,max_depth_straddle,max_depth,80,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f03,binary_margin,binary,80,before_T0,7,0.5714285714285714,True
primary_common__r01_f03,binary_margin,binary,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,binary_random,binary,80,before_T0,7,0.5714285714285714,True
primary_common__r01_f03,binary_random,binary,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,binary_uncertainty_repulsion,binary,80,before_T0,7,0.5714285714285714,True
primary_common__r01_f03,binary_uncertainty_repulsion,binary,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,max_depth_boundary_proximity,max_depth,80,before_T0,7,1.0,True
primary_common__r01_f03,max_depth_boundary_proximity,max_depth,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,max_depth_expected_feasibility,max_depth,80,before_T0,7,0.8571428571428571,True
primary_common__r01_f03,max_depth_expected_feasibility,max_depth,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,max_depth_random,max_depth,80,before_T0,7,0.8571428571428571,True
primary_common__r01_f03,max_depth_random,max_depth,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,max_depth_randomized_straddle,max_depth,80,before_T0,7,0.8571428571428571,True
primary_common__r01_f03,max_depth_randomized_straddle,max_depth,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f03,max_depth_straddle,max_depth,80,before_T0,7,0.8571428571428571,True
primary_common__r01_f03,max_depth_straddle,max_depth,80,spans_multiple_T0_regions,7,1.0,True
primary_common__r01_f04,binary_margin,binary,80,before_T0,5,0.8,True
primary_common__r01_f04,binary_margin,binary,80,inside_T0,1,0.0,False
primary_common__r01_f04,binary_margin,binary,80,spans_multiple_T0_regions,8,0.75,True
primary_common__r01_f04,binary_random,binary,80,before_T0,5,0.8,True
primary_common__r01_f04,binary_random,binary,80,inside_T0,1,0.0,False
primary_common__r01_f04,binary_random,binary,80,spans_multiple_T0_regions,8,0.75,True
primary_common__r01_f04,binary_uncertainty_repulsion,binary,80,before_T0,5,0.8,True
primary_common__r01_f04,binary_uncertainty_repulsion,binary,80,inside_T0,1,0.0,False
primary_common__r01_f04,binary_uncertainty_repulsion,binary,80,spans_multiple_T0_regions,8,0.75,True
primary_common__r01_f04,max_depth_boundary_proximity,max_depth,80,before_T0,5,1.0,True
primary_common__r01_f04,max_depth_boundary_proximity,max_depth,80,inside_T0,1,1.0,False
primary_common__r01_f04,max_depth_boundary_proximity,max_depth,80,spans_multiple_T0_regions,8,1.0,True
primary_common__r01_f04,max_depth_expected_feasibility,max_depth,80,before_T0,5,0.8,True
