population,candidate_id,candidate_name,unit,cv_scheme,cv_n,balanced_accuracy,sensitivity_keyhole_recall,specificity,precision,f1,true_negative,false_positive,false_negative,true_positive,full_data_descriptive_direction,full_data_descriptive_threshold,full_data_descriptive_balanced_accuracy,full_data_threshold_is_predictive_performance
new-data,G3,G3 persistent depth,um,exact_leave_one_simulation_out,164,1.0,1.0,1.0,1.0,1.0,101,0,0,63,higher,100.9587625,1.0,False
new-data,R3,R3 persistent aspect ratio,dimensionless,exact_leave_one_simulation_out,164,0.9900990099009901,1.0,0.9801980198019802,0.9692307692307692,0.984375,99,2,0,63,higher,0.5782153663226665,0.9900990099009901,False
new-data,max_depth,Maximum penetration depth,um,exact_leave_one_simulation_out,164,0.9871129970139871,0.9841269841269841,0.9900990099009901,0.9841269841269841,0.9841269841269841,100,1,1,62,higher,108.601,0.995049504950495,False
new-data,R0,R0 T0 aspect ratio,dimensionless,exact_leave_one_simulation_out,164,0.9137199434229137,0.8571428571428571,0.9702970297029703,0.9473684210526315,0.9,98,3,9,54,higher,0.5185328763247001,0.9266069464089266,False
new-data,T0_kinetic_energy,T0 kinetic energy,nJ,exact_leave_one_simulation_out,164,0.8206820682068207,0.8888888888888888,0.7524752475247525,0.691358024691358,0.7777777777777778,76,25,7,56,higher,3.3667689999999997,0.8385195662423386,False
new-data,T0_depth,T0 penetration depth,um,exact_leave_one_simulation_out,164,0.778956467075279,0.746031746031746,0.8118811881188119,0.7121212121212122,0.7286821705426356,82,19,16,47,higher,82.41506749999999,0.8691654879773691,False
new-data,T0_total_height,T0 total height,um,exact_leave_one_simulation_out,164,0.765990884802766,0.6507936507936508,0.8811881188118812,0.7735849056603774,0.7068965517241379,89,12,22,41,higher,112.91155499999999,0.8254754046833255,False
new-data,T0_width,T0 width,um,exact_leave_one_simulation_out,164,0.5668709728115668,0.5396825396825397,0.594059405940594,0.4533333333333333,0.4927536231884058,60,41,29,34,lower,159.2590775,0.5946094609460946,False
old-data-local,max_depth,Maximum penetration depth,um,exact_leave_one_simulation_out,178,1.0,1.0,1.0,1.0,1.0,170,0,0,8,higher,107.08127999999999,1.0,False
old-data-local,G3,G3 persistent depth,um,exact_leave_one_simulation_out,177,0.9644970414201184,1.0,0.9289940828402367,0.4,0.5714285714285714,157,12,0,8,higher,76.412915,0.9644970414201184,False
old-data-local,T0_depth,T0 penetration depth,um,exact_leave_one_simulation_out,178,0.8698529411764706,0.875,0.8647058823529412,0.23333333333333334,0.3684210526315789,147,23,1,7,higher,70.17236750000001,0.9323529411764706,False
old-data-local,R3,R3 persistent aspect ratio,dimensionless,exact_leave_one_simulation_out,177,0.8546597633136095,0.875,0.834319526627219,0.2,0.32558139534883723,141,28,1,7,higher,0.431491418489115,0.9201183431952662,False
old-data-local,T0_total_height,T0 total height,um,exact_leave_one_simulation_out,178,0.8463235294117647,0.875,0.8176470588235294,0.18421052631578946,0.30434782608695654,139,31,1,7,higher,92.59128,0.9088235294117647,False
old-data-local,R0,R0 T0 aspect ratio,dimensionless,exact_leave_one_simulation_out,178,0.8455882352941176,0.75,0.9411764705882353,0.375,0.5,160,10,2,6,higher,0.4559295168357515,0.9110294117647059,False
old-data-local,T0_kinetic_energy,T0 kinetic energy,nJ,exact_leave_one_simulation_out,178,0.6845588235294118,0.875,0.49411764705882355,0.07526881720430108,0.13861386138613863,84,86,1,7,higher,1.4730165,0.75,False
