experiment_name,has_keyhole,value__G3,value__R3,value__max_depth,value__T0_depth,keyhole_persistence_group,keyhole_timing_group,consensus_hard_case,consensus_mean_residual_rank,mean_absolute_residual_across_models,review_candidate,error_type,diagnostic_review_outcome,loo_prediction__G3,loo_correct__G3,loo_signed_margin__G3,loo_prediction__R3,loo_correct__R3,loo_signed_margin__R3,loo_prediction__max_depth,loo_correct__max_depth,loo_signed_margin__max_depth,loo_prediction__T0_depth,loo_correct__T0_depth,loo_signed_margin__T0_depth,phase5_discordant_review_case
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,False,58.118385,0.34122770043903616,58.86335,58.710764999999995,Keyhole-negative,no_Keyhole,True,14.0,42.16359815634007,,,,0.0,True,-42.8403775,0.0,True,-0.2369876658836303,0.0,True,-49.73765,0.0,True,-23.704302499999997,False
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,True,152.34725,0.8587055769270728,158.3638,74.71056,transient Keyhole,before_T0,True,11.666666666666666,43.01291292078705,,,,1.0,True,51.3884875,1.0,True,0.2804902106044064,1.0,True,49.7628,0.0,False,-7.704507499999991,False
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,True,114.5273,0.6341750377176019,119.0752,78.70302,transient Keyhole,before_T0,True,16.666666666666668,34.400710583643274,,,,1.0,True,13.56853749999999,1.0,True,0.055959671394935406,1.0,True,10.474199999999996,0.0,False,-3.712047499999997,False
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,True,187.6205,1.1760164980876044,207.3806,138.5759,persistent Keyhole,spans_multiple_T0_regions,True,14.666666666666666,35.033347370763884,,,,1.0,True,86.66173749999999,1.0,True,0.597801131764938,1.0,True,98.77959999999999,1.0,True,56.1608325,False
P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,False,82.59051000000001,0.3580815927193547,82.84798,82.64645,Keyhole-negative,no_Keyhole,True,18.33333333333333,31.79228809664584,,,,0.0,True,-18.368252499999997,0.0,True,-0.22013377360331177,0.0,True,-25.753019999999992,1.0,False,0.23138250000000937,False
P-260p125654688_VX-0p378472963537_LS-6p21275317791e-05_ST-359p026868384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27462753427e-05_H-0602c4a780,False,86.74683,0.404300277913581,86.94682999999999,86.700545,Keyhole-negative,no_Keyhole,True,9.0,46.99487078654235,,,,0.0,True,-14.211932500000003,0.0,True,-0.17391508840908548,0.0,True,-21.654170000000008,1.0,False,4.285477500000013,False
P-264p370573209_VX-0p395776293281_LS-4p78236029631e-05_ST-378p311267492_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21890085003e-05_H-985b11a49e,True,298.9531,1.6457550012620834,302.1039,214.1457,persistent Keyhole,spans_multiple_T0_regions,True,19.33333333333333,30.754107469071997,,,,1.0,True,197.9943375,1.0,True,1.067539634939417,1.0,True,193.5029,1.0,True,131.7306325,False
P-277p972333632_VX-0p331196372511_LS-4p5620211888e-05_ST-324p411035281_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4565741063e-05_H-0e4c2fc094,True,300.0465,1.5942627038911477,301.7815,107.62049999999999,persistent Keyhole,spans_multiple_T0_regions,True,3.6666666666666665,68.90668059878222,,,,1.0,True,199.08773749999997,1.0,True,1.016047337568481,1.0,True,193.1805,1.0,True,25.2054325,False
P-293p648784497_VX-0p426690912013_LS-5p33940457289e-05_ST-351p677261216_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13058902058e-05_H-5799d46da7,True,266.4633,1.3531824623395177,270.62339999999995,236.99555,persistent Keyhole,spans_multiple_T0_regions,True,2.6666666666666665,75.69129560763574,,,,1.0,True,165.5045375,1.0,True,0.7749670960168512,1.0,True,162.02239999999995,1.0,True,154.58048250000002,False
P-326p931045044_VX-0p255856443683_LS-6p48737236991e-05_ST-399p817710522_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p88547942494e-05_H-9cf0389d20,True,283.35630000000003,1.1345586907526033,287.6517,94.37196999999999,transient Keyhole,before_T0,True,14.333333333333334,38.58044985574136,,,,1.0,True,182.39753750000003,1.0,True,0.5563433244299368,1.0,True,179.0507,1.0,True,11.956902499999998,False
