candidate_id,mean_direction_adjusted_roc_auc,minimum_direction_adjusted_roc_auc,mean_within_population_loo_balanced_accuracy,minimum_within_population_loo_balanced_accuracy,mean_cross_population_transfer_balanced_accuracy,minimum_cross_population_transfer_balanced_accuracy,mean_transfer_sensitivity,mean_transfer_specificity,descriptive_direction_agreement_fraction,median_normalized_loo_threshold_iqr,minimum_candidate_availability_fraction,subgroup_rows_evaluated,rank__mean_direction_adjusted_roc_auc,rank__mean_within_population_loo_balanced_accuracy,rank__mean_cross_population_transfer_balanced_accuracy,rank__descriptive_direction_agreement_fraction,rank__minimum_candidate_availability_fraction,aggregate_rank_sum
max_depth,0.9999603160985704,0.9998428414269999,0.9457515315698217,0.75,0.9890905757242391,0.9444444444444444,0.9814814814814815,0.9966996699669967,1.0,0.0,0.9939393939393939,7,1.0,1.0,1.0,1.0,1.0,5.0
G3,0.988542683731016,0.9733727810650887,0.9305289496777105,0.75,0.886635955262193,0.8125,0.8689814814814815,0.9042904290429042,1.0,0.0,0.9888268156424581,7,2.0,3.0,2.0,1.0,7.0,15.0
T0_depth,0.9694117761628516,0.9577243438629577,0.8330291135089471,0.7336065573770492,0.8367215648873515,0.7352941176470589,0.8076719576719577,0.8657711721027455,1.0,0.0,0.9939393939393939,7,4.0,5.0,4.0,1.0,1.0,15.0
R3,0.9859071832387597,0.9630177514792899,0.9389550295026139,0.8546597633136095,0.8668906176331919,0.75,0.826190476190476,0.9075907590759075,1.0,0.0,0.9888268156424581,7,3.0,2.0,3.0,1.0,7.0,16.0
R0,0.9609340774529395,0.9286764705882353,0.856072213138922,0.7418032786885246,0.7895928283304521,0.625,0.6220899470899471,0.957095709570957,1.0,0.0,0.9939393939393939,0,5.0,4.0,5.0,1.0,1.0,16.0
T0_total_height,0.9355108203429555,0.9066478076379066,0.7946248191049616,0.7254098360655737,0.7306595003475641,0.6727941176470589,0.6516534391534391,0.8096655615416894,1.0,0.0,0.9939393939393939,0,6.0,6.0,6.0,1.0,1.0,20.0
T0_kinetic_energy,0.8561291808621523,0.7338235294117645,0.7495498999802942,0.6845588235294118,0.6000926580753313,0.5,0.5269179894179894,0.6732673267326733,1.0,0.0,0.9939393939393939,0,7.0,7.0,7.0,1.0,1.0,23.0
T0_width,0.5989773446003922,0.5327868852459017,0.5197081540265803,0.16393442622950818,0.4426093375627685,0.3397058823529412,0.4845238095238095,0.4006948656017275,0.8,0.0,0.9939393939393939,0,8.0,8.0,8.0,8.0,1.0,33.0
