analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
within_population,new-data,new-data,new-data,G3,roc_auc,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,G3,average_precision,0.9999999999999998,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,G3,loo_balanced_accuracy,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,G3,loo_sensitivity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,G3,loo_specificity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,R3,roc_auc,0.9985855728429985,0.9948884174131698,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,R3,average_precision,0.9977350794651101,0.991758277334667,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,R3,loo_balanced_accuracy,0.9900990099009901,0.9752475247524752,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,R3,loo_sensitivity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,R3,loo_specificity,0.9801980198019802,0.9504950495049505,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,max_depth,roc_auc,0.9998428414269999,0.9992063492063492,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,max_depth,average_precision,0.999751984126984,0.9987711940836941,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,max_depth,loo_balanced_accuracy,0.9871129970139871,0.9677589187490178,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,max_depth,loo_sensitivity,0.9841269841269841,0.9523809523809523,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,max_depth,loo_specificity,0.9900990099009901,0.9702970297029703,1.0,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,T0_depth,roc_auc,0.9577243438629577,0.9271373565928022,0.9793611504007543,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,T0_depth,average_precision,0.9434314745521312,0.9058626655009869,0.9721479004708269,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,T0_depth,loo_balanced_accuracy,0.778956467075279,0.7155429828697155,0.8404054691183405,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,T0_depth,loo_sensitivity,0.746031746031746,0.6349206349206349,0.8412698412698413,300,simulation,stratified by Keyhole label
within_population,new-data,new-data,new-data,T0_depth,loo_specificity,0.8118811881188119,0.7326732673267327,0.8811881188118812,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,G3,roc_auc,0.9733727810650887,0.942233727810651,0.9948224852071006,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,G3,average_precision,0.762719298245614,0.542609126984127,0.9416666666666667,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,G3,loo_balanced_accuracy,0.9644970414201184,0.9437869822485208,0.985207100591716,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,G3,loo_sensitivity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,G3,loo_specificity,0.9289940828402367,0.8875739644970414,0.9704142011834319,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,R3,roc_auc,0.9630177514792899,0.9196930473372781,0.9970414201183432,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,R3,average_precision,0.7567532467532468,0.5355222972238137,0.9583333333333333,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,R3,loo_balanced_accuracy,0.8546597633136095,0.7178254437869822,0.9349112426035503,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,R3,loo_sensitivity,0.875,0.625,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,R3,loo_specificity,0.834319526627219,0.7751479289940828,0.8816568047337278,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,max_depth,roc_auc,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,max_depth,average_precision,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,max_depth,loo_balanced_accuracy,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,max_depth,loo_sensitivity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,max_depth,loo_specificity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,T0_depth,roc_auc,0.9669117647058824,0.9253492647058824,0.9937683823529412,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,T0_depth,average_precision,0.6816628264208909,0.4392205603832442,0.9263815789473684,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,T0_depth,loo_balanced_accuracy,0.8698529411764706,0.7344852941176471,0.9470588235294117,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,T0_depth,loo_sensitivity,0.875,0.625,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-local,old-data-local,old-data-local,T0_depth,loo_specificity,0.8647058823529412,0.8176470588235294,0.9117647058823529,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,roc_auc,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,average_precision,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_balanced_accuracy,0.75,0.5,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_sensitivity,0.5,0.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,G3,loo_specificity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,roc_auc,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,average_precision,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_balanced_accuracy,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_sensitivity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,R3,loo_specificity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,roc_auc,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,average_precision,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_balanced_accuracy,0.75,0.5,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_sensitivity,0.5,0.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,max_depth,loo_specificity,1.0,1.0,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,roc_auc,0.9836065573770492,0.9344262295081968,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,average_precision,0.75,0.3333333333333333,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,loo_balanced_accuracy,0.7336065573770492,0.47540983606557374,1.0,300,simulation,stratified by Keyhole label
within_population,old-data-remote-clean,old-data-remote-clean,old-data-remote-clean,T0_depth,loo_sensitivity,0.5,0.0,1.0,300,simulation,stratified by Keyhole label
