population,experiment_count,P_min_W,P_median_W,P_max_W,VX_min_m_per_s,VX_median_m_per_s,VX_max_m_per_s,LS_min_um,LS_max_um,ST_min_K,ST_max_K,keyhole_positive_fraction,G3_available_n,G3_median_um,G3_iqr_um
new-data,165,102.928146519,265.432977562,449.762375807,0.20359066256,0.63969291749,0.993777087019,40.0293473664,88.7652204691,300.218383071,399.817710522,0.38181818181818183,164,82.54508000000001,135.22771875
old-data-local,179,52.5445860993,151.505871803,248.695097131,0.201002332148,0.635786516528,0.995509859725,45.0,88.4568803437,300.0,399.182507166,0.0446927374301676,177,54.901590000000006,20.67474
old-data-remote-clean,63,76.6986127633,162.201106716,246.882256304,0.225166085115,0.584146530445,0.998321353283,45.309138373799996,89.7039861056,306.057190902,399.457924021,0.031746031746031744,63,58.62358,29.916052499999992
all-old,242,52.5445860993,154.4054380105,248.695097131,0.201002332148,0.6191028604635,0.998321353283,45.0,89.7039861056,300.0,399.457924021,0.04132231404958678,240,54.90732,23.83227749999999
all-combined,407,52.5445860993,193.81397439,449.762375807,0.201002332148,0.633805217924,0.998321353283,40.0293473664,89.7039861056,300.0,399.817710522,0.17936117936117937,404,62.790594999999996,31.795373749999996
