kernel_key,kernel_label,clean_evaluation_points,clean_trained_MAE,clean_trained_RMSE,broad_trained_MAE,broad_trained_RMSE,mean_paired_improvement_clean_minus_broad,median_paired_improvement_clean_minus_broad,clean_points_improved_by_broad_training,clean_points_worsened_by_broad_training,clean_points_tied
isotropic_rbf,Isotropic RBF,91,4402.159372535633,6141.66780728808,12850.805261775744,16433.61160072428,-8448.645889240112,-7422.730318372502,13,78,0
ard_rbf,ARD RBF — Automatic Relevance Determination RBF,91,2035.491107400366,3255.0217048832455,13454.047459509571,18429.412754657595,-11418.556352109204,-8506.673058782464,17,74,0
matern_3_2,Matérn 3/2,91,1735.765252920139,2537.0069285244813,13303.690684485446,17398.49111176952,-11567.925431565307,-9689.579487314908,10,81,0
matern_5_2,Matérn 5/2,91,2545.315390908036,3724.580752799553,13077.158894482378,17094.97612383471,-10531.843503574342,-8775.006198835737,12,79,0
