run_id,repeat,subset,train_labels,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count
w85__r61_f01,61,B1_q20,324,0.8472222222222223,0.8200757575757576,0.7058823529411765,0.6944444444444444,0.5,0.8888888888888888,4,1,8,4,17
w85__r61_f01,61,B1_q30,324,0.9027777777777778,0.8388278388278387,0.8,0.7465277777777778,0.5555555555555556,0.9375,4,1,15,5,25
w85__r61_f01,61,full81,324,0.9848484848484849,0.9352390640548534,0.9382716049382716,0.8590909090909091,0.7333333333333333,0.9848484848484849,4,1,65,11,81
w85__r61_f02,61,B1_q20,324,1.0,1.0,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1,0,10,6,17
w85__r61_f02,61,B1_q30,324,1.0,1.0,0.96,0.9285714285714286,0.8571428571428571,1.0,1,0,18,6,25
w85__r61_f02,61,full81,324,1.0,1.0,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81
w85__r61_f03,61,B1_q20,324,0.9666666666666667,0.9266666666666667,0.8823529411764706,0.8,0.6,1.0,2,0,12,3,17
w85__r61_f03,61,B1_q30,324,0.9722222222222222,0.9575757575757575,0.92,0.8888888888888888,0.7777777777777778,1.0,2,0,16,7,25
w85__r61_f03,61,full81,324,0.9959595959595959,0.9838235294117647,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r61_f04,61,B1_q20,324,0.8333333333333334,0.5977777777777777,0.8235294117647058,0.8166666666666667,0.8,0.8333333333333334,1,2,10,4,17
w85__r61_f04,61,B1_q30,324,0.9044117647058822,0.7180555555555556,0.88,0.8786764705882353,0.875,0.8823529411764706,1,2,15,7,25
w85__r61_f04,61,full81,324,0.9850746268656717,0.9177411873840444,0.9629629629629629,0.949360341151386,0.9285714285714286,0.9701492537313433,1,2,65,13,81
w85__r61_f05,61,B1_q20,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,11,6,17
w85__r61_f05,61,B1_q30,324,1.0,1.0,1.0,1.0,1.0,1.0,0,0,19,6,25
w85__r61_f05,61,full81,324,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0,0,67,14,81
w85__r62_f01,62,B1_q20,324,0.9428571428571428,0.9367346938775509,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,3,0,10,4,17
w85__r62_f01,62,B1_q30,324,0.963235294117647,0.9427083333333333,0.88,0.8125,0.625,1.0,3,0,17,5,25
w85__r62_f01,62,full81,324,0.994949494949495,0.9815204678362573,0.9629629629629629,0.9,0.8,1.0,3,0,66,12,81
w85__r62_f02,62,B1_q20,324,0.9833333333333333,0.9666666666666668,0.9411764705882353,0.9,0.8,1.0,1,0,12,4,17
w85__r62_f02,62,B1_q30,324,0.9852941176470588,0.975,0.96,0.9375,0.875,1.0,1,0,17,7,25
w85__r62_f02,62,full81,324,0.9978678038379531,0.9910714285714285,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1,0,67,13,81
w85__r62_f03,62,B1_q20,324,0.7999999999999999,0.5676190476190476,0.7058823529411765,0.675,0.6,0.75,2,3,9,3,17
w85__r62_f03,62,B1_q30,324,0.8602941176470589,0.6688311688311688,0.8,0.7867647058823529,0.75,0.8235294117647058,2,3,14,6,25
w85__r62_f03,62,full81,324,0.9754797441364605,0.878004616765121,0.9382716049382716,0.906183368869936,0.8571428571428571,0.9552238805970149,2,3,64,12,81
w85__r62_f04,62,B1_q20,324,0.9857142857142858,0.982142857142857,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0,10,5,17
w85__r62_f04,62,B1_q30,324,0.9926470588235294,0.9861111111111112,0.92,0.875,0.75,1.0,2,0,17,6,25
w85__r62_f04,62,full81,324,0.998989898989899,0.9958333333333333,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81
w85__r62_f05,62,B1_q20,324,0.9583333333333333,0.9526289682539683,0.8823529411764706,0.8819444444444444,0.875,0.8888888888888888,1,1,8,7,17
w85__r62_f05,62,B1_q30,324,0.9779411764705882,0.9526289682539683,0.92,0.9080882352941176,0.875,0.9411764705882353,1,1,16,7,25
w85__r62_f05,62,full81,324,0.996969696969697,0.9866269841269841,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,65,14,81
w85__r63_f01,63,B1_q20,324,0.9428571428571428,0.9240362811791383,0.8235294117647058,0.85,1.0,0.7,0,3,7,7,17
w85__r63_f01,63,B1_q30,324,0.9722222222222222,0.9535634118967453,0.88,0.90625,1.0,0.8125,0,3,13,9,25
w85__r63_f01,63,full81,324,0.9959595959595959,0.9829505135387488,0.9629629629629629,0.9772727272727273,1.0,0.9545454545454546,0,3,63,15,81
w85__r63_f02,63,B1_q20,324,1.0,1.0,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17
w85__r63_f02,63,B1_q30,324,1.0,1.0,0.92,0.8888888888888888,0.7777777777777778,1.0,2,0,16,7,25
w85__r63_f02,63,full81,324,1.0,1.0,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81
w85__r63_f03,63,B1_q20,324,0.9423076923076923,0.8928571428571428,0.9411764705882353,0.875,0.75,1.0,1,0,13,3,17
w85__r63_f03,63,B1_q30,324,0.9523809523809523,0.875,0.96,0.875,0.75,1.0,1,0,21,3,25
