policy,run_id,nn_distance_B24,jaccard_vs_margin_B24,nn_distance_B40,jaccard_vs_margin_B40,nn_distance_B80,jaccard_vs_margin_B80,differs_from_margin_B16_39,differs_from_margin_B40_79,chosen_in_band_B16_39,separable_B16,separable_B20,separable_B24,separable_B28,separable_B32
margin,w85__r100_f01,1.5350692919741682,1.0,1.01684481616442,1.0,0.7137819589239653,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0
margin,w85__r100_f02,1.350256830078577,1.0,0.9644727791570908,1.0,0.7003335800462951,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r100_f03,1.4351144855389304,1.0,0.991734548648205,1.0,0.7073374355600545,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r100_f04,1.4729912260610085,1.0,1.0526610674541044,1.0,0.6822465924160575,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r100_f05,1.554716756887854,1.0,1.0400699436156295,1.0,0.7576759624588749,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r101_f01,1.4975754490918847,1.0,1.0172729926325699,1.0,0.7378828438735826,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
margin,w85__r101_f02,1.2848628154900779,1.0,0.9876931115948565,1.0,0.7233058987784495,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r101_f03,1.638877827880622,1.0,1.0361535482197932,1.0,0.7405020541768768,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r101_f04,1.3956217315698825,1.0,0.977205454000776,1.0,0.7276315594049677,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r101_f05,1.5269484423981716,1.0,1.066178816033649,1.0,0.7385296256624688,1.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.0,0.0,0.0
margin,w85__r102_f01,1.5703029171196017,1.0,1.032504522890625,1.0,0.7405989914472573,1.0,0.0,0.0,0.875,1.0,1.0,0.0,0.0,0.0
margin,w85__r102_f02,1.552428420011082,1.0,1.0383966345256042,1.0,0.7134749390890474,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r102_f03,1.5798552452779298,1.0,1.0141064477085937,1.0,0.7448455781623697,1.0,0.0,0.0,0.9166666666666666,1.0,0.0,0.0,0.0,0.0
margin,w85__r102_f04,1.5871082812352524,1.0,1.0192463264789235,1.0,0.751235687185228,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r102_f05,1.4706655826072783,1.0,1.0355430765155156,1.0,0.7237541809674009,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0
margin,w85__r103_f01,1.5066886279879508,1.0,0.9840259393450577,1.0,0.725140501091204,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r103_f02,1.5379270603727164,1.0,0.9998977944374335,1.0,0.7330882936661668,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r103_f03,1.4819261465700333,1.0,0.9925653315682711,1.0,0.7060330126207601,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r103_f04,1.4824861136947085,1.0,1.0738393883757578,1.0,0.7573155023247865,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
margin,w85__r103_f05,1.5860479802142866,1.0,1.0771154480253422,1.0,0.7780012395410136,1.0,0.0,0.0,0.875,1.0,1.0,0.0,0.0,0.0
margin,w85__r104_f01,1.4994311926794726,1.0,1.0443273472757484,1.0,0.7333183261796021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r104_f02,1.4262463606641054,1.0,0.956836393633689,1.0,0.7112795722420754,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r104_f03,1.4693978934383016,1.0,1.0236034328592203,1.0,0.720789368830952,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r104_f04,1.4950319788417668,1.0,1.0103377606242816,1.0,0.7198215204290881,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r104_f05,1.5194923946158703,1.0,1.0019549049404686,1.0,0.7520480235375917,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r105_f01,1.4201248109502487,1.0,1.0264203859242103,1.0,0.6971189949742497,1.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0
margin,w85__r105_f02,1.5445300213325972,1.0,1.0559259491587139,1.0,0.7183984705988414,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
margin,w85__r105_f03,1.4584627422430396,1.0,0.9953618977063396,1.0,0.7149832646017822,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r105_f04,1.612832719389732,1.0,1.106312933722656,1.0,0.7659019706257242,1.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.0,0.0,0.0
margin,w85__r105_f05,1.58567354961907,1.0,1.0512199798153201,1.0,0.7666165274387788,1.0,0.0,0.0,0.9583333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r106_f01,1.4574402044911554,1.0,1.0013899042404342,1.0,0.7289064665896393,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r106_f02,1.5104252679444208,1.0,1.0119644167784536,1.0,0.7223039049567623,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r106_f03,1.5389531087881885,1.0,1.0160408259379288,1.0,0.7621494854274484,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r106_f04,1.5526932095934252,1.0,1.061216225205254,1.0,0.7502565774956101,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r106_f05,1.4847002963147642,1.0,1.0586297056055018,1.0,0.7422015349962072,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r107_f01,1.4496141175803394,1.0,0.9936532928139943,1.0,0.7076454530985125,1.0,0.0,0.0,0.7083333333333334,1.0,0.0,0.0,0.0,0.0
margin,w85__r107_f02,1.427048168124912,1.0,0.9451971894301436,1.0,0.7056610049973605,1.0,0.0,0.0,0.9583333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r107_f03,1.5247717330459818,1.0,1.0791135504921114,1.0,0.7541900136302518,1.0,0.0,0.0,0.9166666666666666,1.0,1.0,0.0,0.0,0.0
margin,w85__r107_f04,1.5014686113255322,1.0,1.076539958730061,1.0,0.7894884913559752,1.0,0.0,0.0,0.7916666666666666,1.0,1.0,0.0,0.0,0.0
margin,w85__r107_f05,1.54620007274253,1.0,1.0105151693222154,1.0,0.6918128423045304,1.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0
margin,w85__r108_f01,1.4893905440072117,1.0,1.0389025591991752,1.0,0.7151690637178877,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r108_f02,1.535653131607168,1.0,1.0268149282026482,1.0,0.7382087181547687,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r108_f03,1.4984633989023426,1.0,1.0896325638778879,1.0,0.7692710934545984,1.0,0.0,0.0,0.625,1.0,1.0,1.0,0.0,0.0
margin,w85__r108_f04,1.405098945112366,1.0,0.9406071012073681,1.0,0.7006765331986163,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r108_f05,1.4204077762686966,1.0,0.9861919302319292,1.0,0.7226148278252481,1.0,0.0,0.0,0.9583333333333334,1.0,0.0,0.0,0.0,0.0
margin,w85__r109_f01,1.4525110638711942,1.0,1.0451783642903751,1.0,0.7567449435307289,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r109_f02,1.4786102415504612,1.0,1.0340888768995384,1.0,0.7527296765876754,1.0,0.0,0.0,0.7916666666666666,1.0,1.0,1.0,0.0,0.0
margin,w85__r109_f03,1.4742088647706104,1.0,0.9740455026870223,1.0,0.7110835361016807,1.0,0.0,0.0,0.875,1.0,0.0,0.0,0.0,0.0
margin,w85__r109_f04,1.5598338813750752,1.0,1.0336695749184992,1.0,0.745995191442254,1.0,0.0,0.0,0.7916666666666666,1.0,1.0,0.0,0.0,0.0
margin,w85__r109_f05,1.427785127986848,1.0,0.957171800302661,1.0,0.6953306685723426,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
margin,w85__r110_f01,1.3556987837040657,1.0,0.9514637410126834,1.0,0.710542458570877,1.0,0.0,0.0,0.7083333333333334,1.0,1.0,0.0,0.0,0.0
margin,w85__r110_f02,1.4511566150738808,1.0,1.0395399422202811,1.0,0.7408400408695938,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r110_f03,1.5133486864740664,1.0,1.0737684562409504,1.0,0.762876872860853,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
margin,w85__r110_f04,1.450926212829635,1.0,0.9850964735868196,1.0,0.7070846708474678,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
