run_id,repeat,fold,model,feature,standardized_coefficient
w85__r01_f01,1,1,4d_only,P,2.3871249838024116
w85__r01_f01,1,1,4d_only,VX,-1.3580297584176289
w85__r01_f01,1,1,4d_only,LS,-2.2352472586850944
w85__r01_f01,1,1,4d_only,ST,-0.21077595649408756
w85__r01_f01,1,1,width_dynamics_only,width_gain_20_um,-0.330381944724011
w85__r01_f01,1,1,width_dynamics_only,width_gain_40_um,0.1983745479015241
w85__r01_f01,1,1,width_dynamics_only,time_to_50pct_max_width_tau,0.5712892440459062
w85__r01_f01,1,1,width_dynamics_only,robust_max_positive_dWdt_um_per_ms,-0.8233704479352869
w85__r01_f01,1,1,width_dynamics_only,robust_median_positive_dWdt_um_per_ms,-0.7158472345019177
w85__r01_f01,1,1,width_dynamics_only,robust_early_dWdt_20_um_per_ms,0.41260460957174117
w85__r01_f01,1,1,width_dynamics_only,robust_early_dWdt_40_um_per_ms,-0.6271915581375722
w85__r01_f01,1,1,width_dynamics_only,robust_time_of_max_dWdt_tau,0.0986309813228028
w85__r01_f01,1,1,4d_plus_width_dynamics,P,2.2912770427115623
w85__r01_f01,1,1,4d_plus_width_dynamics,VX,-1.6173227835718123
w85__r01_f01,1,1,4d_plus_width_dynamics,LS,-2.6316865613021383
w85__r01_f01,1,1,4d_plus_width_dynamics,ST,-0.18967805556915177
w85__r01_f01,1,1,4d_plus_width_dynamics,width_gain_20_um,0.20171299807548324
w85__r01_f01,1,1,4d_plus_width_dynamics,width_gain_40_um,0.5048816184495453
w85__r01_f01,1,1,4d_plus_width_dynamics,time_to_50pct_max_width_tau,-0.26757502395814764
w85__r01_f01,1,1,4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,-0.5008024284769867
w85__r01_f01,1,1,4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,-0.14397937977497186
w85__r01_f01,1,1,4d_plus_width_dynamics,robust_early_dWdt_20_um_per_ms,-0.21454944485782065
w85__r01_f01,1,1,4d_plus_width_dynamics,robust_early_dWdt_40_um_per_ms,-0.9485642247407974
w85__r01_f01,1,1,4d_plus_width_dynamics,robust_time_of_max_dWdt_tau,0.2700875724966259
w85__r01_f02,1,2,4d_only,P,2.7463798934934274
w85__r01_f02,1,2,4d_only,VX,-1.6393491120091939
w85__r01_f02,1,2,4d_only,LS,-2.33207735151672
w85__r01_f02,1,2,4d_only,ST,-0.24778481907842487
w85__r01_f02,1,2,width_dynamics_only,width_gain_20_um,-0.4536333657285969
w85__r01_f02,1,2,width_dynamics_only,width_gain_40_um,0.46539743271468165
w85__r01_f02,1,2,width_dynamics_only,time_to_50pct_max_width_tau,0.2354502279588567
w85__r01_f02,1,2,width_dynamics_only,robust_max_positive_dWdt_um_per_ms,-0.570704229066236
w85__r01_f02,1,2,width_dynamics_only,robust_median_positive_dWdt_um_per_ms,-0.6420111086772358
w85__r01_f02,1,2,width_dynamics_only,robust_early_dWdt_20_um_per_ms,0.4498819621210085
w85__r01_f02,1,2,width_dynamics_only,robust_early_dWdt_40_um_per_ms,-0.11922232966490348
w85__r01_f02,1,2,width_dynamics_only,robust_time_of_max_dWdt_tau,0.011927413652350116
w85__r01_f02,1,2,4d_plus_width_dynamics,P,2.854609529977832
w85__r01_f02,1,2,4d_plus_width_dynamics,VX,-1.6567905927541837
w85__r01_f02,1,2,4d_plus_width_dynamics,LS,-2.5597253932056927
w85__r01_f02,1,2,4d_plus_width_dynamics,ST,-0.142178526470937
w85__r01_f02,1,2,4d_plus_width_dynamics,width_gain_20_um,0.11056624072039312
w85__r01_f02,1,2,4d_plus_width_dynamics,width_gain_40_um,0.5631887448447798
w85__r01_f02,1,2,4d_plus_width_dynamics,time_to_50pct_max_width_tau,-0.5034331103307257
w85__r01_f02,1,2,4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,-0.18380922133099775
w85__r01_f02,1,2,4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,0.2626020142175837
w85__r01_f02,1,2,4d_plus_width_dynamics,robust_early_dWdt_20_um_per_ms,-0.4362095088623074
w85__r01_f02,1,2,4d_plus_width_dynamics,robust_early_dWdt_40_um_per_ms,-0.3227890391843699
w85__r01_f02,1,2,4d_plus_width_dynamics,robust_time_of_max_dWdt_tau,-0.07579215499314354
w85__r01_f03,1,3,4d_only,P,2.6378172623481357
w85__r01_f03,1,3,4d_only,VX,-1.3513984246431074
w85__r01_f03,1,3,4d_only,LS,-1.9060468991519315
w85__r01_f03,1,3,4d_only,ST,-0.05757633732188939
w85__r01_f03,1,3,width_dynamics_only,width_gain_20_um,-0.6836677826595225
w85__r01_f03,1,3,width_dynamics_only,width_gain_40_um,0.7114240821849969
w85__r01_f03,1,3,width_dynamics_only,time_to_50pct_max_width_tau,0.3625138881104713
w85__r01_f03,1,3,width_dynamics_only,robust_max_positive_dWdt_um_per_ms,-0.827273960942877
w85__r01_f03,1,3,width_dynamics_only,robust_median_positive_dWdt_um_per_ms,-0.5174971080325905
w85__r01_f03,1,3,width_dynamics_only,robust_early_dWdt_20_um_per_ms,0.6025121645254062
w85__r01_f03,1,3,width_dynamics_only,robust_early_dWdt_40_um_per_ms,-0.76233016808447
w85__r01_f03,1,3,width_dynamics_only,robust_time_of_max_dWdt_tau,-0.6221339081050691
w85__r01_f03,1,3,4d_plus_width_dynamics,P,2.4801103240491176
w85__r01_f03,1,3,4d_plus_width_dynamics,VX,-1.399226920972106
w85__r01_f03,1,3,4d_plus_width_dynamics,LS,-2.3749225517676713
w85__r01_f03,1,3,4d_plus_width_dynamics,ST,-0.0048624875562473914
w85__r01_f03,1,3,4d_plus_width_dynamics,width_gain_20_um,0.056301750833299004
w85__r01_f03,1,3,4d_plus_width_dynamics,width_gain_40_um,0.8198568886575397
w85__r01_f03,1,3,4d_plus_width_dynamics,time_to_50pct_max_width_tau,-0.33525932288260524
w85__r01_f03,1,3,4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,-0.21517357277923854
w85__r01_f03,1,3,4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,0.2963544530815094
w85__r01_f03,1,3,4d_plus_width_dynamics,robust_early_dWdt_20_um_per_ms,-0.22457418791983969
w85__r01_f03,1,3,4d_plus_width_dynamics,robust_early_dWdt_40_um_per_ms,-0.6501914484962861
w85__r01_f03,1,3,4d_plus_width_dynamics,robust_time_of_max_dWdt_tau,-0.5204863678883388
w85__r01_f04,1,4,4d_only,P,2.4860079297890354
w85__r01_f04,1,4,4d_only,VX,-1.5351213604186653
w85__r01_f04,1,4,4d_only,LS,-2.181728701820065
w85__r01_f04,1,4,4d_only,ST,-0.1418667715535687
w85__r01_f04,1,4,width_dynamics_only,width_gain_20_um,-0.6669917568860052
w85__r01_f04,1,4,width_dynamics_only,width_gain_40_um,0.7587152044471075
w85__r01_f04,1,4,width_dynamics_only,time_to_50pct_max_width_tau,0.2494713398877832
w85__r01_f04,1,4,width_dynamics_only,robust_max_positive_dWdt_um_per_ms,-0.53154440698406
w85__r01_f04,1,4,width_dynamics_only,robust_median_positive_dWdt_um_per_ms,-0.37371289519975215
w85__r01_f04,1,4,width_dynamics_only,robust_early_dWdt_20_um_per_ms,0.2547749769926072
w85__r01_f04,1,4,width_dynamics_only,robust_early_dWdt_40_um_per_ms,-0.3889496699138162
w85__r01_f04,1,4,width_dynamics_only,robust_time_of_max_dWdt_tau,-0.18431022839142228
w85__r01_f04,1,4,4d_plus_width_dynamics,P,2.4102830193068256
w85__r01_f04,1,4,4d_plus_width_dynamics,VX,-1.526089295313182
w85__r01_f04,1,4,4d_plus_width_dynamics,LS,-2.6698620387991903
w85__r01_f04,1,4,4d_plus_width_dynamics,ST,-0.0002481513311178848
w85__r01_f04,1,4,4d_plus_width_dynamics,width_gain_20_um,0.06929121539545326
w85__r01_f04,1,4,4d_plus_width_dynamics,width_gain_40_um,0.9157430517441036
w85__r01_f04,1,4,4d_plus_width_dynamics,time_to_50pct_max_width_tau,-0.4980283632586266
w85__r01_f04,1,4,4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,-0.1675863364306422
w85__r01_f04,1,4,4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,0.3577319960113735
w85__r01_f04,1,4,4d_plus_width_dynamics,robust_early_dWdt_20_um_per_ms,-0.4308669639939493
w85__r01_f04,1,4,4d_plus_width_dynamics,robust_early_dWdt_40_um_per_ms,-0.508644568522277
w85__r01_f04,1,4,4d_plus_width_dynamics,robust_time_of_max_dWdt_tau,-0.1754232242961877
w85__r01_f05,1,5,4d_only,P,2.823310205085413
w85__r01_f05,1,5,4d_only,VX,-1.51046659746169
w85__r01_f05,1,5,4d_only,LS,-2.01665023352077
w85__r01_f05,1,5,4d_only,ST,-0.21996395933515137
w85__r01_f05,1,5,width_dynamics_only,width_gain_20_um,-0.6913409467713321
w85__r01_f05,1,5,width_dynamics_only,width_gain_40_um,0.6650606021020782
w85__r01_f05,1,5,width_dynamics_only,time_to_50pct_max_width_tau,0.09814752310581712
w85__r01_f05,1,5,width_dynamics_only,robust_max_positive_dWdt_um_per_ms,-0.5074725364473256
w85__r01_f05,1,5,width_dynamics_only,robust_median_positive_dWdt_um_per_ms,-0.5264273649807677
w85__r01_f05,1,5,width_dynamics_only,robust_early_dWdt_20_um_per_ms,0.523658321191232
w85__r01_f05,1,5,width_dynamics_only,robust_early_dWdt_40_um_per_ms,-0.16516726272086926
w85__r01_f05,1,5,width_dynamics_only,robust_time_of_max_dWdt_tau,-0.07213565432278567
w85__r01_f05,1,5,4d_plus_width_dynamics,P,2.6732701328043156
w85__r01_f05,1,5,4d_plus_width_dynamics,VX,-1.5018314504040564
w85__r01_f05,1,5,4d_plus_width_dynamics,LS,-2.4136600014610337
w85__r01_f05,1,5,4d_plus_width_dynamics,ST,-0.045599923792510696
w85__r01_f05,1,5,4d_plus_width_dynamics,width_gain_20_um,0.026293690202357802
w85__r01_f05,1,5,4d_plus_width_dynamics,width_gain_40_um,0.8493093709203919
w85__r01_f05,1,5,4d_plus_width_dynamics,time_to_50pct_max_width_tau,-0.5506072662467072
w85__r01_f05,1,5,4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,0.11063808569405459
w85__r01_f05,1,5,4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,0.16858946331185196
