subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
full,4d_plus_width_shape_only - 4d_only,secondary,accuracy,False,0.0007142857142857062,-0.001428571428571429,0.002714285714285697,0.5919204039798011,20,0.5919204039798011,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_shape_only - 4d_only,secondary,balanced_accuracy,False,0.004196428571428551,-1.1241008124329663e-17,0.00857142857142854,0.08714564271786411,20,0.17429128543572822,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_shape_only - 4d_only,secondary,keyhole_recall,False,0.009999999999999986,0.0014285714285714236,0.018571428571428544,0.052247387630618466,20,0.15674216289185539,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_shape_only - 4d_only,secondary,brier_score,True,-0.0018773768481406036,-0.0022103094081565356,-0.0015553490550061877,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
full,4d_plus_width_shape_only - 4d_only,secondary,pr_auc,False,0.0060174806305056,0.005095491761507108,0.007011089304659004,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
full,4d_plus_width_shape_only - 4d_only,secondary,roc_auc,False,0.0019285714285714017,0.0016403061224489531,0.002219451530612228,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q20,4d_plus_width_shape_only - 4d_only,secondary,accuracy,False,0.013749953223637434,0.004632697198486671,0.02271131828697617,0.008349582520873956,20,0.008349582520873956,IMPROVES,IMPROVES,hard_decision
q20,4d_plus_width_shape_only - 4d_only,secondary,balanced_accuracy,False,0.020296766387862052,0.009425000938233513,0.03126362087173578,0.0018999050047497626,20,0.003799810009499525,IMPROVES,IMPROVES,hard_decision
q20,4d_plus_width_shape_only - 4d_only,secondary,keyhole_recall,False,0.05045265241803062,0.03189859557908259,0.07057302260448112,0.000199990000499975,20,0.000599970001499925,IMPROVES,IMPROVES,hard_decision
q20,4d_plus_width_shape_only - 4d_only,secondary,brier_score,True,-0.008653749623030685,-0.009721025597184199,-0.007469305281233116,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q20,4d_plus_width_shape_only - 4d_only,secondary,pr_auc,False,0.01472865788918865,0.011400960017484413,0.018191994818844374,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q20,4d_plus_width_shape_only - 4d_only,secondary,roc_auc,False,0.01435520611261128,0.011528794221354749,0.017078929963481912,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,4d_plus_width_shape_only - 4d_only,secondary,accuracy,False,0.008514820057961659,0.0026872564546790495,0.014342831697920208,0.011899405029748513,20,0.011899405029748513,IMPROVES,IMPROVES,hard_decision
q30,4d_plus_width_shape_only - 4d_only,secondary,balanced_accuracy,False,0.015550060764552481,0.007979770176629418,0.02265926282613376,0.0010499475026248687,20,0.0020998950052497373,IMPROVES,IMPROVES,hard_decision
q30,4d_plus_width_shape_only - 4d_only,secondary,keyhole_recall,False,0.037175383885910206,0.0239817942942943,0.05138904086272507,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,hard_decision
q30,4d_plus_width_shape_only - 4d_only,secondary,brier_score,True,-0.007890384617993618,-0.008706396670631599,-0.0070222662034782075,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,4d_plus_width_shape_only - 4d_only,secondary,pr_auc,False,0.01688230549233269,0.014039996079220346,0.019707755756763354,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,4d_plus_width_shape_only - 4d_only,secondary,roc_auc,False,0.013405962615046979,0.01154374025701979,0.015203353001870486,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
