model,subset,role,feature_count,metric,mean,sd_across_repeats,repeat_blocks
4d_only,full,primary,4,roc_auc,0.99027806122449,0.0008695515987575908,20
4d_only,full,primary,4,pr_auc,0.9603146654134717,0.003348753988835931,20
4d_only,full,primary,4,accuracy,0.9608571428571429,0.003088386478711889,20
4d_only,full,primary,4,balanced_accuracy,0.9203571428571429,0.008015325010011214,20
4d_only,full,primary,4,keyhole_recall,0.8528571428571429,0.016775512817497115,20
4d_only,full,primary,4,conduction_recall,0.987857142857143,0.0021365822914861466,20
4d_only,full,primary,4,false_negative,10.3,1.1742858972247996,20
4d_only,full,primary,4,false_positive,3.4,0.5982430416161189,20
4d_only,full,primary,4,brier_score,0.0312345764871527,0.0012102550913342053,20
4d_only,q20,primary,4,roc_auc,0.9073105208829665,0.009721245793750517,20
4d_only,q20,primary,4,pr_auc,0.8135149827805753,0.012392892084700666,20
4d_only,q20,primary,4,accuracy,0.8365789319736688,0.013275153636516997,20
4d_only,q20,primary,4,balanced_accuracy,0.8109043720407296,0.017414239145271466,20
4d_only,q20,primary,4,keyhole_recall,0.6919713868584141,0.03838458859786775,20
4d_only,q20,primary,4,conduction_recall,0.9298373572230452,0.012423988958432258,20
4d_only,q20,primary,4,false_negative,9.25,1.0699237552766379,20
4d_only,q20,primary,4,false_positive,3.25,0.5501196042201808,20
4d_only,q20,primary,4,brier_score,0.12048409844736133,0.006192918804358488,20
4d_only,q30,primary,4,roc_auc,0.9391521057342074,0.004880450766854351,20
4d_only,q30,primary,4,pr_auc,0.8462763012853767,0.01560209888204214,20
4d_only,q30,primary,4,accuracy,0.8807188231437746,0.008683272521489527,20
4d_only,q30,primary,4,balanced_accuracy,0.8448284931123791,0.012934037298114457,20
4d_only,q30,primary,4,keyhole_recall,0.7355463763358501,0.027363705478391318,20
4d_only,q30,primary,4,conduction_recall,0.9541106098889085,0.007801277631176375,20
4d_only,q30,primary,4,false_negative,9.9,1.020835571068081,20
4d_only,q30,primary,4,false_positive,3.4,0.5982430416161189,20
4d_only,q30,primary,4,brier_score,0.09246523104230628,0.003333975315834683,20
4d_plus_static_width,full,secondary,7,roc_auc,0.9891785714285714,0.0012259322867607043,20
4d_plus_static_width,full,secondary,7,pr_auc,0.9564557377092289,0.004136050557998227,20
