model,subset,metric,phase2_published_mean,phase2_1_reproduced_mean,abs_difference,status
h_only,full,roc_auc,0.9894005102040816,0.9894005102040817,1.1102230246251565e-16,PASS
h_only,full,pr_auc,0.9534599676197876,0.9534599676197875,1.1102230246251565e-16,PASS
h_only,full,accuracy,0.9618571428571429,0.9618571428571429,0.0,PASS
h_only,full,balanced_accuracy,0.9292857142857144,0.9292857142857143,1.1102230246251565e-16,PASS
h_only,full,keyhole_recall,0.875,0.875,0.0,PASS
h_only,full,conduction_recall,0.9835714285714284,0.9835714285714285,1.1102230246251565e-16,PASS
h_only,full,false_negative,8.75,8.75,0.0,PASS
h_only,full,false_positive,4.6,4.6,0.0,PASS
h_only,full,brier_score,0.0304831500883176,0.030483150088317618,1.734723475976807e-17,PASS
h_only,q20,roc_auc,0.9059722124656768,0.9059722124656769,1.1102230246251565e-16,PASS
h_only,q20,pr_auc,0.8068738440677692,0.8068738440677692,0.0,PASS
h_only,q20,accuracy,0.8404932549669393,0.8404932549669393,0.0,PASS
h_only,q20,balanced_accuracy,0.8210206257647782,0.8210206257647782,0.0,PASS
h_only,q20,keyhole_recall,0.7305362108692196,0.7305362108692196,0.0,PASS
h_only,q20,conduction_recall,0.9115050406603368,0.9115050406603368,0.0,PASS
h_only,q20,false_negative,8.1,8.1,0.0,PASS
h_only,q20,false_positive,4.1,4.1,0.0,PASS
h_only,q20,brier_score,0.1215507844358782,0.12155078443587823,2.7755575615628914e-17,PASS
h_only,q30,roc_auc,0.9376700604159148,0.9376700604159149,1.1102230246251565e-16,PASS
h_only,q30,pr_auc,0.8379134467313708,0.8379134467313708,0.0,PASS
h_only,q30,accuracy,0.8811649591436674,0.8811649591436674,0.0,PASS
h_only,q30,balanced_accuracy,0.8530396947332781,0.8530396947332781,0.0,PASS
h_only,q30,keyhole_recall,0.7674867174867175,0.7674867174867175,0.0,PASS
h_only,q30,conduction_recall,0.9385926719798384,0.9385926719798385,1.1102230246251565e-16,PASS
h_only,q30,false_negative,8.7,8.7,0.0,PASS
h_only,q30,false_positive,4.55,4.55,0.0,PASS
h_only,q30,brier_score,0.0920741960553355,0.09207419605533555,5.551115123125783e-17,PASS
h_plus_width_dynamics,full,roc_auc,0.989969387755102,0.9899693877551021,1.1102230246251565e-16,PASS
h_plus_width_dynamics,full,pr_auc,0.9625650324177186,0.9625650324177186,0.0,PASS
h_plus_width_dynamics,full,accuracy,0.9578571428571429,0.9578571428571427,1.1102230246251565e-16,PASS
