subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
full,4d_plus_width_dynamics - 4d_only,primary,roc_auc,False,-0.0009387755102040929,-0.0031251913265306283,0.0009337372448979171,0.3868806559672016,20,1.0
full,4d_plus_width_dynamics - 4d_only,primary,pr_auc,False,0.002138131968689122,-0.0007837597218415277,0.00493239939592263,0.17259137043147843,20,0.8629568521573922
full,4d_plus_width_dynamics - 4d_only,primary,accuracy,False,-0.0007142857142857173,-0.0022857142857142855,0.0008571428571428508,0.5015749212539373,20,1.0
full,4d_plus_width_dynamics - 4d_only,primary,balanced_accuracy,False,-0.0015178571428571374,-0.004910714285714268,0.002053571428571421,0.44542772861356933,20,1.0
full,4d_plus_width_dynamics - 4d_only,primary,keyhole_recall,False,-0.002857142857142858,-0.009303571428571439,0.0035714285714285752,0.5436728163591821,20,1.0
full,4d_plus_width_dynamics - 4d_only,primary,conduction_recall,False,-0.0001785714285714224,-0.0010714285714285676,0.0007142857142857229,1.0,20,
full,4d_plus_width_dynamics - 4d_only,primary,false_negative,True,0.2,-0.25,0.65,0.5533223338833059,20,
full,4d_plus_width_dynamics - 4d_only,primary,false_positive,True,0.05,-0.2,0.3,1.0,20,
full,4d_plus_width_dynamics - 4d_only,primary,brier_score,True,-0.0008794886272059799,-0.001619773118617902,-0.0001178577459677804,0.04209789510524474,20,0.2525873706314684
full,h_plus_width_dynamics - h_only,secondary,roc_auc,False,0.0005688775510204191,-0.0009286989795918316,0.0018240433673469578,0.43227838608069596,20,0.43227838608069596
full,h_plus_width_dynamics - h_only,secondary,pr_auc,False,0.009105064797931401,0.0053304513894640885,0.012967703356017362,0.0002999850007499625,20,0.00119994000299985
full,h_plus_width_dynamics - h_only,secondary,accuracy,False,-0.003999999999999992,-0.006142857142857144,-0.0017142857142857179,0.004099795010249488,20,0.012299385030748462
full,h_plus_width_dynamics - h_only,secondary,balanced_accuracy,False,-0.018303571428571384,-0.022767857142857117,-0.014017857142857092,4.999750012499375e-05,20,0.0002999850007499625
full,h_plus_width_dynamics - h_only,secondary,keyhole_recall,False,-0.04214285714285712,-0.0507142857142857,-0.03357142857142856,4.999750012499375e-05,20,0.0002999850007499625
full,h_plus_width_dynamics - h_only,secondary,conduction_recall,False,0.005535714285714322,0.004107142857142876,0.007142857142857184,4.999750012499375e-05,20,
full,h_plus_width_dynamics - h_only,secondary,false_negative,True,2.95,2.35,3.55,4.999750012499375e-05,20,
full,h_plus_width_dynamics - h_only,secondary,false_positive,True,-1.55,-2.0,-1.15,4.999750012499375e-05,20,
full,h_plus_width_dynamics - h_only,secondary,brier_score,True,0.0006646804726097159,-3.097372846338248e-05,0.0014328351084807736,0.09459527023648817,20,0.18919054047297634
full,4d_plus_width_shape_only - 4d_only,secondary,roc_auc,False,0.0019285714285714017,0.0016403061224489531,0.002219451530612228,4.999750012499375e-05,20,0.0002999850007499625
full,4d_plus_width_shape_only - 4d_only,secondary,pr_auc,False,0.0060174806305056,0.005095491761507108,0.007011089304659004,4.999750012499375e-05,20,0.0002999850007499625
full,4d_plus_width_shape_only - 4d_only,secondary,accuracy,False,0.0007142857142857062,-0.001428571428571429,0.002714285714285697,0.5919204039798011,20,0.5919204039798011
full,4d_plus_width_shape_only - 4d_only,secondary,balanced_accuracy,False,0.004196428571428551,-1.1241008124329663e-17,0.00857142857142854,0.08714564271786411,20,0.17429128543572822
full,4d_plus_width_shape_only - 4d_only,secondary,keyhole_recall,False,0.009999999999999986,0.0014285714285714236,0.018571428571428544,0.052247387630618466,20,0.15674216289185539
full,4d_plus_width_shape_only - 4d_only,secondary,conduction_recall,False,-0.0016071428571428625,-0.002678571428571458,-0.0005357142857142838,0.03164841757912104,20,
full,4d_plus_width_shape_only - 4d_only,secondary,false_negative,True,-0.7,-1.3,-0.1,0.05179741012949352,20,
full,4d_plus_width_shape_only - 4d_only,secondary,false_positive,True,0.45,0.15,0.8,0.029648517574121295,20,
full,4d_plus_width_shape_only - 4d_only,secondary,brier_score,True,-0.0018773768481406036,-0.0022103094081565356,-0.0015553490550061877,4.999750012499375e-05,20,0.0002999850007499625
full,4d_plus_static_width - 4d_only,secondary,roc_auc,False,-0.0010994897959183902,-0.0013979591836735085,-0.0008137755102041066,4.999750012499375e-05,20,0.0002999850007499625
full,4d_plus_static_width - 4d_only,secondary,pr_auc,False,-0.003858927704242837,-0.0048221140577807565,-0.0029311386578917344,4.999750012499375e-05,20,0.0002999850007499625
full,4d_plus_static_width - 4d_only,secondary,accuracy,False,-0.004285714285714287,-0.005857142857142855,-0.0027142857142857134,0.000199990000499975,20,0.000599970001499925
full,4d_plus_static_width - 4d_only,secondary,balanced_accuracy,False,-0.007767857142857143,-0.010892857142857138,-0.0046428571428571595,0.00024998750062496874,20,0.000599970001499925
full,4d_plus_static_width - 4d_only,secondary,keyhole_recall,False,-0.01357142857142855,-0.019999999999999983,-0.007142857142857134,0.0008499575021248938,20,0.0008499575021248938
full,4d_plus_static_width - 4d_only,secondary,conduction_recall,False,-0.001964285714285724,-0.003571428571428603,-0.0007142857142857118,0.015649217539123045,20,
full,4d_plus_static_width - 4d_only,secondary,false_negative,True,0.95,0.5,1.4,0.0015499225038748063,20,
full,4d_plus_static_width - 4d_only,secondary,false_positive,True,0.55,0.2,1.05,0.015299235038248088,20,
full,4d_plus_static_width - 4d_only,secondary,brier_score,True,0.0017522218482951169,0.0014226984617753096,0.002108365217802194,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,roc_auc,False,-0.35709948979591843,-0.36168973214285716,-0.3525403061224489,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,pr_auc,False,-0.652970098352949,-0.6608282182571472,-0.6449723212638617,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,accuracy,False,-0.1625714285714286,-0.16457142857142854,-0.16057142857142853,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,balanced_accuracy,False,-0.41821428571428576,-0.42250000000000004,-0.4136607142857144,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,keyhole_recall,False,-0.8442857142857143,-0.8535714285714286,-0.8350000000000002,4.999750012499375e-05,20,0.0002999850007499625
full,width_dynamics_only - 4d_only,descriptive,conduction_recall,False,0.007857142857142835,0.006428571428571406,0.009285714285714276,4.999750012499375e-05,20,
full,width_dynamics_only - 4d_only,descriptive,false_negative,True,59.1,58.45,59.7,4.999750012499375e-05,20,
full,width_dynamics_only - 4d_only,descriptive,false_positive,True,-2.2,-2.65,-1.75,4.999750012499375e-05,20,
full,width_dynamics_only - 4d_only,descriptive,brier_score,True,0.12397692465562755,0.1232893391358879,0.12476646759758145,4.999750012499375e-05,20,0.0002999850007499625
full,4d_only - h_only,descriptive,roc_auc,False,0.0008775510204081738,0.00041071428571430314,0.0013801658163265474,0.001399930003499825,20,0.004199790010499475
full,4d_only - h_only,descriptive,pr_auc,False,0.006854697793684217,0.0039676102274626,0.009962892250852652,4.999750012499375e-05,20,0.0002999850007499625
full,4d_only - h_only,descriptive,accuracy,False,-0.0009999999999999953,-0.0028571428571428524,0.0007142857142857118,0.3872806359682016,20,0.3872806359682016
full,4d_only - h_only,descriptive,balanced_accuracy,False,-0.008928571428571386,-0.012946428571428515,-0.005178571428571405,0.00039998000099995,20,0.0015999200039998
full,4d_only - h_only,descriptive,keyhole_recall,False,-0.022142857142857138,-0.029999999999999954,-0.014285714285714285,0.00014999250037498125,20,0.0007499625018749063
full,4d_only - h_only,descriptive,conduction_recall,False,0.004285714285714321,0.0028571428571428858,0.00571428571428576,9.99950002499875e-05,20,
full,4d_only - h_only,descriptive,false_negative,True,1.55,1.0,2.1,0.00024998750062496874,20,
full,4d_only - h_only,descriptive,false_positive,True,-1.2,-1.6,-0.85,4.999750012499375e-05,20,
full,4d_only - h_only,descriptive,brier_score,True,0.0007514263988350842,0.00025443508028891035,0.0012263423089477496,0.008549572521373932,20,0.017099145042747864
q20,4d_plus_width_dynamics - 4d_only,primary,roc_auc,False,-0.0008386762838523354,-0.011196461560309973,0.008494611345235041,0.8707064646767662,20,1.0
q20,4d_plus_width_dynamics - 4d_only,primary,pr_auc,False,0.004184767637161591,-0.002646760562186524,0.010617012327903729,0.2472876356182191,20,1.0
q20,4d_plus_width_dynamics - 4d_only,primary,accuracy,False,0.0019671828882355303,-0.00396401296072346,0.008522540759382857,0.5659217039148042,20,1.0
q20,4d_plus_width_dynamics - 4d_only,primary,balanced_accuracy,False,0.003467038576350873,-0.003715177076956706,0.011217148672568239,0.4004299785010749,20,1.0
