name,final_observed_timestep,final_stored_frame_index_0based,final_observed_label,final_valid_non_bug_timestep,final_valid_label,screenshot_bug_any,keyhole_any,P,VX,LS,ST,right_censored_no_conduction
P-208p39901443_VX-0p201684842681_LS-6p50424237325e-05_ST-372p154003234_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-3p19456481434e-05_H-bf889bf790,68795,40,Forming Phase,68795,Forming Phase,True,False,208.39901443,0.201684842681,6.50424237325e-05,372.154003234,True
P-211p816522505_VX-0p520710876808_LS-4p80782604054e-05_ST-318p660442183_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p26448979247e-06_H-5a4acb0e81,115599,227,Keyhole,115599,Keyhole,True,True,211.816522505,0.520710876808,4.80782604054e-05,318.660442183,True
P-98p5137427197_VX-0p87794698955_LS-7p93698578539e-05_ST-325p506902574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-7p33865836642e-06_H-bf889bf790,68795,170,Forming Phase,68795,Forming Phase,True,False,98.5137427197,0.87794698955,7.93698578539e-05,325.506902574,True
