feature,n_states,rho_median,rho_mean,rho_block_mean,rho_block_sd,rho_frac_states_pos,auroc_top5,ap_top5,prec@k_top5,enrich_top5,auroc_top10,ap_top10,prec@k_top10,enrich_top10,auroc_top20,ap_top20,prec@k_top20,enrich_top20,rho_B16,rho_B24,rho_B32,rho_B40
abs_m3_minus_T,74,0.11158032677821116,0.04735225555932197,0.03738959242987901,0.13144939599113822,0.6081081081081081,0.6553051607150979,0.25545353148811367,0.18672217038542505,2.1989093662342496,0.6548016029701609,0.25601494336786196,0.18672217038542505,2.1989093662342496,0.6579136615723753,0.265193657903527,0.19756561334093695,2.2129502429166603,-0.025661665268436145,0.08056641454489968,0.07467503940552425,0.06236763005427542
revealed_density_r10,74,0.04593940068395948,0.027439757218152616,0.030092571121846778,0.0536002695742187,0.581081081081081,0.5541614171268903,0.15978871727235391,0.1623055974738495,1.4228573247994254,0.5563850077125497,0.16117750821074084,0.1604583068334554,1.3789762551301783,0.557136929725472,0.1665605960282796,0.1642985757599312,1.3719738614780657,0.04464500777226545,0.027457124434247863,0.05454827511571686,-0.01935325447471289
abs_m3_minus_lr4,74,0.027790284324136667,0.04952683612228331,0.04366835962764948,0.11810331439119494,0.6081081081081081,0.591386261587913,0.22769435430400553,0.18935567700145048,1.6778242521890032,0.5905814565589699,0.22946089942669237,0.19231134202608102,1.6795413528223602,0.5942076911233403,0.24219692948501603,0.20043492342552446,1.671854637675002,0.026395325572184398,0.12097379886274856,0.039603180382964974,0.012971437798425177
abs_m3_minus_h,74,0.026946460368166794,-0.010719761686839371,-0.01709010138467327,0.14385265852389081,0.527027027027027,0.6025855988997733,0.24074764913507116,0.17077286208475279,5.277009039881714,0.6023185710680903,0.24164344363431395,0.17077286208475279,5.277009039881714,0.6066961453589093,0.24947892931740226,0.18122947922240443,5.300654142742457,-0.027565885964397976,-0.03419158307915027,0.02632421011862687,-0.008567890462875434
T_tv,74,0.02270008947538627,0.024067129438673875,0.016433487318050777,0.11872701720253492,0.5405405405405406,0.6530646121976302,0.22165820655079935,0.16531944706350768,1.4152973200135888,0.6534230819526516,0.2226540143335386,0.17024555543789194,1.4575351806750947,0.6534838812972251,0.2266133031000152,0.17546973738621183,1.46199464324595,-0.03770317005500177,0.10091677487246994,0.003922710662405651,0.03368301995648518
nn_revealed_kh,74,0.019905515577198808,0.004924353619463461,0.003073530808467572,0.10273303918138921,0.527027027027027,0.4579092529084084,0.15556037711958576,0.09340287167049437,0.4522958104080162,0.45821586998226677,0.15721118766146058,0.09685114753256335,0.4936751207528438,0.4575007302978323,0.16240565949276634,0.1027841513103947,0.4905213670282708,-0.002836764213014285,0.027243436998472703,-0.04767920677457818,0.04632354170178023
m3_pi_margin,62,0.018218960754929507,0.011169411657124447,0.007864358575931648,0.16145970692648762,0.5645161290322581,0.6832830309807535,0.27100503142642435,0.20882828464024697,5.440967481710225,0.683251433342773,0.27205723465860665,0.21186779831805855,5.467454672331154,0.6837397092768764,0.2784790348918094,0.21866020803600017,5.463006612957801,0.00725137891845247,0.0020690787997849533,0.04118405443817983,-0.008733906529411773
logVX,74,0.015382934960820473,-0.008902174769196166,-0.013051658638030525,0.08177407951091756,0.5405405405405406,0.45162850618047956,0.14783451711026344,0.11683996587257148,0.7684105635454176,0.4498320523150602,0.14825596917022518,0.11683996587257148,0.7684105635454176,0.4481768286257006,0.15176658188809702,0.11824684443462244,0.7522133993583123,-0.002564235979030463,-0.03506779672307704,0.027049480431092513,-0.02737556869412824
local_phys_conflict,74,0.01331252313006512,0.020251519166594657,0.017271136116713985,0.12022367911456755,0.5540540540540541,0.5894983340226653,0.18745457080609135,0.15414750856005474,0.9472934310634785,0.5887420644301888,0.1883371652231685,0.1536548977226163,0.906941566179594,0.5900947529433004,0.19539316328671408,0.15578303778179087,0.8854332411017242,-0.017401095106014956,0.054914274882815896,0.06875806267659605,-0.02586816185576236
T_xsur2,74,0.013254770331896266,0.008996395769921254,0.003515327731400756,0.1197905256673555,0.5135135135135135,0.622946196656816,0.2298688988026921,0.17038427296649214,2.2846366012534487,0.6229113241219436,0.23010342238169348,0.17038427296649214,2.2846366012534487,0.6226874047182468,0.23457758383318128,0.17516230145141717,2.2884878142470817,-0.03965142564513762,0.07000743413814624,-0.005802266205690351,0.014956645425181806
