budget,method,method_label,run_count,mean_keyhole_discovered,median_keyhole_discovered,sd_keyhole_discovered,ci95_keyhole_discovered_lower,ci95_keyhole_discovered_upper,mean_queried_keyhole_fraction,mean_candidate_keyhole_prevalence,mean_keyhole_enrichment,median_keyhole_enrichment,sd_keyhole_enrichment,discovery_is_not_boundary_localization
16,binary_uncertainty_repulsion,Binary,20,5.15,5,1.26802789277,4.55654467844,5.74345532156,0.321875,0.18024691358,1.78533752192,1.74568965517,0.439184043595,True
16,max_depth_straddle,Max-Depth,20,4.25,4.5,1.4464111667,3.57305873638,4.92694126362,0.265625,0.18024691358,1.4731845412,1.54449152542,0.50108625521,True
16,shared_random_binary_head,Random,20,3.1,3,1.33377185771,2.47577555571,3.72422444429,0.19375,0.18024691358,1.07581823495,1.0474137931,0.464876916261,True
20,binary_uncertainty_repulsion,Binary,20,7.4,7.5,1.35335839576,6.76660877374,8.03339122626,0.37,0.18024691358,2.05316773816,2.09482758621,0.376805904857,True
20,max_depth_straddle,Max-Depth,20,5.7,6,1.30182058753,5.09072921046,6.30927078954,0.285,0.18024691358,1.58094389246,1.64745762712,0.360226921302,True
20,shared_random_binary_head,Random,20,3.55,4,1.66938375015,2.76870435509,4.33129564491,0.1775,0.18024691358,0.985397428404,1.09830508475,0.464615719018,True
30,binary_uncertainty_repulsion,Binary,20,12.2,12,1.19648608323,11.640027276,12.759972724,0.406666666667,0.18024691358,2.25641729982,2.23448275862,0.223136946955,True
30,max_depth_straddle,Max-Depth,20,8.3,8,1.08093526755,7.79410672238,8.80589327762,0.276666666667,0.18024691358,1.53510227937,1.48965517241,0.201067301712,True
30,shared_random_binary_head,Random,20,5.45,5,1.63755273117,4.68360173054,6.21639826946,0.181666666667,0.18024691358,1.0078842782,0.931034482759,0.303413452346,True
40,binary_uncertainty_repulsion,Binary,20,16.8,17,1.70448325245,16.0022772824,17.5977227176,0.42,0.18024691358,2.33070280538,2.37413793103,0.240869480529,True
40,max_depth_straddle,Max-Depth,20,10.55,11,1.50350467767,9.84633815073,11.2536618493,0.26375,0.18024691358,1.46353886616,1.51016949153,0.210398187556,True
40,shared_random_binary_head,Random,20,7.45,7.5,2.13923252347,6.44880836033,8.45119163967,0.18625,0.18024691358,1.03309322034,1.03794564582,0.296680793812,True
50,binary_uncertainty_repulsion,Binary,20,20.9,20.5,1.86095617754,20.0290456992,21.7709543008,0.418,0.18024691358,2.31903331385,2.29034482759,0.205192146202,True
50,max_depth_straddle,Max-Depth,20,12.75,13,1.74340863948,11.9340596404,13.5659403596,0.255,0.18024691358,1.41501461134,1.42779661017,0.195551535821,True
50,shared_random_binary_head,Random,20,9.4,9.5,2.45806941789,8.24958810045,10.5504118996,0.188,0.18024691358,1.04282174167,1.05191116306,0.272075741922,True
60,binary_uncertainty_repulsion,Binary,20,24.65,24.5,1.72520021721,23.8425814444,25.4574185556,0.410833333333,0.18024691358,2.27921975453,2.26130917592,0.15749092338,True
60,max_depth_straddle,Max-Depth,20,15.55,16,1.46808145479,14.8629167294,16.2370832706,0.259166666667,0.18024691358,1.43789596727,1.46440677966,0.13582170509,True
60,shared_random_binary_head,Random,20,10.85,10.5,2.60111312205,9.63264158615,12.0673584138,0.180833333333,0.18024691358,1.00291350088,0.968907071888,0.238957267161,True
70,binary_uncertainty_repulsion,Binary,20,27.1,26.5,2.12503869934,26.1054512745,28.0945487255,0.387142857143,0.18024691358,2.14798447023,2.09651832679,0.169379596578,True
70,max_depth_straddle,Max-Depth,20,17.2,17,1.47255595908,16.5108225969,17.8891774031,0.245714285714,0.18024691358,1.36314269016,1.35665024631,0.114808688856,True
70,shared_random_binary_head,Random,20,12.15,12,2.27746396355,11.084114055,13.215885945,0.173571428571,0.18024691358,0.962775319362,0.95763546798,0.179071886681,True
80,binary_uncertainty_repulsion,Binary,20,29,29,1.74717817607,28.182295443,29.817704557,0.3625,0.18024691358,2.01103448276,2.025,0.118074073442,True
80,max_depth_straddle,Max-Depth,20,18.3,18,1.78000591365,17.4669315889,19.1330684111,0.22875,0.18024691358,1.26932349503,1.25689655172,0.125290950506,True
80,shared_random_binary_head,Random,20,13.95,14,2.37254027751,12.8396169703,15.0603830297,0.174375,0.18024691358,0.967467124489,0.961016949153,0.164948527123,True
