effect,mean,ci_lower,ci_upper,bootstrap_draws,decision
TOTAL,0.020018382352941174,0.014204963235294119,0.026351332720588247,10000,MODEL_DOMINANT
MODEL,0.021401654411764708,0.014549632352941183,0.028858168658088244,10000,MODEL_DOMINANT
PATH,-0.001383272058823533,-0.005340245863970587,0.002605755974264707,10000,MODEL_DOMINANT
ME_A0,0.016452205882352956,0.010859375000000004,0.02209099264705882,10000,MODEL_DOMINANT
ME_A1,0.026351102941176464,0.016208180147058826,0.037518382352941165,10000,MODEL_DOMINANT
PE_M0,-0.0063327205882352895,-0.014048828125000011,0.0014387637867647148,10000,MODEL_DOMINANT
PE_M1,0.003566176470588224,-0.00022989430147060338,0.007279526654411761,10000,MODEL_DOMINANT
INT,0.009898897058823516,0.0008130744485293923,0.019224034926470585,10000,MODEL_DOMINANT
MODEL_minus_PATH,0.022784926470588242,0.01324448529411765,0.03297817095588237,10000,MODEL_DOMINANT
