budget,method,subset,boundary_definition,quantile,outer_run_count,pooled_prediction_count,pooled_mean_confidence,pooled_median_confidence,mean_run_confidence,ci95_mean_run_confidence_lower,ci95_mean_run_confidence_upper,fraction_confidence_ge_080,count_confidence_ge_080,accuracy_confidence_ge_080,fraction_confidence_ge_090,count_confidence_ge_090,accuracy_confidence_ge_090,pooled_accuracy,pooled_brier_score,probability_ece_10_equal_width_bins,confidence_ece_10_equal_width_bins,probabilities_authoritatively_saved,probabilities_posthoc_calibrated,repeated_cv_predictions_not_independent_physical_trials,physical_boundary_certainty_claim_allowed
20,binary_uncertainty_repulsion,B1_q20,B1,20,20,340,0.6980438013,0.699584841893,0.6980438013,0.677295377615,0.718792224985,0.244117647059,83,0.927710843373,0.0323529411765,11,1,0.776470588235,0.164179189549,0.0784267869351,0.0784267869351,True,False,True,False
20,binary_uncertainty_repulsion,B1_q30,B1,30,20,500,0.716225529353,0.721303579604,0.716225529353,0.696738714839,0.735712343866,0.294,147,0.959183673469,0.044,22,1,0.832,0.137766800958,0.116119877071,0.115774470647,True,False,True,False
20,binary_uncertainty_repulsion,B2_q20,B2,20,20,340,0.704966976403,0.699584841893,0.704966976403,0.683720411496,0.72621354131,0.279411764706,95,0.936842105263,0.0617647058824,21,1,0.764705882353,0.164196072105,0.075908064741,0.0597389059501,True,False,True,False
20,binary_uncertainty_repulsion,B2_q30,B2,30,20,500,0.743439140135,0.759889786973,0.743439140135,0.725188517237,0.761689763033,0.406,203,0.970443349754,0.102,51,1,0.838,0.12411148302,0.0945608598651,0.0945608598651,True,False,True,False
20,binary_uncertainty_repulsion,B3_q20,B3,20,20,340,0.693587617725,0.692701850538,0.693587617725,0.675704833417,0.711470402033,0.214705882353,73,0.917808219178,0.0294117647059,10,1,0.779411764706,0.164937416915,0.088460251531,0.0868237808048,True,False,True,False
20,binary_uncertainty_repulsion,B3_q30,B3,30,20,500,0.717623221779,0.724032544722,0.717623221779,0.69767439631,0.737572047247,0.29,145,0.958620689655,0.054,27,1,0.83,0.136826654893,0.112376778221,0.112376778221,True,False,True,False
20,binary_uncertainty_repulsion,all_test,all,all,20,1620,0.799796145208,0.830421660874,0.799796145208,0.786600561778,0.812991728638,0.6,972,0.993827160494,0.174691358025,283,1,0.945679012346,0.0657052513613,0.145882867137,0.145882867137,True,False,True,False
30,binary_uncertainty_repulsion,B1_q20,B1,20,20,340,0.751003481713,0.758833793325,0.751003481713,0.730475634521,0.771531328905,0.397058823529,135,0.940740740741,0.141176470588,48,0.979166666667,0.797058823529,0.139896469613,0.0744858736802,0.0761454171374,True,False,True,False
30,binary_uncertainty_repulsion,B1_q30,B1,30,20,500,0.771173019531,0.784106780247,0.771173019531,0.750938045252,0.79140799381,0.478,239,0.966527196653,0.176,88,0.988636363636,0.854,0.111806432888,0.0908301461096,0.0904205786418,True,False,True,False
30,binary_uncertainty_repulsion,B2_q20,B2,20,20,340,0.750047150327,0.746171325513,0.750047150327,0.729934854359,0.770159446294,0.385294117647,131,0.93893129771,0.170588235294,58,0.98275862069,0.788235294118,0.144616564526,0.0586989824662,0.0566381740197,True,False,True,False
