benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_alpha,acquisition_selected_normalized_straddle,acquisition_selected_normalized_diversity,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_shortlist_fraction_actual,acquisition_selected_shortlist_position,acquisition_selected_gated_score,acquisition_requested_shortlist_size,acquisition_current_aggregate_uncertainty,acquisition_reference_set,acquisition_fantasy_refit,acquisition_selected_pool_index_check,acquisition_selected_p_plus,acquisition_selected_u_plus,acquisition_selected_u_minus,acquisition_selected_expected_future_uncertainty,acquisition_selected_expected_uncertainty_reduction
ackley,random,0,1,12,13,1495,1.2313157422212662,False,False,False,1491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,2,13,14,812,6.623292014881391,False,False,False,808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,3,14,15,3766,0.35410761925636436,False,True,True,3752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,4,15,16,3155,0.6322544374598653,False,False,False,3142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,5,16,17,3449,3.0129380996290767,False,False,False,3435,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,6,17,18,3220,1.0988729815149814,False,False,False,3206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,7,18,19,3561,0.11238258447222371,True,True,True,3545,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,8,19,20,800,3.484462500424769,False,False,False,796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,9,20,21,2592,2.5077520218753975,False,False,False,2581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,10,21,22,2904,3.1269071435549876,False,False,False,2891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,11,22,23,1092,1.125018109376862,False,False,False,1086,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,12,23,24,3518,2.127117504903703,False,False,False,3498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,13,24,25,3333,0.45398989072500484,False,False,True,3314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,14,25,26,129,1.8836011829515016,False,False,False,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,15,26,27,1959,0.053559335185473955,True,True,True,1949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,16,27,28,3001,1.647850499745216,False,False,False,2984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,17,28,29,3141,2.5377363636862924,False,False,False,3121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,18,29,30,3917,0.49638939118525016,False,False,True,3888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,19,30,31,2019,1.7721109300421887,False,False,False,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,20,31,32,341,1.619056038246514,False,False,False,339,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,21,32,33,2801,0.8385335864138792,False,False,False,2784,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,22,33,34,951,0.6380033884198433,False,False,False,943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,23,34,35,1023,1.275513996865044,False,False,False,1014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,24,35,36,19,1.3858842002681158,False,False,False,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,25,36,37,1015,0.7192262565348795,False,False,False,1005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,26,37,38,3089,2.1932181215543114,False,False,False,3063,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,27,38,39,1312,0.21813945341850705,False,True,True,1299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,28,39,40,2975,1.9003212353045509,False,False,False,2950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,29,40,41,3947,0.13387468892516097,True,True,True,3907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,30,41,42,2900,2.4383044079551546,False,False,False,2876,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,31,42,43,692,0.44067111084295796,False,False,True,686,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,32,43,44,374,0.4779398460069135,False,False,True,370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,33,44,45,823,0.8608481988463534,False,False,False,812,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,34,45,46,993,0.9499087724001125,False,False,False,980,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,35,46,47,1599,1.5283129291560602,False,False,False,1580,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,36,47,48,2669,3.4690141904882683,False,False,False,2642,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,37,48,49,1385,0.7864010374451738,False,False,False,1367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,38,49,50,3457,0.436363834845082,False,False,True,3414,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,39,50,51,3578,1.6646491166085937,False,False,False,3532,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,40,51,52,2141,2.742134238635364,False,False,False,2117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,41,52,53,721,1.985237657510666,False,False,False,713,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,42,53,54,3248,0.20506001877656566,False,True,True,3205,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,43,54,55,511,0.10969167252092404,True,True,True,505,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,44,55,56,793,0.8306907062001248,False,False,False,782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,45,56,57,776,0.20605512692767292,False,True,True,765,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,46,57,58,2285,0.3021398540934719,False,True,True,2256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,47,58,59,1920,0.08711484004794912,True,True,True,1894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,48,59,60,930,0.4499229870384891,False,False,True,914,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,49,60,61,3539,3.6347100833248263,False,False,False,3485,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,50,61,62,3983,1.2138654623133505,False,False,False,3922,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,51,62,63,2683,0.5185129666291495,False,False,True,2646,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,52,63,64,578,2.017735118670304,False,False,False,571,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,53,64,65,3663,1.4098445979889611,False,False,False,3604,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,54,65,66,3774,0.15699872139355797,True,True,True,3712,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,55,66,67,2366,1.333268115741829,False,False,False,2332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,56,67,68,3741,1.0057860853087686,False,False,False,3679,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,57,68,69,606,0.4182233035998202,False,False,True,598,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,58,69,70,524,0.45578038053161585,False,False,True,517,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,59,70,71,3787,0.5447802820070731,False,False,True,3720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,60,71,72,1928,1.3537515609472521,False,False,False,1897,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,61,72,73,3547,1.5372279361567163,False,False,False,3486,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,62,73,74,1137,2.2474222395476193,False,False,False,1112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,63,74,75,304,1.063870405288112,False,False,False,302,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,64,75,76,2611,1.177088351690811,False,False,False,2568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,65,76,77,2491,1.4044757944789872,False,False,False,2450,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,66,77,78,172,0.1323467130564051,True,True,True,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,67,78,79,454,0.7519899707652957,False,False,False,446,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,68,79,80,2776,1.4392694000089055,False,False,False,2727,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,1,12,13,1319,3.5394376096866136,False,False,False,1315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,2,13,14,2696,0.4563017719380724,False,False,True,2684,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,3,14,15,1913,0.20020212806211646,True,True,True,1905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,4,15,16,73,2.858224419201731,False,False,False,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,5,16,17,203,1.4783103410637217,False,False,False,202,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,6,17,18,2813,1.6495709981659843,False,False,False,2796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,7,18,19,3413,3.9578840519441005,False,False,False,3395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,8,19,20,3420,1.6145707896287096,False,False,False,3401,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,9,20,21,3381,3.00875379790471,False,False,False,3363,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,10,21,22,1598,1.2951989190757853,False,False,False,1591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,11,22,23,282,0.5689640111457095,False,False,True,280,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,12,23,24,1119,0.15374564532293533,True,True,True,1113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,13,24,25,744,2.6881880150667516,False,False,False,740,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,14,25,26,3006,0.009162738832454664,True,True,True,2984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,15,26,27,3085,0.026057694506681273,True,True,True,3062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,16,27,28,1923,1.2363169074914886,False,False,False,1908,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,17,28,29,1131,0.16229709596665565,True,True,True,1123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,18,29,30,3881,1.6857273353665345,False,False,False,3852,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,19,30,31,3172,1.1586478748820177,False,False,False,3146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,20,31,32,1106,0.36786352624100616,False,True,True,1099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,21,32,33,3056,2.25063507322049,False,False,False,3030,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,22,33,34,2540,0.27427416256398907,False,True,True,2518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,23,34,35,598,0.11855112144844959,True,True,True,595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,24,35,36,352,0.34805052347034326,False,True,True,349,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,25,36,37,2834,0.09164819893941534,True,True,True,2806,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,26,37,38,37,0.4607364770132403,False,False,True,37,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,27,38,39,844,1.0369160086845426,False,False,False,836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,28,39,40,3451,1.1949519235770705,False,False,False,3413,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,29,40,41,2610,2.0983021009170315,False,False,False,2583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
