sensitivity_type,stratum,candidate_id,simulation_count,positive_count,median_value,roc_auc,pr_auc,spearman_with_last_active_position,spearman_p_value_descriptive
continuous_track_coverage,all,G0,241,9,54.75336,,,-0.2890583507481322,5.071251134600416e-06
reaches_90pct,False,G0,111,5,62.305429999999994,0.9943396226415094,0.9028571428571428,,
reaches_90pct,True,G0,130,4,50.118235000000006,0.988095238095238,0.85,,
VX_tertile,slow_VX,G0,80,5,66.3225875,0.9920000000000001,0.9028571428571428,,
VX_tertile,middle_VX,G0,81,4,53.35957,0.9675324675324675,0.8214285714285714,,
VX_tertile,fast_VX,G0,80,0,46.823255,,,,
continuous_track_coverage,all,G1,241,9,55.165389999999995,,,-0.26146021540005404,3.96406954742452e-05
reaches_90pct,False,G1,111,5,62.834109999999995,1.0,1.0,,
reaches_90pct,True,G1,130,4,51.062875000000005,1.0,1.0,,
VX_tertile,slow_VX,G1,80,5,66.887155,1.0,1.0,,
VX_tertile,middle_VX,G1,81,4,55.41603,1.0,1.0,,
VX_tertile,fast_VX,G1,80,0,47.428354999999996,,,,
continuous_track_coverage,all,G2,240,9,54.947567750000005,,,-0.25703013795237345,5.6014204464935945e-05
reaches_90pct,False,G2,110,5,62.70476525,0.9104761904761904,0.4593290767203811,,
reaches_90pct,True,G2,130,4,50.914719500000004,1.0,1.0,,
VX_tertile,slow_VX,G2,79,5,66.71445250000001,0.8918918918918919,0.47543859649122805,,
VX_tertile,middle_VX,G2,81,4,54.978786500000005,1.0,1.0,,
VX_tertile,fast_VX,G2,80,0,47.0491825,,,,
continuous_track_coverage,all,G3,240,9,54.90732,,,-0.2412746253133189,0.00016051833643364964
reaches_90pct,False,G3,110,5,62.674687500000005,0.8971428571428571,0.5084133258046302,,
reaches_90pct,True,G3,130,4,50.8812975,1.0,1.0,,
VX_tertile,slow_VX,G3,79,5,66.65982,0.8783783783783783,0.525438596491228,,
VX_tertile,middle_VX,G3,81,4,54.935365,1.0,1.0,,
VX_tertile,fast_VX,G3,80,0,46.982025,,,,
continuous_track_coverage,all,G4,240,9,54.997164,,,-0.2483646060008934,0.0001007969716315309
reaches_90pct,False,G4,110,5,62.748887999999994,0.9123809523809523,0.5259957433870477,,
reaches_90pct,True,G4,130,4,50.957972999999996,1.0,1.0,,
VX_tertile,slow_VX,G4,79,5,66.72327,0.8945945945945946,0.5421052631578948,,
VX_tertile,middle_VX,G4,81,4,55.002024,1.0,1.0,,
VX_tertile,fast_VX,G4,80,0,47.115329,,,,
continuous_track_coverage,all,R0,241,9,0.33468240424523593,,,0.07629684402310832,0.23799694591437712
reaches_90pct,False,R0,111,5,0.3322176569449686,0.9924528301886792,0.885,,
reaches_90pct,True,R0,130,4,0.33561264138225294,0.9801587301587301,0.7071428571428571,,
VX_tertile,slow_VX,R0,80,5,0.32624086164885224,1.0,1.0,,
VX_tertile,middle_VX,R0,81,4,0.35368739435989155,0.9772727272727273,0.7611111111111111,,
VX_tertile,fast_VX,R0,80,0,0.33518412403560327,,,,
continuous_track_coverage,all,R1,241,9,0.35125168793766404,,,0.06795649145383449,0.2933970292238822
reaches_90pct,False,R1,111,5,0.34913987928427964,1.0,1.0,,
reaches_90pct,True,R1,130,4,0.358833686080831,1.0,1.0,,
VX_tertile,slow_VX,R1,80,5,0.3387515125970369,1.0,1.0,,
VX_tertile,middle_VX,R1,81,4,0.3790794925345242,1.0,1.0,,
VX_tertile,fast_VX,R1,80,0,0.3513853524149523,,,,
continuous_track_coverage,all,R2,240,9,0.34682277626405145,,,0.05945600945862943,0.35909481866921605
reaches_90pct,False,R2,110,5,0.34305433376273065,0.9676190476190476,0.6666666666666667,,
reaches_90pct,True,R2,130,4,0.35368494318671595,1.0,1.0,,
VX_tertile,slow_VX,R2,79,5,0.33576622561202735,0.981081081081081,0.7783333333333333,,
VX_tertile,middle_VX,R2,81,4,0.37585083189784796,1.0,1.0,,
VX_tertile,fast_VX,R2,80,0,0.3420692151579162,,,,
continuous_track_coverage,all,R3,240,9,0.3456966934328356,,,0.0743325988719516,0.25132738353082695
reaches_90pct,False,R3,110,5,0.34264631706123017,0.9580952380952381,0.6282051282051282,,
reaches_90pct,True,R3,130,4,0.3536427641221145,1.0,1.0,,
VX_tertile,slow_VX,R3,79,5,0.3342542042814082,0.9783783783783784,0.7592857142857143,,
VX_tertile,middle_VX,R3,81,4,0.3758748054374816,1.0,1.0,,
VX_tertile,fast_VX,R3,80,0,0.3428222869366352,,,,
continuous_track_coverage,all,R4,240,9,0.0,,,0.018083024170538642,0.7804741253961578
reaches_90pct,False,R4,110,5,0.0,0.8638095238095239,0.3475324675324676,,
reaches_90pct,True,R4,130,4,0.0,0.9880952380952381,0.7678571428571428,,
VX_tertile,slow_VX,R4,79,5,0.0,0.8878378378378378,0.6959915611814347,,
VX_tertile,middle_VX,R4,81,4,0.0,0.9805194805194805,0.7095238095238094,,
VX_tertile,fast_VX,R4,80,0,0.0,,,,
