record_type,normalized_position,simulation_count,simulation_fraction,definition
active_melt_coverage_curve,0.99,115,0.47717842323651455,simulation has valid melt at or beyond position
recording_coverage_curve,0.99,115,0.47717842323651455,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.995,113,0.46887966804979253,simulation has valid melt at or beyond position
recording_coverage_curve,0.995,113,0.46887966804979253,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.0,113,0.46887966804979253,simulation has valid melt at or beyond position
recording_coverage_curve,1.0,113,0.46887966804979253,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.005,109,0.45228215767634855,simulation has valid melt at or beyond position
recording_coverage_curve,1.005,109,0.45228215767634855,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.01,109,0.45228215767634855,simulation has valid melt at or beyond position
recording_coverage_curve,1.01,109,0.45228215767634855,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.015,108,0.44813278008298757,simulation has valid melt at or beyond position
recording_coverage_curve,1.015,108,0.44813278008298757,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.02,107,0.44398340248962653,simulation has valid melt at or beyond position
recording_coverage_curve,1.02,107,0.44398340248962653,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.025,107,0.44398340248962653,simulation has valid melt at or beyond position
recording_coverage_curve,1.025,107,0.44398340248962653,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.03,107,0.44398340248962653,simulation has valid melt at or beyond position
recording_coverage_curve,1.03,107,0.44398340248962653,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.035,106,0.43983402489626555,simulation has valid melt at or beyond position
recording_coverage_curve,1.035,106,0.43983402489626555,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.04,106,0.43983402489626555,simulation has valid melt at or beyond position
recording_coverage_curve,1.04,106,0.43983402489626555,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.045,105,0.43568464730290457,simulation has valid melt at or beyond position
recording_coverage_curve,1.045,105,0.43568464730290457,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.05,105,0.43568464730290457,simulation has valid melt at or beyond position
recording_coverage_curve,1.05,105,0.43568464730290457,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.055,104,0.4315352697095436,simulation has valid melt at or beyond position
recording_coverage_curve,1.055,104,0.4315352697095436,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.06,104,0.4315352697095436,simulation has valid melt at or beyond position
recording_coverage_curve,1.06,104,0.4315352697095436,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.065,103,0.42738589211618255,simulation has valid melt at or beyond position
recording_coverage_curve,1.065,103,0.42738589211618255,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.07,102,0.42323651452282157,simulation has valid melt at or beyond position
recording_coverage_curve,1.07,102,0.42323651452282157,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.075,102,0.42323651452282157,simulation has valid melt at or beyond position
recording_coverage_curve,1.075,102,0.42323651452282157,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.08,101,0.4190871369294606,simulation has valid melt at or beyond position
recording_coverage_curve,1.08,101,0.4190871369294606,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.085,101,0.4190871369294606,simulation has valid melt at or beyond position
recording_coverage_curve,1.085,101,0.4190871369294606,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.09,100,0.4149377593360996,simulation has valid melt at or beyond position
recording_coverage_curve,1.09,100,0.4149377593360996,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.095,100,0.4149377593360996,simulation has valid melt at or beyond position
recording_coverage_curve,1.095,100,0.4149377593360996,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.1,100,0.4149377593360996,simulation has valid melt at or beyond position
recording_coverage_curve,1.1,100,0.4149377593360996,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.105,99,0.4107883817427386,simulation has valid melt at or beyond position
recording_coverage_curve,1.105,99,0.4107883817427386,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.11,98,0.4066390041493776,simulation has valid melt at or beyond position
recording_coverage_curve,1.11,99,0.4107883817427386,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.115,97,0.4024896265560166,simulation has valid melt at or beyond position
recording_coverage_curve,1.115,98,0.4066390041493776,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.12,96,0.3983402489626556,simulation has valid melt at or beyond position
recording_coverage_curve,1.12,97,0.4024896265560166,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.125,95,0.3941908713692946,simulation has valid melt at or beyond position
recording_coverage_curve,1.125,97,0.4024896265560166,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.13,95,0.3941908713692946,simulation has valid melt at or beyond position
recording_coverage_curve,1.13,97,0.4024896265560166,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.135,94,0.3900414937759336,simulation has valid melt at or beyond position
recording_coverage_curve,1.135,96,0.3983402489626556,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.14,91,0.3775933609958506,simulation has valid melt at or beyond position
recording_coverage_curve,1.14,96,0.3983402489626556,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.145,91,0.3775933609958506,simulation has valid melt at or beyond position
recording_coverage_curve,1.145,96,0.3983402489626556,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.15,90,0.37344398340248963,simulation has valid melt at or beyond position
recording_coverage_curve,1.15,95,0.3941908713692946,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.155,89,0.36929460580912865,simulation has valid melt at or beyond position
recording_coverage_curve,1.155,94,0.3900414937759336,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.16,86,0.35684647302904565,simulation has valid melt at or beyond position
recording_coverage_curve,1.16,94,0.3900414937759336,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.165,84,0.34854771784232363,simulation has valid melt at or beyond position
recording_coverage_curve,1.165,94,0.3900414937759336,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.17,83,0.34439834024896265,simulation has valid melt at or beyond position
recording_coverage_curve,1.17,93,0.38589211618257263,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.175,82,0.34024896265560167,simulation has valid melt at or beyond position
recording_coverage_curve,1.175,93,0.38589211618257263,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.18,81,0.3360995850622407,simulation has valid melt at or beyond position
recording_coverage_curve,1.18,93,0.38589211618257263,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.185,81,0.3360995850622407,simulation has valid melt at or beyond position
recording_coverage_curve,1.185,93,0.38589211618257263,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.19,80,0.33195020746887965,simulation has valid melt at or beyond position
recording_coverage_curve,1.19,92,0.3817427385892116,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.195,78,0.3236514522821577,simulation has valid melt at or beyond position
recording_coverage_curve,1.195,91,0.3775933609958506,recording reaches position regardless of melt validity
active_melt_coverage_curve,1.2,76,0.3153526970954357,simulation has valid melt at or beyond position
recording_coverage_curve,1.2,89,0.36929460580912865,recording reaches position regardless of melt validity
