population,candidate_id,simulation_count,excluded_simulation_count,excluded_simulation_ids,positive_count,negative_count,roc_auc,pr_auc,prevalence,median_value
all_241,G0,241,0,,9,232,0.9674329501915708,0.6775510204081634,0.03734439834024896,54.75336
all_241,G1,241,0,,9,232,1.0,1.0,0.03734439834024896,55.165389999999995
all_241,G2,240,0,,9,231,0.9754689754689755,0.7627740751473002,0.0375,54.947567750000005
all_241,G3,240,0,,9,231,0.9711399711399712,0.761702041395528,0.0375,54.90732
all_241,G4,240,0,,9,231,0.975949975949976,0.778647091020316,0.0375,54.997164
all_241,R0,241,0,,9,232,0.986111111111111,0.7703010497128144,0.03734439834024896,0.33468240424523593
all_241,R1,241,0,,9,232,1.0,1.0,0.03734439834024896,0.35125168793766404
all_241,R2,240,0,,9,231,0.9778739778739779,0.7971218896915491,0.0375,0.34682277626405145
all_241,R3,240,0,,9,231,0.9692159692159693,0.7710018774534904,0.0375,0.3456966934328356
all_241,R4,240,0,,9,231,0.9148629148629148,0.4756578947368421,0.0375,0.0
exclude_11_phase1_unstable,G0,230,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,228,0.9846491228070176,0.6111111111111112,0.008695652173913044,54.722319999999996
exclude_11_phase1_unstable,G1,230,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,228,1.0,1.0,0.008695652173913044,55.090815
exclude_11_phase1_unstable,G2,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,1.0,1.0,0.008733624454148471,54.93108
exclude_11_phase1_unstable,G3,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,1.0,1.0,0.008733624454148471,54.901590000000006
exclude_11_phase1_unstable,G4,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,1.0,1.0,0.008733624454148471,54.991238
exclude_11_phase1_unstable,R0,230,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,228,0.9780701754385965,0.34090909090909094,0.008695652173913044,0.3343466968115516
exclude_11_phase1_unstable,R1,230,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,228,1.0,1.0,0.008695652173913044,0.35070463471715674
exclude_11_phase1_unstable,R2,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,1.0,1.0,0.008733624454148471,0.34543940272527784
exclude_11_phase1_unstable,R3,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,1.0,1.0,0.008733624454148471,0.3447663423344435
exclude_11_phase1_unstable,R4,229,11,sim_00002;sim_00006;sim_00018;sim_00029;sim_00036;sim_00038;sim_00095;sim_00105;sim_00124;sim_00154;sim_00222,2,227,0.9823788546255506,0.26785714285714285,0.008733624454148471,0.0
