benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_p_plus,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_beta,acquisition_selected_shortlist_position,acquisition_selected_normalized_uncertainty,acquisition_selected_raw_diversity,acquisition_selected_normalized_diversity,acquisition_selected_score,acquisition_repulsion_bandwidth,acquisition_selected_raw_distance_to_labelled,acquisition_selected_repulsion
ackley,random,0,1,12,13,3145,3.395916112258254,False,False,False,3134,0.4343864173408747,0.8687728346817494,0.6845120119568249,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,2,13,14,3953,1.8528689791887647,False,False,False,3940,0.4548222361120793,0.9096444722241586,0.6890595472351237,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,3,14,15,96,0.7528571364933558,False,False,False,96,0.45525355277226254,0.9105071055445251,0.6891373289719767,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,4,15,16,963,1.3438195196165115,False,False,False,958,0.47283544254433707,0.9456708850886741,0.6916706273167267,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,5,16,17,3139,1.305720289100675,False,False,False,3126,0.500924130427586,0.998151739144828,0.6931454725248785,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,6,17,18,1056,0.5462477859388191,False,False,True,1050,0.4941526784897192,0.9883053569794384,0.6930787966634562,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,7,18,19,2458,0.30377195572576987,False,True,True,2448,0.45689995747342493,0.9137999149468499,0.6894273385273739,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,8,19,20,3620,3.7582473654276125,False,False,False,3603,0.350515596413004,0.701031192826008,0.6477652292992604,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,9,20,21,1058,0.0942853697460091,True,True,True,1051,0.45803170368338897,0.9160634073667779,0.6896203566524073,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,10,21,22,787,0.43296732364610513,False,False,True,782,0.5114151770295763,0.9771696459408474,0.6928865453823598,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,11,22,23,989,0.28714045952182765,False,True,True,982,0.4335429157656421,0.8670858315312842,0.6842878991128718,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,12,23,24,648,0.6595765087937622,False,False,False,644,0.47968651941653917,0.9593730388330783,0.692321678396828,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,13,24,25,3417,1.5268553718663735,False,False,False,3396,0.49985402291055636,0.9997080458211127,0.6931471379413234,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,14,25,26,769,0.9059309693021298,False,False,False,763,0.5677753126147849,0.8644493747704303,0.6839318521602737,null,null,null,null,null,null,null,null,null,null,null,null,null
