response,response_label,target_unit,model,model_family,n_predictions,mae,median_absolute_error,rmse,r2,nrmse,target_min,target_median,target_max,target_range,mean_nlpd,median_nlpd,total_or_evaluation_95pct_coverage,median_predictive_interval_width,aggregate_fold_runtime_seconds,mean_fold_runtime_seconds,warning_folds,convergence_warning_folds,failed_folds,bound_hit_folds,bound_hit_fraction,learned_nugget,median_learned_nugget_std,q25_learned_nugget_std,q75_learned_nugget_std,metrics_recomputed_from_prediction_rows
kinetic_energy,T0 melt-pool kinetic energy,nJ,linear_ridge,Ridge,12,0.07262662683607583,0.043672784613074445,0.09523672772873214,0.1509687189697022,0.2614616900541134,0.75972415,0.959714625,1.1239715,0.36424734999999986,,,,,12.973612000001594,1.0811343333334662,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern52_learned_nugget,Gaussian process,12,0.08039830654452056,0.06724939839471811,0.09670900038788977,0.12451532136212873,0.26550364851766195,0.75972415,0.959714625,1.1239715,0.36424734999999986,-0.7727336958811524,-1.1729862318906656,0.9166666666666666,0.35740194573401024,1.796979999751784,0.14974833331264867,0,0,0,0,0.0,True,5.700918830650063e-05,4.755864216171407e-05,7.766014515656568e-05,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,Gaussian process,12,0.08006954774700627,0.06802100404653033,0.09689645436971472,0.12111807516866646,0.26601828227361096,0.75972415,0.959714625,1.1239715,0.36424734999999986,-0.7652916384687415,-1.1417369500505132,0.9166666666666666,0.35950546106388975,1.8475944000529125,0.1539662000044094,1,1,0,1,0.08333333333333333,True,4.156420741535643e-05,2.6498246588186918e-05,8.09539770979642e-05,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_no_nugget,Gaussian process,12,0.08006954279986413,0.06802146866635034,0.09689662795979008,0.121114926130506,0.266018758845576,0.75972415,0.959714625,1.1239715,0.36424734999999986,-0.7652572215972583,-1.1417355613865374,0.9166666666666666,0.3595072181358212,0.30757510010153055,0.02563125834179421,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,rbf_learned_nugget,Gaussian process,12,0.0813809454295608,0.0614817501743084,0.09714555758326412,0.11659337442767925,0.2667021670391402,0.75972415,0.959714625,1.1239715,0.36424734999999986,-0.7616176086955564,-1.215379395294936,0.9166666666666666,0.3539598692492707,1.6616953999036923,0.13847461665864103,0,0,0,0,0.0,True,2.6010282423223263e-05,1.4426305664654614e-05,4.7442893452852125e-05,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,polynomial_ridge_degree2,Ridge,12,0.07779751006937706,0.06660672502690124,0.10081681623454591,0.04856150619375399,0.2767811934240454,0.75972415,0.959714625,1.1239715,0.36424734999999986,,,,,14.807986800093204,1.233998900007767,0,0,0,0,0.0,False,,,,True
kinetic_energy,T0 melt-pool kinetic energy,nJ,training_mean,sanity baseline,12,0.09512649545454543,0.08185009090909096,0.11275379814576207,-0.19008264462809854,0.30955283036585474,0.75972415,0.959714625,1.1239715,0.36424734999999986,,,,,0.0,0.0,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,training_mean,sanity baseline,12,9.492744090909087,8.748189545454537,11.777346539303194,-0.1900826446280992,0.3056523264734618,53.52373000000001,71.081635,92.05557,38.531839999999995,,,,,0.0,0.0,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Gaussian process,12,8.676432984786919,7.104067788147457,11.856697979592985,-0.20617334978364665,0.3077116997162084,53.52373000000001,71.081635,92.05557,38.531839999999995,4.178819845486867,3.636874885002396,0.9166666666666666,37.167840277210885,1.690452300128527,0.14087102501071058,1,1,0,1,0.08333333333333333,True,0.002911822166901091,0.0014289133021537822,0.006001249341075694,True
total_height,T0 total vertical melt-pool height,um,polynomial_ridge_degree2,Ridge,12,9.304030379399439,9.962384124629406,11.960060462054662,-0.2272949976001044,0.3103942210404347,53.52373000000001,71.081635,92.05557,38.531839999999995,,,,,16.582483700010926,1.3818736416675772,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,Gaussian process,12,9.027349271984583,7.08715238609113,12.35438655666724,-0.30955754010101866,0.32062799380115875,53.52373000000001,71.081635,92.05557,38.531839999999995,4.332519646017297,3.623441301834902,0.9166666666666666,38.026514704452595,0.38550019985996187,0.03212501665499682,0,0,0,0,0.0,False,,,,True
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Gaussian process,12,9.027288104517558,7.087129757673178,12.354397637340913,-0.3095598891915543,0.3206282813730389,53.52373000000001,71.081635,92.05557,38.531839999999995,4.332518082361676,3.6234413895528026,0.9166666666666666,38.026739758023595,1.8693437998881564,0.1557786499906797,0,0,0,0,0.0,True,0.004994725016313425,0.002363528584765357,0.00688138067588147,True
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,Gaussian process,12,9.371740756605451,7.3569969245047595,13.03871006894472,-0.4586512566876628,0.3383879427752405,53.52373000000001,71.081635,92.05557,38.531839999999995,5.0402228030352125,3.621909982510992,0.9166666666666666,36.45093731938222,1.4387404001317918,0.11989503334431599,0,0,0,1,0.08333333333333333,True,0.005460081216744269,0.002605517532647223,0.005867306371557105,True
total_height,T0 total vertical melt-pool height,um,linear_ridge,Ridge,12,11.080130296432545,8.774560093737449,15.244465622792585,-0.9939149254384239,0.39563295245678864,53.52373000000001,71.081635,92.05557,38.531839999999995,,,,,11.865218999912031,0.9887682499926692,0,0,0,0,0.0,False,,,,True
