run_id,repeat,fold,arm,prediction_model,horizon,B1_q20_AULC_16_80,B1_q30_AULC_16_80,persistent_q20_0_80_crossing,persistent_q20_0_80_observed,budget40_full81_accuracy,budget40_full81_balanced_accuracy,budget40_full81_keyhole_recall,budget40_full81_conduction_recall,budget40_full81_false_negative,budget40_full81_false_positive,budget40_B1_q30_accuracy,budget40_B1_q30_balanced_accuracy,budget40_B1_q30_keyhole_recall,budget40_B1_q30_conduction_recall,budget40_B1_q30_false_negative,budget40_B1_q30_false_positive,budget40_B1_q20_accuracy,budget40_B1_q20_balanced_accuracy,budget40_B1_q20_keyhole_recall,budget40_B1_q20_conduction_recall,budget40_B1_q20_false_negative,budget40_B1_q20_false_positive
w85__r01_f01,1,1,assisted_product,gpc4_assisted_product,80,0.7555147058823528,0.8309375,25.0,True,0.9506172839506173,0.8666666666666667,0.7333333333333333,1.0,4,0,0.84,0.75,0.5,1.0,4,0,0.7647058823529411,0.7142857142857143,0.42857142857142855,1.0,4,0
w85__r01_f01,1,1,gpc5_margin,gpc5_margin,80,0.8363970588235293,0.8878125,17.0,True,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,0.88,0.8455882352941176,0.75,0.9411764705882353,2,1,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1
w85__r01_f01,1,1,h_margin,gpc4_h_acquisition,160,0.8115808823529411,0.8715625,18.0,True,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,0.88,0.8455882352941176,0.75,0.9411764705882353,2,1,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1
w85__r01_f01,1,1,h_margin,h_model_h_acquisition,160,0.8855698529411766,0.9221875,16.0,True,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,0.92,0.875,0.75,1.0,2,0,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0
w85__r01_f02,1,2,assisted_product,gpc4_assisted_product,80,0.7715992647058822,0.8446874999999999,16.0,True,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1,3,0.7647058823529411,0.775,0.8,0.75,1,3
w85__r01_f02,1,2,gpc5_margin,gpc5_margin,80,0.765625,0.8384375,,False,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1,3,0.7647058823529411,0.775,0.8,0.75,1,3
w85__r01_f02,1,2,h_margin,gpc4_h_acquisition,160,0.7725183823529411,0.8453125,16.0,True,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1,3,0.7647058823529411,0.775,0.8,0.75,1,3
w85__r01_f02,1,2,h_margin,h_model_h_acquisition,160,0.7578125,0.7953124999999999,,False,0.9259259259259259,0.8987206823027718,0.8571428571428571,0.9402985074626866,2,4,0.76,0.7280701754385965,0.6666666666666666,0.7894736842105263,2,4,0.7058823529411765,0.675,0.6,0.75,2,3
w85__r01_f03,1,3,assisted_product,gpc4_assisted_product,80,0.9145220588235294,0.941875,16.0,True,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0
w85__r01_f03,1,3,gpc5_margin,gpc5_margin,80,0.9126838235294119,0.9400000000000001,16.0,True,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0
w85__r01_f03,1,3,h_margin,gpc4_h_acquisition,160,0.9218750000000001,0.9468749999999999,16.0,True,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0
w85__r01_f03,1,3,h_margin,h_model_h_acquisition,160,0.8832720588235297,0.920625,16.0,True,0.9753086419753086,0.9568230277185501,0.9285714285714286,0.9850746268656716,1,1,0.92,0.9007936507936507,0.8571428571428571,0.9444444444444444,1,1,0.8823529411764706,0.8785714285714286,0.8571428571428571,0.9,1,1
w85__r01_f04,1,4,assisted_product,gpc4_assisted_product,80,0.8180147058823528,0.869375,16.0,True,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,0.92,0.875,0.75,1.0,2,0,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0
w85__r01_f04,1,4,gpc5_margin,gpc5_margin,80,0.8607536764705881,0.89625,16.0,True,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,0.92,0.875,0.75,1.0,2,0,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0
w85__r01_f04,1,4,h_margin,gpc4_h_acquisition,160,0.8290441176470587,0.875625,16.0,True,0.9629629629629629,0.9,0.8,1.0,3,0,0.88,0.8125,0.625,1.0,3,0,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0
w85__r01_f04,1,4,h_margin,h_model_h_acquisition,160,0.8106617647058822,0.87125,26.0,True,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,0.88,0.8455882352941176,0.75,0.9411764705882353,2,1,0.8235294117647058,0.7878787878787878,0.6666666666666666,0.9090909090909091,2,1
w85__r01_f05,1,5,assisted_product,gpc4_assisted_product,80,0.7325367647058824,0.7493749999999999,72.0,True,0.9259259259259259,0.8257575757575757,0.6666666666666666,0.9848484848484849,5,1,0.76,0.737012987012987,0.5454545454545454,0.9285714285714286,5,1,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1
w85__r01_f05,1,5,gpc5_margin,gpc5_margin,80,0.7518382352941175,0.7853124999999999,46.0,True,0.9382716049382716,0.8590909090909091,0.7333333333333333,0.9848484848484849,4,1,0.8,0.7824675324675325,0.6363636363636364,0.9285714285714286,4,1,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,3,1
w85__r01_f05,1,5,h_margin,gpc4_h_acquisition,160,0.7196691176470589,0.7359374999999999,72.0,True,0.9135802469135802,0.8181818181818181,0.6666666666666666,0.9696969696969697,5,2,0.72,0.7012987012987013,0.5454545454545454,0.8571428571428571,5,2,0.7058823529411765,0.6857142857142857,0.5714285714285714,0.8,3,2
w85__r01_f05,1,5,h_margin,h_model_h_acquisition,160,0.7987132352941175,0.8159375,26.0,True,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,0.84,0.827922077922078,0.7272727272727273,0.9285714285714286,3,1,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1
w85__r02_f01,2,1,assisted_product,gpc4_assisted_product,80,0.8754595588235295,0.9153125,19.0,True,0.9753086419753086,0.9848484848484849,1.0,0.9696969696969697,0,2,0.92,0.9444444444444444,1.0,0.8888888888888888,0,2,0.8823529411764706,0.9,1.0,0.8,0,2
w85__r02_f01,2,1,gpc5_margin,gpc5_margin,80,0.8474264705882352,0.895,19.0,True,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,0.88,0.873015873015873,0.8571428571428571,0.8888888888888888,1,2,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2
w85__r02_f01,2,1,h_margin,gpc4_h_acquisition,160,0.8552389705882353,0.9015625,16.0,True,0.9753086419753086,0.9848484848484849,1.0,0.9696969696969697,0,2,0.92,0.9444444444444444,1.0,0.8888888888888888,0,2,0.8823529411764706,0.9,1.0,0.8,0,2
w85__r02_f01,2,1,h_margin,h_model_h_acquisition,160,0.8267463235294116,0.8815625,18.0,True,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,0.88,0.873015873015873,0.8571428571428571,0.8888888888888888,1,2,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2
w85__r02_f02,2,2,assisted_product,gpc4_assisted_product,80,0.9204963235294119,0.9459374999999999,16.0,True,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,0.96,0.9,0.8,1.0,1,0,0.9411764705882353,0.9,0.8,1.0,1,0
w85__r02_f02,2,2,gpc5_margin,gpc5_margin,80,0.8956801470588236,0.9290624999999999,19.0,True,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,0.96,0.9,0.8,1.0,1,0,0.9411764705882353,0.9,0.8,1.0,1,0
w85__r02_f02,2,2,h_margin,gpc4_h_acquisition,160,0.9177389705882354,0.9421875,16.0,True,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,0.92,0.875,0.8,0.95,1,1,0.9411764705882353,0.9,0.8,1.0,1,0
w85__r02_f02,2,2,h_margin,h_model_h_acquisition,160,0.8102022058823528,0.8709374999999999,25.0,True,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,0.88,0.8500000000000001,0.8,0.9,1,2,0.8235294117647058,0.8166666666666667,0.8,0.8333333333333334,1,2
w85__r02_f03,2,3,assisted_product,gpc4_assisted_product,80,0.8331801470588236,0.8553125,29.0,True,0.9382716049382716,0.8496801705756929,0.7142857142857143,0.9850746268656716,4,1,0.8,0.7824675324675325,0.6363636363636364,0.9285714285714286,4,1,0.8235294117647058,0.85,0.7,1.0,3,0
w85__r02_f03,2,3,gpc5_margin,gpc5_margin,80,0.8221507352941178,0.8790625,25.0,True,0.9506172839506173,0.8571428571428572,0.7142857142857143,1.0,4,0,0.84,0.8181818181818181,0.6363636363636364,1.0,4,0,0.7647058823529411,0.8,0.6,1.0,4,0
w85__r02_f03,2,3,h_margin,gpc4_h_acquisition,160,0.8120404411764706,0.8609374999999999,34.0,True,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,0.92,0.9090909090909092,0.8181818181818182,1.0,2,0,0.8823529411764706,0.9,0.8,1.0,2,0
w85__r02_f03,2,3,h_margin,h_model_h_acquisition,160,0.8607536764705883,0.9053125,22.0,True,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,0.92,0.9090909090909092,0.8181818181818182,1.0,2,0,0.8823529411764706,0.9,0.8,1.0,2,0
w85__r02_f04,2,4,assisted_product,gpc4_assisted_product,80,0.7863051470588235,0.8471875,28.0,True,0.9506172839506173,0.9696969696969697,1.0,0.9393939393939394,0,4,0.88,0.9117647058823529,1.0,0.8235294117647058,0,3,0.8235294117647058,0.875,1.0,0.75,0,3
