policy,run_id,sha256
margin,w85__r100_f01,ee3179f490127a537696500f4dd367ace23d8eb24f5eb9256573cc82a890b439
margin,w85__r100_f02,2e46ac338033798de525bc6e0583557db2496612fe30da0dfd79738d8a00bfe9
margin,w85__r100_f03,0be6208e0758cc240df4f8ce9975f620f962f9616215783092394f466ef7a2df
margin,w85__r100_f04,b4cc84bc4c0107842fdb60f5024833f04a02f21dc5fa772e4adb44b4a5f2fbc9
margin,w85__r100_f05,4b6d58eb40473eb3e00d63b0f282e9be8ac1ef0e4f8e449e5e40a399a7f1c66d
margin,w85__r101_f01,13dba1cc18cc2e4a2078ab4600472eb8adf1720e790d57d5c7575191489762af
margin,w85__r101_f02,fbcef5c4c954ad25136a91a91b9bdea9d7d8f0b76164cf58f767c70c82f91592
margin,w85__r101_f03,325d3b479087ae8fcfd3c1c5384abdd13b305945ac74ff565d6358c946af6025
margin,w85__r101_f04,b7ab3b97b2a4669d6008db6f9b6e008740b5d7b0355614c720e14f04917a4f59
margin,w85__r101_f05,b134bc9c971d60d69e36fd2be14a057c9c4fbd7a03a82a99784a1800a02b013c
margin,w85__r102_f01,1e6d2164b9e1437811aae7fefc593ab43efc54aca76ca0ef5d93fdb4c62c5b76
margin,w85__r102_f02,574ecb8041e5fb63567ecca15ca424f33ca4aacbec56738c78661390897d7fb9
margin,w85__r102_f03,579b4e78114b2ef765627f0a9615507a63ceb29c840ecd2b87687016b5597196
margin,w85__r102_f04,59675f0e315904a2c1282aceefbb68b7e43e568feab604da20bb2984eae48bb2
margin,w85__r102_f05,f5c42d2c6919268aa539ac58dd9104f3442ddef50dfe72489ea4997aa1b3fa94
margin,w85__r103_f01,3845e6d4af8c7a6d28389ec35bcabdfa3256d4a294ea6650a3419bfee62efd29
margin,w85__r103_f02,d8b02ddbfd0fe895e1df7cbe44314fb84fb926ab976a2bfea82ec03ddb65f473
margin,w85__r103_f03,5eca4c2178b5345c3690082f4a610a90af71e128b1b494343c3bd998d798acb3
margin,w85__r103_f04,6c079f2f074fb351abdeaa028fb69936c2e3b39ffc38dadafc3b42d3f0ddb79b
margin,w85__r103_f05,87395fd0b49be6f49ff563f1f21f4b4bd37cc14cfa18c66c04f3189282dd9a91
margin,w85__r104_f01,4c110968f88a4f447ca3f74f494c29f670018970e04754175f351179d3dc60a6
margin,w85__r104_f02,8aabce481772511bd9179e7ee874bc8f1677700b2f20794b431f69568e15a398
margin,w85__r104_f03,67c501d79d12bab69d15da563c9f798e71db94404111a8d54612b49ebf226a56
margin,w85__r104_f04,e623f6a0c579066e6150a449fd69ab75effaabe53773296ccedf26d48b118a3e
margin,w85__r104_f05,1370e775f04068253a3775246529a6ee5f7e219bbf806d4e2decfe964f0c3a66
margin,w85__r105_f01,495cfa3d299bc5c0e9deb1732c25079c3659ea2bc0956644e91722f762393c99
margin,w85__r105_f02,a68cb11b115f45f0387b7e8f8f93f935e6db506fb61df6325a7d42e129d41494
margin,w85__r105_f03,fdf9f2396889917eec4bd6598843ee493a1ad85453b9c77ef23b030f3870a8cf
margin,w85__r105_f04,04a9898bb13806d12d49234a5e466b0c3bc3d99c3387d30202e8dc546c8ea659
margin,w85__r105_f05,2c468e1c373cbcc830aa0684f8f21c8f809778bfc2eba9600d6657c140c39e88
margin,w85__r106_f01,b0f8da0bbbb7a6501352ec31659d59461e42b74221b28bb5c3b641e6e907f5f7
margin,w85__r106_f02,c11a00d7676116291c047bf78513c587672eed3effbd65da7bc9c2b92094b721
margin,w85__r106_f03,e020574ac5cd8fada19a0f3b8af8c329d6c38a1aa2efb27ceb683d449d39cf3f
margin,w85__r106_f04,06c4075405d9e05c39c3022ad66d4e62595d90f816015e4d1618a0580e265254
margin,w85__r106_f05,7104ceafb47660206f22b1b48c3a155a1db4cd6b2e2e81e99f8a312e4ea9db4c
margin,w85__r107_f01,b1928e8051d9d21a2bd03d41b86cd4240e23de4e66685c1cc04aa37bc3edc3f6
margin,w85__r107_f02,6a7d6c38aa1dfe90159b20078dfa8ad16fcadbc42a13286a46e235fc1c439bf3
margin,w85__r107_f03,ca75766375b069ae636e12b4af5d7bb5632820c87e292751ea66fa653c9480a3
margin,w85__r107_f04,7d46c7425a73577c5c84888412da7d692423319bdf76931d6442d4c653563ccd
margin,w85__r107_f05,38ce8117a58b9cebc6e4f13f8b8e3744a6baf86943c5a020d433cbe5d1cacb7b
margin,w85__r108_f01,0ebf8b58d915f1018b39edc678a73cdc7ce0ce7956ca20ae9cb6fa70bfd1dcb7
margin,w85__r108_f02,206f5815b07e9f501e90a37ec17501c7594055d12055467852883df4b58e71c9
margin,w85__r108_f03,58325f99397d7ac2d13b8d46dc011eacfd4f2024db8db4b100c85f87669716b1
margin,w85__r108_f04,317141af51a4c4a1cce45033647baca79bdf4e1d1d34b90ac45a25db27d38af7
margin,w85__r108_f05,209ae4775ce0a688f1cdff4bc05b0907494e23b14aea5bf5f92cf64992319b38
margin,w85__r109_f01,919fe93d522f06edad5de17166edff16fbf7c09fb3f313b8db2fd7ba45784909
margin,w85__r109_f02,0e4082bd0286100a5c690d988f23ba4ff92966135d6ed354010ca5100b5a2a7e
margin,w85__r109_f03,61215697b50e4a4a5fa6a4be390b9158d3bc162ebeb508f510485e7300a1bcde
margin,w85__r109_f04,d7e9add143d332af3cfc98caf6cbe8559c66a61881e3f246d64e704e0804d21e
margin,w85__r109_f05,680c1e61c4dfeb14a595f904772663b53ca420c73b22920da85aadf70799498c
margin,w85__r110_f01,9923e1f552477042a8a0405db40d69dc1039e2a43e2bdd59101fb60b41d48235
margin,w85__r110_f02,fc03c08d8bafbf5c54344150315067c7e2c1490d616dfd277c6bd6be77f8c590
margin,w85__r110_f03,a6ac47c8066a2728c8585384e70e44d3e4269fbaabc1ba278dca0e6d67d2869c
margin,w85__r110_f04,0ae0027ac24fe4b86e482039cf11068a4380896176c8b4d29eae660483d639d1
margin,w85__r110_f05,95bcaa0f8742385a03581322babcfd407b19269a73da826d9aee95eea631ac9b
margin,w85__r111_f01,26b932dad3d77ce86a2581d94f39e4b4de398482ae3b0ba31447e4cb107032db
margin,w85__r111_f02,7d6daf6f298032b1ac0f7be42fe2ff2d896ce0d77b4e38482f5d65196354537c
