policy,run_id,repeat,fold,subset,metric,end_budget,aulc
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q20,accuracy,40,0.8529411764705882
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q20,accuracy,80,0.8345588235294116
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q20,balanced_accuracy,40,0.7512152777777779
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q20,balanced_accuracy,80,0.7192057291666667
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q30,accuracy,40,0.8925000000000001
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q30,accuracy,80,0.8846875000000001
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q30,balanced_accuracy,40,0.7468750000000001
coverage_then_margin_B40,w85__r100_f01,100,1,B1_q30,balanced_accuracy,80,0.7175781250000002
coverage_then_margin_B40,w85__r100_f01,100,1,full81,accuracy,40,0.9642489711934156
coverage_then_margin_B40,w85__r100_f01,100,1,full81,accuracy,80,0.9634452160493826
coverage_then_margin_B40,w85__r100_f01,100,1,full81,balanced_accuracy,40,0.9088383838383839
coverage_then_margin_B40,w85__r100_f01,100,1,full81,balanced_accuracy,80,0.9033143939393941
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q20,accuracy,40,0.8419117647058822
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q20,accuracy,80,0.8308823529411763
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q20,balanced_accuracy,40,0.8336226851851851
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q20,balanced_accuracy,80,0.8209092881944444
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q30,accuracy,40,0.8850000000000001
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q30,accuracy,80,0.8815625
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q30,balanced_accuracy,40,0.8504050925925926
coverage_then_margin_B40,w85__r100_f02,100,2,B1_q30,balanced_accuracy,80,0.8396809895833331
coverage_then_margin_B40,w85__r100_f02,100,2,full81,accuracy,40,0.964506172839506
coverage_then_margin_B40,w85__r100_f02,100,2,full81,accuracy,80,0.9634452160493826
coverage_then_margin_B40,w85__r100_f02,100,2,full81,balanced_accuracy,40,0.91489898989899
coverage_then_margin_B40,w85__r100_f02,100,2,full81,balanced_accuracy,80,0.9057291666666669
coverage_then_margin_B40,w85__r100_f03,100,3,B1_q20,accuracy,40,0.7536764705882352
coverage_then_margin_B40,w85__r100_f03,100,3,B1_q20,accuracy,80,0.7660845588235294
coverage_then_margin_B40,w85__r100_f03,100,3,B1_q20,balanced_accuracy,40,0.8000000000000002
coverage_then_margin_B40,w85__r100_f03,100,3,B1_q20,balanced_accuracy,80,0.8247395833333333
coverage_then_margin_B40,w85__r100_f03,100,3,B1_q30,accuracy,40,0.775
