state,D,k,n_avail,acc0_R,L0_any,L1_rev_consistent,L2_rev_consistent_band,L3_all_consistent,L4_all_consistent_band,L5_all_band_main_conf<=0.5,min_conf_avail,frac_avail_band,frac_avail_v_all0,frac_avail_v_rev0,k1_exact_marginal_P_W2,k1_n_avail_e_minus1
w85__r01_f01|16,1,1,1,0.8235294117647058,1,1,1,0,0,0,0.34419999999999995,1.0,0.0,1.0,0.6720999999999999,1
w85__r01_f01|40,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.09099999999999997,1.0,1.0,1.0,0.5455,1
w85__r02_f02|16,4,3,4,0.6470588235294118,1,1,1,0,0,0,0.9248000000000001,1.0,0.25,1.0,,-1
w85__r02_f02|24,1,1,1,0.7647058823529411,1,1,1,0,0,0,1.0,1.0,0.0,1.0,1.0,1
w85__r02_f02|32,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.3266,1.0,1.0,1.0,0.6633,1
w85__r02_f02|40,2,2,2,0.8235294117647058,1,1,1,1,1,1,0.10719999999999996,1.0,1.0,1.0,,-1
w85__r03_f03|16,1,1,1,0.7058823529411765,1,0,0,0,0,0,0.35819999999999996,1.0,0.0,0.0,0.6791,1
w85__r03_f03|32,3,2,3,0.8235294117647058,1,1,1,1,1,1,0.026799999999999935,1.0,0.6666666666666666,1.0,,-1
w85__r03_f03|40,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.11519999999999997,1.0,1.0,1.0,0.5576,1
w85__r04_f04|16,1,1,1,0.8823529411764706,1,1,1,1,1,0,0.10420000000000007,1.0,1.0,1.0,0.5521,1
w85__r04_f04|32,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.028200000000000003,1.0,1.0,1.0,0.5141,1
w85__r04_f04|40,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.0027999999999999137,1.0,1.0,1.0,0.5014,1
w85__r05_f05|16,1,1,1,0.7647058823529411,1,1,1,0,0,0,0.9654,1.0,0.0,1.0,0.9827,1
w85__r05_f05|32,1,1,1,0.7647058823529411,1,1,1,0,0,0,0.271,1.0,0.0,1.0,0.6355,1
w85__r06_f01|16,1,1,1,0.8823529411764706,1,1,1,1,1,0,0.8422000000000001,1.0,1.0,1.0,0.9211,1
w85__r06_f01|24,1,1,1,0.8823529411764706,1,1,1,1,1,0,0.9998,1.0,1.0,1.0,0.9999,1
w85__r06_f01|32,1,1,1,0.8823529411764706,1,1,1,1,1,0,0.9998,1.0,1.0,1.0,0.9999,1
w85__r06_f01|40,1,1,1,0.9411764705882352,1,1,1,1,1,0,0.5506,1.0,1.0,1.0,0.7753,1
w85__r07_f02|16,2,2,2,0.7058823529411765,1,1,1,1,1,0,0.8564,1.0,1.0,1.0,,-1
w85__r07_f02|24,2,2,2,0.7058823529411765,1,1,1,1,1,0,0.9092,1.0,1.0,1.0,,-1
w85__r07_f02|32,1,1,1,0.7647058823529411,1,1,1,1,1,1,0.25439999999999996,1.0,1.0,1.0,0.6272,1
w85__r07_f02|40,1,1,1,0.7647058823529411,1,1,1,1,1,1,0.01760000000000006,1.0,1.0,1.0,0.5088,1
w85__r08_f03|16,5,3,5,0.8235294117647058,1,1,1,1,1,0,0.7544,1.0,0.8,1.0,,-1
w85__r08_f03|24,2,2,2,0.8235294117647058,1,1,1,1,1,0,0.9934000000000001,1.0,1.0,1.0,,-1
w85__r08_f03|32,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.2492000000000001,1.0,1.0,1.0,0.6246,1
w85__r08_f03|40,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.37159999999999993,1.0,1.0,1.0,0.6858,1
w85__r09_f04|24,1,1,1,0.8235294117647058,1,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0
w85__r09_f04|40,1,1,1,0.8235294117647058,1,1,1,1,1,0,0.7578,1.0,1.0,1.0,0.8789,1
w85__r10_f05|16,3,2,3,0.7647058823529411,1,1,1,1,1,0,0.853,1.0,1.0,1.0,,-1
w85__r10_f05|24,2,2,2,0.7647058823529411,1,1,1,1,1,0,0.6308,1.0,1.0,1.0,,-1
w85__r10_f05|32,2,2,2,0.7647058823529411,1,1,1,1,1,0,0.357,1.0,1.0,1.0,,-1
w85__r11_f01|16,2,2,2,0.8823529411764706,1,1,1,0,0,0,0.8348,1.0,0.5,1.0,,-1
w85__r11_f01|24,1,1,1,0.8823529411764706,1,1,1,0,0,0,1.0,1.0,0.0,1.0,1.0,1
w85__r11_f01|40,1,1,1,0.8823529411764706,1,1,1,0,0,0,0.007600000000000051,1.0,0.0,1.0,0.4962,0
w85__r12_f02|16,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.014799999999999924,1.0,1.0,1.0,0.49260000000000004,0
w85__r12_f02|24,1,1,1,0.8235294117647058,1,1,1,1,1,0,0.9938,1.0,1.0,1.0,0.9969,1
w85__r12_f02|32,2,2,2,0.8823529411764706,1,1,1,1,1,0,0.03980000000000006,1.0,1.0,1.0,,-1
w85__r13_f03|16,1,1,1,0.9411764705882352,1,1,1,1,1,1,0.0009999999999998899,1.0,1.0,1.0,0.49950000000000006,0
w85__r13_f03|24,2,2,2,0.9411764705882352,1,1,1,1,1,1,0.07479999999999998,1.0,1.0,1.0,,-1
w85__r13_f03|32,2,2,2,0.8235294117647058,1,1,1,1,1,1,0.0030000000000000027,1.0,1.0,1.0,,-1
w85__r13_f03|40,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.3012,1.0,1.0,1.0,0.6506000000000001,1
w85__r14_f04|16,1,1,1,0.8823529411764706,1,1,1,1,1,1,0.1512,1.0,1.0,1.0,0.5756,1
w85__r14_f04|24,1,1,1,0.8823529411764706,1,1,1,0,0,0,0.3164,1.0,0.0,1.0,0.6582,1
w85__r15_f05|32,1,1,1,0.9411764705882352,1,1,1,1,1,1,0.0036000000000000476,1.0,1.0,1.0,0.4982,0
w85__r16_f01|16,1,1,1,0.7647058823529411,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1
w85__r16_f01|24,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.22740000000000005,1.0,1.0,1.0,0.6137,1
w85__r16_f01|32,2,2,2,0.9411764705882352,1,1,1,1,1,1,0.016000000000000014,1.0,1.0,1.0,,-1
w85__r16_f01|40,1,1,1,0.8235294117647058,1,1,1,1,1,1,0.05059999999999998,1.0,1.0,1.0,0.5253,1
w85__r17_f02|16,3,2,3,0.7647058823529411,1,1,1,1,1,1,0.054400000000000004,1.0,1.0,1.0,,-1
w85__r18_f03|16,2,2,3,0.8235294117647058,1,1,1,1,1,1,0.008199999999999985,1.0,0.6666666666666666,1.0,,-1
w85__r18_f03|24,3,2,3,0.7647058823529411,1,1,1,1,1,0,0.16100000000000003,1.0,1.0,1.0,,-1
w85__r18_f03|32,3,2,3,0.8235294117647058,1,1,1,1,1,0,0.19280000000000008,1.0,0.6666666666666666,0.6666666666666666,,-1
w85__r18_f03|40,1,1,1,0.8235294117647058,1,0,0,0,0,0,0.12139999999999995,1.0,0.0,0.0,0.4393,0
w85__r19_f04|24,1,1,1,0.8235294117647058,1,1,1,0,0,0,0.04479999999999995,1.0,0.0,1.0,0.5224,1
w85__r19_f04|40,1,1,1,0.7647058823529411,1,0,0,0,0,0,0.030000000000000027,1.0,0.0,0.0,0.515,1
w85__r20_f05|24,2,2,2,0.6470588235294118,1,1,1,0,0,0,0.9536,1.0,0.0,1.0,,-1
w85__r20_f05|32,2,2,2,0.6470588235294118,1,1,1,0,0,0,0.9378,1.0,0.5,1.0,,-1
w85__r20_f05|40,2,2,2,0.6470588235294118,1,1,1,0,0,0,0.9678,1.0,0.5,1.0,,-1
